dictionary_order	entry_kind	entry_id	visible_forms	portable_value_de	local_default_de	register_scope	support_count	learning_mode
1	STEM_FAMILY	OK	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	HERBAL_BIO_ASTRO_CORE	138	MEMORIZE_PRODUCTIVE_FAMILY
2	STEM_FAMILY	OL	OL	WEITER_GLEICHER_LAUF	im selben Arbeitsgang, Ring oder Satz fortfahren	HERBAL_BIO_ASTRO_CORE	59	MEMORIZE_PRODUCTIVE_FAMILY
3	STEM_FAMILY	OT	OT	FOLGEPOSTEN	zum folgenden Arbeits- oder Diagrammposten wechseln	HERBAL_BIO_ASTRO_CORE	58	MEMORIZE_PRODUCTIVE_FAMILY
4	STEM_FAMILY	AR	AR	VON_QUELLE	die bezeichnete Quelladresse lesen	HERBAL_BIO_ASTRO_CORE	58	MEMORIZE_PRODUCTIVE_FAMILY
5	STEM_FAMILY	AL	AL	ZU_ZIEL	die bezeichnete Zieladresse lesen	HERBAL_BIO_ASTRO_CORE	58	MEMORIZE_PRODUCTIVE_FAMILY
6	STEM_FAMILY	L	L	AB	aus dem aktiven Posten heraus- oder abführen	BIO_SPECIALIST	23	MEMORIZE_PRODUCTIVE_FAMILY
7	STEM_FAMILY	P	P	ZU	in einen lokalen Empfänger zuführen	BIO_SPECIALIST	2	MEMORIZE_PRODUCTIVE_FAMILY
8	STEM_FAMILY	AIN	AIN	PORTION	eine abgegrenzte Teilmenge	HERBAL_BIO_ASTRO_CORE	23	MEMORIZE_PRODUCTIVE_FAMILY
9	STEM_FAMILY	AN	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	HERBAL_ASTRO_BRIDGE	4	MEMORIZE_PRODUCTIVE_FAMILY
10	STEM_FAMILY	AIIN	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	HERBAL_BIO_ASTRO_CORE	63	MEMORIZE_PRODUCTIVE_FAMILY
11	STEM_FAMILY	IIN	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	HERBAL_BIO_PROSE_CORE	4	MEMORIZE_PRODUCTIVE_FAMILY
12	STEM_FAMILY	E_GRADE	E|EE|EEE	GRAD	E=KURZ; EE=LANG; EEE=VOLL	HERBAL_BIO_ASTRO_CORE	106	MEMORIZE_PRODUCTIVE_FAMILY
13	STEM_FAMILY	Y	Y	DIES_AKTUELLER_POSTEN	den aktuell gemeinten Posten referieren	HERBAL_BIO_ASTRO_CORE	196	MEMORIZE_PRODUCTIVE_FAMILY
14	STEM_FAMILY	DY	DY	FESTSETZEN	Prosa=Arbeitsschritt schließen; Astro=Wert fest eintragen	HERBAL_BIO_ASTRO_CORE	108	MEMORIZE_PRODUCTIVE_FAMILY
15	STEM_FAMILY	OR	OR	BEDINGUNGSANSATZ	den laufenden Ansatz oder Bedingungssatz eröffnen	HERBAL_BIO_ASTRO_CORE	36	MEMORIZE_PRODUCTIVE_FAMILY
16	STEM_FAMILY	CHO_INPUT	HO|CHO_INPUT	EINGABE	Herbal=Zutat oder Material; Astro=Himmelsobjekt oder Eingangsbedingung	HERBAL_ASTRO_BRIDGE	30	MEMORIZE_PRODUCTIVE_FAMILY
17	STEM_FAMILY	CHEO	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	HERBAL_SPECIALIST	3	MEMORIZE_PRODUCTIVE_FAMILY
18	STEM_FAMILY	AIR	AIR	LAUF_BAHN	einen Lauf oder eine Bahn markieren; lokal Wasserlauf	HERBAL_BIO_ASTRO_CORE	17	MEMORIZE_PRODUCTIVE_FAMILY
19	STEM_FAMILY	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	CHD=kurze, CHED=erweiterte Allographie derselben Transferhandlung	HERBAL_BIO_ASTRO_CORE	57	MEMORIZE_PRODUCTIVE_FAMILY
20	STEM_FAMILY	CTH	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	HERBAL_BIO_PROSE_CORE	14	MEMORIZE_PRODUCTIVE_FAMILY
21	STEM_FAMILY	SHED	SHED	ABSETZEN	ruhen und sich absetzen lassen	BIO_SPECIALIST	17	MEMORIZE_PRODUCTIVE_FAMILY
22	STEM_FAMILY	CHK	CHK	ZUSTAND_JUSTIEREN	Prosa häufig erwärmen; Astro Grad oder Zustand justieren	HERBAL_BIO_ASTRO_CORE	9	MEMORIZE_PRODUCTIVE_FAMILY
23	STEM_FAMILY	CKH	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	BIO_ASTRO_BRIDGE	14	MEMORIZE_PRODUCTIVE_FAMILY
24	STEM_FAMILY	CKHE	CKHE	SEIHEN	durch einen trennenden Durchlass führen	BIO_SPECIALIST	4	MEMORIZE_PRODUCTIVE_FAMILY
25	STEM_FAMILY	SOLK	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	BIO_SPECIALIST	6	MEMORIZE_PRODUCTIVE_FAMILY
26	STEM_FAMILY	LSH	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	BIO_SPECIALIST	3	MEMORIZE_PRODUCTIVE_FAMILY
27	STEM_FAMILY	TY	TY	TEIL	einen Materialteil oder Rest bezeichnen	HERBAL_BIO_ASTRO_CORE	8	MEMORIZE_PRODUCTIVE_FAMILY
28	STEM_FAMILY	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	licensed only inside the ODY terminal card	BIO_SPECIALIST	2	MEMORIZE_PRODUCTIVE_FAMILY
29	STEM_FAMILY	OS_RECEIVER	OS_RECEIVER	AUFNAHME	receiving or enclosing work field	HERBAL_ASTRO_BRIDGE	3	MEMORIZE_PRODUCTIVE_FAMILY
30	STEM_FAMILY	CH_POUR	CH_POUR	ZUGIESSEN	pour the running medium into the active preparation	HERBAL_SPECIALIST	1	MEMORIZE_PRODUCTIVE_FAMILY
31	STEM_FAMILY	TCH_PREPARATION	TCH_PREPARATION	BEREITUNG	name the active preparation inside an OL continuation frame	HERBAL_SPECIALIST	1	MEMORIZE_PRODUCTIVE_FAMILY
32	STEM_FAMILY	OYK_VESSEL	OYK_VESSEL	GEFAESS	name the vessel carrying the active batch	HERBAL_SPECIALIST	1	MEMORIZE_PRODUCTIVE_FAMILY
33	STEM_FAMILY	K_BINDER	K_BINDER	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	HERBAL_BIO_ASTRO_CORE	10	MEMORIZE_PRODUCTIVE_FAMILY
34	STEM_FAMILY	YTY_PART	YTY_PART	FOLGETEIL	name the selected additive or following part	HERBAL_SPECIALIST	2	MEMORIZE_PRODUCTIVE_FAMILY
35	STEM_FAMILY	SHFY_DURATION	SHFY_DURATION	STEHZEIT	turn the prescribed value into a standing duration	HERBAL_SPECIALIST	1	MEMORIZE_PRODUCTIVE_FAMILY
36	STEM_FAMILY	D_PREVIOUS	D_PREVIOUS	VORIGER	take the continuation from the previous working step	HERBAL_SPECIALIST	2	MEMORIZE_PRODUCTIVE_FAMILY
37	PROSE_WHOLE_SIGN	MC012	dl	Zusatz	Zusatz	HERBAL_OR_BIO_PROSE	2	MEMORIZE_NOMENCLATOR_SIGN
38	PROSE_WHOLE_SIGN	MC037	tchody	kalt stellen; Schluss	kalt stellen; Schluss	HERBAL_OR_BIO_PROSE	1	MEMORIZE_NOMENCLATOR_SIGN
39	PROSE_WHOLE_SIGN	MC049	schoal	Sudansatz	Sudansatz	HERBAL_OR_BIO_PROSE	1	MEMORIZE_NOMENCLATOR_SIGN
40	PROSE_WHOLE_SIGN	MC052	qekey	kurz bearbeiten	kurz bearbeiten	HERBAL_OR_BIO_PROSE	1	MEMORIZE_NOMENCLATOR_SIGN
41	PROSE_WHOLE_SIGN	MC059	dain	Einlage	Einlage	HERBAL_OR_BIO_PROSE	2	MEMORIZE_NOMENCLATOR_SIGN
42	PROSE_WHOLE_SIGN	MC061	sshkchdy	übertragen; Schluss	übertragen; Schluss	HERBAL_OR_BIO_PROSE	1	MEMORIZE_NOMENCLATOR_SIGN
43	PROSE_WHOLE_SIGN	MC068	sotodan	zur Folgeanwendung weiterführen	zur Folgeanwendung weiterführen	HERBAL_OR_BIO_PROSE	1	MEMORIZE_NOMENCLATOR_SIGN
