locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note
f100r.12	5	da	RF1B_EXACT_RETAIN	eine Teilmenge abmessen	ZL3b+RF1b	IT2a aligns a longer divergent token here; RF1b preserves da and the local material list accepts the measure core.
f105v.14	7	tail	ONE_READER_POLARITY_RIVAL	kaltgestellte Rohdroge II	ZL3b+RF1b tail; IT2a kail rival	The source keeps cold T while IT2a supplies a genuine hot K rival; neither polarity is generalized.
f107r.27	5	ofchedy	IT2A_EXACT_RETAIN	fertig getrockneter Blütenansatz	ZL3b+IT2a	RF1b substitutes qofche, while known fchedy and five other target occurrences preserve the finished dry-flower family.
f114r.42	9	qopaiin	RF1B_EXACT_RETAIN	drei Teile Pulveransatz nehmen	ZL3b+RF1b	IT2a qopoiin changes the inner value; six other positions preserve the qopaiin powder-quantity take command.
f114r.44	11	da	BILATERAL_MEASURE_VARIANTS	eine Teilmenge abmessen	IT2a dor; RF1b das	Neither reader preserves the short surface, but both alternatives remain in the dose/portion field and retain the practical subdivision core.
f114v.36	2	oidal	RF1B_EXACT_WITH_STAGE_RIVAL	abgemessene Rohstoffmenge I im Ansatz, Grundform	ZL3b+RF1b oidal; IT2a oedal rival	Known odal preserves the measured raw-material-I core; IT2a E keeps a middle-stage rival for the internal form field.
f29r.5	6	da	BILATERAL_DIVERGENCE_QUARANTINE	eine Teilmenge	ZL3b only; IT2a do; RF1b e	This is the weakest da locus; practical prose uses only a nominal part and exports no letter value from the three-way disagreement.
f31r.3	9	da	IT2A_EXACT_RETAIN	eine Teilmenge abmessen	ZL3b+IT2a	RF1b dey differs, but the final quantity sequence preserves a concrete subdivision reading.
f41r.8	9	qodar	RF1B_EXACT_FRACTION_OVER_PORTION	die erste Ansatzfraktion abmessen	ZL3b+RF1b qodar; IT2a qodor rival	The D-AR first-fraction default remains, while IT2a offers the already known D-OR preparation-portion command.
f47r.1	1	chair	BILATERAL_PREFIX_REPAIR	zweite Trockenpulverfraktion	IT2a+RF1b pchair	Both alternate readers add the same P powder head, so the local application specializes rather than discards the second dry-fraction core.
f78v.17	7	da	IT2A_EXACT_RETAIN	eine Teilmenge abmessen	ZL3b+IT2a	RF1b a drops the measure head; the surrounding measured dry-drug result favors retaining D.
f78v.20	4	op	BILATERAL_RIGHT_JOIN_RETAIN_HEAD	Pulveransatz	IT2a opchedy; RF1b opchedylchey	Both alternate readers reject a free boundary here; the local head remains powder preparation and binds to the following finished dry result.
f80r.17	13	da	RF1B_EXACT_RETAIN	einen gleichen Teil abmessen	ZL3b+RF1b	IT2a day adds a terminal mark; the line-final command retains only the shared part-measure core.
f85r2.10	2	qodar	IT2A_EXACT_RETAIN	die erste Ansatzfraktion abmessen	ZL3b+IT2a	RF1b reduces the target to ar; the surrounding qotar/qokar family supports the full first-fraction command.
f86v6.25	4	qodar	RF1B_SPLIT_COMPOSE	die erste Ansatzfraktion abmessen	IT2a exact; RF1b qo dar	RF1b exposes the same command-plus-first-fraction composition rather than a semantic competitor.
f86v6.25	7	okeeeey	IT2A_LEFT_JOIN_WITH_PORTION	vollständig erhitzter Ansatz, Endstufe	ZL3b+RF1b exact; IT2a orokeeeey	IT2a binds the preceding portion to this final heated result; practical prose executes that scope without changing the card core.
f86v6.25	10	araram	RF1B_SPLIT_QUANTITY	ein Maß der ersten Drogenfraktion	IT2a exact; RF1b ar aram	The RF1b split directly exposes first fraction plus one measure and prevents both opaque lexical inflation and unsupported doubling.
f88r.19	6	qockhol	RF1B_EXACT_RETAIN	Drogenstoff aus Arzneikompositum zugeben	ZL3b+RF1b qockhol	IT2a qockhoy supplies a preparation-form rival, while five other occurrences preserve the CKHOL material head.
