previous_statement_id	next_statement_id	record_unit_id	page	carried_registers	spoken_carry_de	next_owner	rationale
H1-S001	H1-S002	H1	f10r	ACTIVE_PREPARATION	mit der aktiven Bereitung weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	previous clause prepares, portions, inserts and measures one batch
H2-S001	H2-S002	H2	f10r	ACTIVE_PREPARATION|PRESCRIBED_MEASURE	mit demselben Ansatz und Sollmaß weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	paired-measure frame leaves preparation and measure active
H2-S002	H2-S003	H2	f10r	ACTIVE_PREPARATION	aus demselben Ansatz weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	preceding clause explicitly says derselbe Ansatz and davon
H3-S002	H3-S003	H3	f11r	CURRENT_MATERIAL_SHARE	mit diesem Materialanteil weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	preceding one-card clause selects a part; next begins vom vorigen
H3-S003	H3-S004	H3	f11r	CURRENT_ITEM|PRESCRIBED_MEASURE	mit diesem Posten auf Sollmaß weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	previous clause keeps item and prescribed measure open
H5-S001	H5-S002	H5	f56r	TARGETED_PREPARATION	vom zielgesetzten Ansatz weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	previous clause sets preparation, target and destination without close
H5-S003	H5-S004	H5	f56r	CURRENT_ITEM	mit dem eingesetzten Posten weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	previous clause ends with repeated insertion of the current item
H5-S004	H5-S005	H5	f56r	ACTIVE_EXTRACT|TARGET	mit dem Auszug am Ziel weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	previous clause installs extract and names target
H5-S005	H5-S006	H5	f56r	ACTIVE_SEQUENCE|CURRENT_ITEM	zum nächsten Posten weiter:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	next clause explicitly selects das nächste
B1-S006	B1-S007	B1	f81v	TARGET|UNFINISHED_TRANSFER	am offenen Ziel in die Überführung weiter:	gemeinsames zweireihiges Figuren-/Beckenfeld	previous clause ends at target; next closes inward transfer
B1-S011	B1-S012	B1	f81v	CURRENT_ITEM|LOCAL_STATION	mit dem eingesetzten Posten am selben Besitzer weiter:	gemeinsames zweireihiges Figuren-/Beckenfeld	previous clause passes and inserts one item without close
B1-S014	B1-S015	B1	f81v	SOURCE	von der eben gesetzten Quelle weiter:	gemeinsames zweireihiges Figuren-/Beckenfeld	previous clause ends by selecting the next source
B3-S011	B3-S012	B3	f83r	CURRENT_ITEM|SOURCE	mit dem aus der Quelle überführten Posten weiter:	untere korbartige Gefäß-Randstation	previous clause leaves transferred source item open
