statement_id	record_unit_id	page	boundary_from_previous	connective_de	owner_trace	terminal_status	shared_events	local_events	source_book_clause_de
H1-S001	H1	f10r	RECORD_START	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	4	6	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — bereitstellen Bereitung — davon — Anteil — Aufnahme — Lauf — danach Teil weiter — einsetzen — Sollmaß — kurz Teil.
H1-S002	H1	f10r	CONTINUE_SAME_OWNER_OPEN	mit der aktiven Bereitung weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	3	1	mit der aktiven Bereitung weiter: weiterbearbeiten — danach weiter — weiter — bereit.
H2-S001	H2	f10r	RECORD_START	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	6	3	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Posten Auszug Bereitung — bereit — Ansatz — bereitstellen Sollmaß — bereitstellen weiter Posten — dies — dies — Sollmaß — dies.
H2-S002	H2	f10r	CONTINUE_SAME_OWNER_OPEN	mit demselben Ansatz und Sollmaß weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	7	1	mit demselben Ansatz und Sollmaß weiter: Folgeansatz — Ansatz — danach weiter — weiter — derselbe Ansatz — weiter — Sollmaß — davon.
H2-S003	H2	f10r	CONTINUE_SAME_OWNER_OPEN	aus demselben Ansatz weiter:	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	4	3	aus demselben Ansatz weiter: Posten bearbeiten Bereitung — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabe Sollmaß.
H3-S001	H3	f11r	RECORD_START	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	TERMINAL	1	6	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Zugabe abführen — Zugabe Ziel — auswringen Posten — halten Sollmaß — nachseihen Posten — Klarauszug — Zugabe; Schritt schließen.
H3-S002	H3	f11r	FRESH_AFTER_CLOSE	Neuer Schritt:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	0	1	Neuer Schritt: Zugabe Posten Teil.
H3-S003	H3	f11r	CONTINUE_SAME_OWNER_OPEN	mit diesem Materialanteil weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	4	1	mit diesem Materialanteil weiter: vom vorigen — dies — bearbeiten Posten — dies — Sollmaß.
H3-S004	H3	f11r	CONTINUE_SAME_OWNER_OPEN	mit diesem Posten auf Sollmaß weiter:	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	2	2	mit diesem Posten auf Sollmaß weiter: danach Posten — einsetzen weiter — bereit — dies.
H4-S001	H4	f55v	RECORD_START	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	3	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — Posten Anteil — Posten Anteil — kühlen.
H4-S002	H4	f55v	FRESH_AFTER_CLOSE	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	1	Neuer Schritt: Sollmaß — überführen — Ziel verwahren.
H4-S003	H4	f55v	FRESH_AFTER_CLOSE	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	2	Neuer Schritt: Posten Sollmaß — Auszug Quelle — länger bearbeiten — fertig.
H4-S004	H4	f55v	FRESH_AFTER_CLOSE	Neuer Schritt:	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE	4	2	Neuer Schritt: Sollmaß — dorthin einsetzen — weiter bereitstellen Posten — Ansatz — dies — Bereitung Anteil.
H5-S001	H5	f56r	RECORD_START	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«:	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	6	3	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabe Bereitung — weitere Zutat — Zugabe Ziel Posten — Sollmaß — weitere Zutat — bearbeiten weiter — Folgeansatz — einsetzen — dorthin.
