visible_surface	prose_occurrences	astro_occurrences	total_groups	revised_atom_sequence	common_value_de	wet_expansion_de	celestial_expansion_de	decision
cheey	2	2	4	CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	sichtbares Ergebnis / Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
shey	2	1	3	CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	sichtbares Ergebnis / Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
lcheey	1	0	1	L+CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	sichtbares Ergebnis abführen	PROMOTE_CROSS_REGISTER_ROOT
tshey	1	0	1	CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	sichtbares Ergebnis einsetzen	PROMOTE_CROSS_REGISTER_ROOT
qocheey	0	1	1	CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
sshey	0	1	1	CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
yshey	0	1	1	Y+CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	aktueller Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
otshey	0	1	1	OT+CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	nächster Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
ychey	0	1	1	Y+CHEEY	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	aktueller Ablesewert	PROMOTE_CROSS_REGISTER_ROOT
cheyky	0	1	1	CHEEY+YK	SICHTBARES ERGEBNIS/ABLESEWERT	klarer Auszug oder sichtbarer Ablauf	Ablesewert der Klasse/des Hauses	PROMOTE_CROSS_REGISTER_ROOT
