seed_id	surface_or_class	opaque_head_id	broad_role_family	working_role_seed	licensed_rivals	form_confidence	semantic_confidence	literal_lexeme_status	evidence	portable_policy	falsifier	historical_field_analogy	eva_letter_or_initial_credit	component_export_credit	claim_ceiling
S01	H_EVA_P	H1	PART_OR_SUBSTANCE_FORM	OPAQUE_EVA_P_DISTRIBUTIONAL_HEAD	POWDER_OR_DRY_PREPARATION_HEAD|PASTE|PREPARATION|OPAQUE_BOUND_MARKER	HIGH_CONTRASTIVE_HEAD_CLASS	ZERO_LITERAL_IDENTIFICATION	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	503 token-initial occurrences; 277 types; line first/middle/last 360/129/14; 24 shared four-head bodies in the GDT735 target grid	Nur in exakten H_EVA_P-Ganzformen einen Pulver-/Trockenformrivalen prüfen; das EVA-Label selbst hat keinen Buchstabenwert.	Die opake Klasse korreliert nicht cross-head mit Stoffform oder verlangt widersprüchliche Patienten	SUBSTANCE_FORM_PULVERIZED	0	0	Gebundener distributionaler Formrollenprior; kein EVA p=Pulver
S02	H_EVA_S	H2	PART_OR_MATERIA_HEAD	OPAQUE_EVA_S_DISTRIBUTIONAL_HEAD	SEED_OR_REPRODUCTIVE_MATERIAL|SPECIES_MARKER|BATCH|OPAQUE_NAME_FRAGMENT	HIGH_CONTRASTIVE_HEAD_CLASS	ZERO_LITERAL_IDENTIFICATION	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	801 token-initial occurrences; 248 types; line first/middle/last 408/282/111; 24 shared four-head bodies in the GDT735 target grid	Samen/Saat nur als Rivalen in exakt gestützten H_EVA_S-Familien; keine freie Buchstabenbedeutung.	Die opake Klasse verhält sich als bloßer Index, Name oder Strukturmarker in mehreren starken Familien	PLANT_PART_SEED	0	0	Gebundener distributionaler Materia-Rollenprior; kein EVA s=Samen
S03	H_EVA_R	H3	PART_OR_MATERIA_HEAD	OPAQUE_EVA_R_DISTRIBUTIONAL_HEAD	ROOT_OR_SOURCE_PART|PORTION|REFERENCE|OPAQUE_NAME_FRAGMENT	HIGH_CONTRASTIVE_HEAD_CLASS	ZERO_LITERAL_IDENTIFICATION	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	332 token-initial occurrences; 116 types; line first/middle/last 15/221/96; 24 shared four-head bodies in the GDT735 target grid	Wurzel nur als whole- oder familiengebundener Rivale; standalone H_EVA_R bleibt polysem und spanabhängig.	Standalone- und gebundene Fälle verlangen unvereinbare Rollen ohne sichtbare Spanregel	PLANT_PART_ROOT	0	0	Kein globales EVA r=Wurzel
S04	H_EVA_L	H4	PART_OR_SUBSTANCE_FORM	OPAQUE_EVA_L_DISTRIBUTIONAL_HEAD	BOUND_WOODY_PART|LIQUOR|EXTRACT|LIQUID_CARRIER|WEIGHT|OPAQUE_BINDER	HIGH_CONTRASTIVE_HEAD_CLASS	ZERO_LITERAL_IDENTIFICATION	UNRESOLVED_EVA_LABEL_ZERO_LETTER_PHONETIC_LATIN_INITIAL_CREDIT	1224 token-initial occurrences; 344 types; line first/middle/last 66/930/228; 24 shared four-head bodies in the GDT735 target grid	Nur im exakten gebundenen Ganzwort; holziger Pflanzenteil ist ein distributionaler Rivale, keine EVA-Buchstabenlesung.	Rollenwechsel Holz/Flüssigkeit/Gewicht ohne formale Unterklasse oder nur Holzfamiliengewinn	PART_OR_PREPARATION_FORM	0	0	Kein globales EVA l=Holz, liquor, Öl, Wasser oder Pfund
S05	k		QUALITY_OR_PROCESS	HEAT_OR_WARM_STATE	TEMPERAMENT_HOT|PROCESS_HEAT|OPAQUE_QUALITY	MEDIUM_HIGH_BOUND_CONTRAST	LOW_WORKING_ROLE_ONLY	UNRESOLVED	Drei unabhängige Köpfe mit konsistentem k-Kontrast	Nominal heiß/erwärmt nur in gestützten Ganzwortfamilien; exakte Temperatur offen.	K ist häufiger Menge, Name oder Position als Qualitäts-/Prozessfeld	SECONDARY_QUALITY_OR_PROCESS	0	0	Gebundener Hitze-/Qualitätsprior; kein k=heiß
S06	t		QUALITY_OR_PROCESS	COLD_OR_COOL_STATE	TEMPERAMENT_COLD|PROCESS_COOL|OPAQUE_QUALITY	MEDIUM_HIGH_BOUND_CONTRAST	LOW_WORKING_ROLE_ONLY	UNRESOLVED	Drei unabhängige Köpfe mit konsistentem t-Kontrast	Nominal kalt/abgekühlt als engster Familienrivale; Stufe und Medium offen.	T liefert keine stabile Opposition zu k oder verhält sich überwiegend als Index	SECONDARY_QUALITY_OR_PROCESS	0	0	Gebundener Kälte-/Qualitätsprior; kein t=kalt
S07	ch		QUALITY_OR_PROCESS	DRY_STATE_OR_DRYING	PLANT_HEAD|OPAQUE_BOUND_MARKER	MEDIUM_HIGH_BOUND_CONTRAST	LOW_WORKING_ROLE_ONLY	UNRESOLVED	Drei unabhängige Köpfe mit paralleler Zustandsreihe	Nominal trocken/getrocknet bevorzugen; Patient und Grad bleiben lokal.	Ch erzwingt gegensätzliche Zustände oder gewinnt nur durch importierte Materialpatienten	SUBSTANCE_QUALITY_DRY	0	0	Gebundener Trockenrollenprior; kein ch=trocknen
S08	sh		QUALITY_OR_PROCESS	MOIST_SOAKED_STATE	PROCESS_SOAK|FRESH_STATE|OPAQUE_BOUND_MARKER	MEDIUM_HIGH_BOUND_CONTRAST	LOW_WORKING_ROLE_ONLY	UNRESOLVED	Drei unabhängige Köpfe mit paralleler Feuchtreihe	Nominal feucht/eingeweicht bevorzugen; konkretes Medium offen.	Sh ist nur bei einem Kopf lesbar oder braucht erfundene Flüssigkeit/Patienten	SUBSTANCE_QUALITY_MOIST	0	0	Gebundener Feuchteprior; kein sh=einweichen
S09	aiin		VALUE_OR_INDEX	VALUE_III	QUANTITY_III|GRADE_III|FORM_III|BATCH_III|OPAQUE_INDEX	MEDIUM_HIGH_BOUND_LADDER_OR_CARRIER	UNRESOLVED_DIMENSION	UNRESOLVED	Drei vollständige Leitern mit stabiler Ordnung	Portabler Default Wert III; Dimension kommt ausschließlich vom gebundenen Kopf.	Rang III kehrt sich in zwei unabhängigen Familien um oder ist nur durch Mengenannahme lesbar	NUMERIC_OR_LOCATION_INDEX	0	0	Ordinaler Rollenprior; kein aiin=drei oder Dosis
S10	ain		VALUE_OR_INDEX	VALUE_II	QUANTITY_II|GRADE_II|FORM_II|BATCH_II|OPAQUE_INDEX	MEDIUM_HIGH_BOUND_LADDER_OR_CARRIER	UNRESOLVED_DIMENSION	UNRESOLVED	Drei vollständige Leitern mit stabiler Ordnung	Portabler Default Wert II; keine Mengen- oder Gradbezeichnung ohne Kopf.	Rang II kehrt sich in zwei unabhängigen Familien um	NUMERIC_OR_LOCATION_INDEX	0	0	Ordinaler Rollenprior; kein ain=zwei
