slot	observation_rows	unique_sources	source_ids	descriptive_rows	prescriptive_rows	relation_credit
CROSS_REFERENCE	2	2	HSR019|HSR020	2	0	0
DEGREE	3	2	HSR007|HSR008	3	0	0
DEGREE_II	1	1	HSR010	1	0	0
DEGREE_III	1	1	HSR010	1	0	0
DOSE	1	1	HSR016	0	1	0
DROP_UNIT	1	1	HSR010	0	1	0
DRUG_NAME	6	4	HSR007|HSR010|HSR015|HSR016	5	2	0
DRY	2	1	HSR010	2	0	0
DRY_MOIST	2	2	HSR007|HSR008	2	0	0
EQUAL_AMOUNT	2	2	HSR012|HSR013	0	2	0
GRAIN_UNIT	1	1	HSR013	0	1	0
HEADWORD	2	2	HSR019|HSR020	2	0	0
HERB_NAME	1	1	HSR022	1	0	0
HOT	2	1	HSR010	2	0	0
HOT_COLD	3	2	HSR007|HSR008	3	0	0
INDEX_LOCATOR	1	1	HSR022	1	0	0
INGREDIENT	2	2	HSR012|HSR014	0	2	0
LIGNUM	1	1	HSR010	1	0	0
MATERIAL_CLASS	1	1	HSR008	1	0	0
NUMBER	4	4	HSR010|HSR012|HSR013|HSR014	0	4	0
PLANT_NAME	1	1	HSR020	1	0	0
PLANT_PART	2	2	HSR008|HSR019	2	0	0
PROPERTY	2	2	HSR019|HSR021	2	0	0
PULVIS	1	1	HSR015	1	1	0
QUALITY	1	1	HSR021	1	0	0
RADIX	1	1	HSR010	1	0	0
RECIPE	1	1	HSR016	0	1	0
RECIPE_COMMAND	3	2	HSR010|HSR015	0	3	0
SEED	1	1	HSR014	0	1	0
SEMEN	1	1	HSR015	1	1	0
SIMPLE_DRUG_NAME	1	1	HSR021	1	0	0
SUBSTITUTE	1	1	HSR016	1	0	0
SYNONYM	4	4	HSR016|HSR019|HSR020|HSR022	4	0	0
UNIT	1	1	HSR012	0	1	0
USE	2	2	HSR021|HSR022	2	0	0
