source_id	work	date_band	observation_rows	record_channels	observed_slots	descriptive_slots	prescriptive_slots	direct_descriptive_observation	direct_prescriptive_observation	direct_two_channel_same_source	actual_four_head_one_letter_code_attested	voynich_relation_credit	claim_ceiling
HSR007	BSB Clm 667 temperament codebook	1481-1490	1	DESCRIPTIVE	DEGREE|DRUG_NAME|DRY_MOIST|HOT_COLD	DEGREE|DRUG_NAME|DRY_MOIST|HOT_COLD	NONE	1	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR008	Vatican Pal.lat.1234 degrees of simples	circa 1400	3	DESCRIPTIVE	DEGREE|DRY_MOIST|HOT_COLD|MATERIAL_CLASS|PLANT_PART	DEGREE|DRY_MOIST|HOT_COLD|MATERIAL_CLASS|PLANT_PART	NONE	1	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR010	Wellcome MS.542 medical miscellany and glossary	early 15th century	3	DESCRIPTIVE|PRESCRIPTIVE	DEGREE_II|DEGREE_III|DROP_UNIT|DRUG_NAME|DRY|HOT|LIGNUM|NUMBER|RADIX|RECIPE_COMMAND	DEGREE_II|DEGREE_III|DRUG_NAME|DRY|HOT|LIGNUM|RADIX	DROP_UNIT|NUMBER|RECIPE_COMMAND	1	1	1	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR012	Wellcome MS.307 recipe collection	late 14th century	1	PRESCRIPTIVE	EQUAL_AMOUNT|INGREDIENT|NUMBER|UNIT	NONE	EQUAL_AMOUNT|INGREDIENT|NUMBER|UNIT	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR013	Wellcome MS.683 medical recipes	mid 15th century	1	PRESCRIPTIVE	EQUAL_AMOUNT|GRAIN_UNIT|NUMBER	NONE	EQUAL_AMOUNT|GRAIN_UNIT|NUMBER	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR014	Manchester English MS.404 medical recipes	15th century	1	PRESCRIPTIVE	INGREDIENT|NUMBER|SEED	NONE	INGREDIENT|NUMBER|SEED	0	1	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR015	Salzburg UB M I 89 medical compilation	turn of 14th and 15th century	2	PRESCRIPTIVE	DRUG_NAME|PULVIS|RECIPE_COMMAND|SEMEN	DRUG_NAME|PULVIS|SEMEN	DRUG_NAME|PULVIS|RECIPE_COMMAND|SEMEN	0	1	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR016	Vatican Pal.lat.1256 Synonyma and apothecary hybrid	15th century	1	MIXED_REFERENCE	DOSE|DRUG_NAME|RECIPE|SUBSTITUTE|SYNONYM	DRUG_NAME|SUBSTITUTE|SYNONYM	DOSE|RECIPE	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR019	Alphita medico-botanical glossary	medieval source tradition; 1887 edition	1	DESCRIPTIVE	CROSS_REFERENCE|HEADWORD|PLANT_PART|PROPERTY|SYNONYM	CROSS_REFERENCE|HEADWORD|PLANT_PART|PROPERTY|SYNONYM	NONE	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR020	Sinonoma Bartholomei	14th-century manuscript tradition; 1882 edition	1	DESCRIPTIVE	CROSS_REFERENCE|HEADWORD|PLANT_NAME|SYNONYM	CROSS_REFERENCE|HEADWORD|PLANT_NAME|SYNONYM	NONE	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR021	Wellcome MS.624 Circa instans	1440s-1450s	1	DESCRIPTIVE	PROPERTY|QUALITY|SIMPLE_DRUG_NAME|USE	PROPERTY|QUALITY|SIMPLE_DRUG_NAME|USE	NONE	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
HSR022	Wellcome MS.625 Circa instans excerpt and index	mid 15th century	1	MIXED_REFERENCE	HERB_NAME|INDEX_LOCATOR|SYNONYM|USE	HERB_NAME|INDEX_LOCATOR|SYNONYM|USE	NONE	0	0	0	0	0	HISTORICAL_ARCHITECTURE_ONLY
