joint_rank	mapping_id	H1_eva_p_field	H2_eva_s_field	H3_eva_r_field	H4_eva_l_field	target_structural_cells_explained	structural_fit_rank	structural_tie_size	HSR019_tv	HSR019_rank	HSR020_tv	HSR020_rank	mean_tv	is_anachronistic_eva_initial_match	eva_letter_or_initial_credit	semantic_identification_credit	status
1	G735-P01	LIGNUM	RADIX	PULVIS	SEMEN	96	1	24	0.177608	1	0.114667	2	0.146138	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
2	G735-P02	LIGNUM	SEMEN	PULVIS	RADIX	96	1	24	0.226657	3	0.075193	1	0.150925	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
3	G735-P03	PULVIS	RADIX	LIGNUM	SEMEN	96	1	24	0.177608	2	0.156478	4	0.167043	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
4	G735-P04	PULVIS	SEMEN	LIGNUM	RADIX	96	1	24	0.226657	4	0.117004	3	0.171830	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
5	G735-P05	RADIX	LIGNUM	PULVIS	SEMEN	96	1	24	0.281804	5	0.218863	6	0.250333	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
6	G735-P06	SEMEN	LIGNUM	PULVIS	RADIX	96	1	24	0.330852	7	0.179389	5	0.255121	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
7	G735-P07	RADIX	PULVIS	LIGNUM	SEMEN	96	1	24	0.281804	6	0.260674	10	0.271239	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
8	G735-P08	SEMEN	PULVIS	LIGNUM	RADIX	96	1	24	0.330852	8	0.221200	7	0.276026	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
9	G735-P09	LIGNUM	PULVIS	RADIX	SEMEN	96	1	24	0.341594	9	0.278653	11	0.310124	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
10	G735-P10	PULVIS	LIGNUM	RADIX	SEMEN	96	1	24	0.341594	10	0.278653	12	0.310124	0	0	0	FREQUENCY_COMPATIBILITY_DIAGNOSTIC_ONLY__ALL_24_STRUCTURALLY_TIED
