bridge_cell_id	source_experiment	source_cell_id	eva_transcription_label	opaque_head_id	opaque_source_class	distributional_subclass	body	form	occurrences	reader_exact_occurrences	inherited_body_role_de	opaque_bridge_reading_de	literal_head_lexeme	eva_initial_credit	relation_credit	status
G735-C001	GDT635_CORE	G635-C01	p	H1	H_EVA_P	ENTRY_BIASED	aiin	paiin	7	6	Typ/Charge III	H1: Typ/Charge III	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C002	GDT635_CORE	G635-C02	s	H2	H_EVA_S	ENTRY_BIASED	aiin	saiin	109	89	Typ/Charge III	H2: Typ/Charge III	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C003	GDT635_CORE	G635-C03	r	H3	H_EVA_R	INTERNAL_OR_FINAL_BIASED	aiin	raiin	62	45	Typ/Charge III	H3: Typ/Charge III	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C004	GDT635_CORE	G635-C04	l	H4	H_EVA_L	INTERNAL_OR_FINAL_BIASED	aiin	laiin	13	7	Typ/Charge III	H4: Typ/Charge III	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C005	GDT635_CORE	G635-C05	p	H1	H_EVA_P	ENTRY_BIASED	chedy	pchedy	35	25	getrockneter Zustand	H1: getrockneter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C006	GDT635_CORE	G635-C06	s	H2	H_EVA_S	ENTRY_BIASED	chedy	schedy	7	4	getrockneter Zustand	H2: getrockneter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C007	GDT635_CORE	G635-C07	r	H3	H_EVA_R	INTERNAL_OR_FINAL_BIASED	chedy	rchedy	10	6	getrockneter Zustand	H3: getrockneter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C008	GDT635_CORE	G635-C08	l	H4	H_EVA_L	INTERNAL_OR_FINAL_BIASED	chedy	lchedy	116	75	getrockneter Zustand	H4: getrockneter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C009	GDT635_CORE	G635-C09	p	H1	H_EVA_P	ENTRY_BIASED	shedy	pshedy	3	3	angefeuchteter/eingeweichter Zustand	H1: angefeuchteter/eingeweichter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
G735-C010	GDT635_CORE	G635-C10	s	H2	H_EVA_S	ENTRY_BIASED	shedy	sshedy	6	4	angefeuchteter/eingeweichter Zustand	H2: angefeuchteter/eingeweichter Zustand	UNRESOLVED	0	0	OPAQUE_HEAD_PLUS_INHERITED_BODY_ROLE_ONLY
