copy	source_position	surface	reconstructed_event_id	reconstructed_joint_tuple_id	visible_owner_zone	component_reading_de	identity_match_to_other_copy	event_order_match
COPY_A	1	cheedar	E285	342c3f0777337648f4b3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	örtliche Beckenstation einrichten	YES	YES
COPY_A	2	chldaiin	E286	d72f71baff01cd0a0406	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Absetzstand festlegen	YES	YES
COPY_A	3	chdy	E287	6f7ff8287eddf4da9fdb	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	örtlichen Posten durcharbeiten	YES	YES
COPY_A	4	okain	E288	1645e612504fcef59ced	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	eine Portion zugeben	YES	YES
COPY_A	5	cthy	E289	e0b630cb1b5df5e7105b	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Bereitschaft feststellen	YES	YES
COPY_A	6	chealror	E290	d788d8d72d41b25a3c71	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Klarpunkt feststellen	YES	YES
COPY_A	7	olkeedy	E291	3b70942557b3a40e8030	B3_MAIN_ARCH_LINKED_PAIR	am neuen Besitzer länger auffangen und schließen	YES	YES
COPY_B	1	cheedar	E285	342c3f0777337648f4b3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	örtliche Beckenstation einrichten	YES	YES
COPY_B	2	chldaiin	E286	d72f71baff01cd0a0406	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Absetzstand festlegen	YES	YES
COPY_B	3	chedy	E287	6f7ff8287eddf4da9fdb	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	örtlichen Posten durcharbeiten	YES	YES
COPY_B	4	qokain	E288	1645e612504fcef59ced	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	eine Portion zugeben	YES	YES
COPY_B	5	checthy	E289	e0b630cb1b5df5e7105b	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Bereitschaft feststellen	YES	YES
COPY_B	6	chealror	E290	d788d8d72d41b25a3c71	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	Klarpunkt feststellen	YES	YES
COPY_B	7	solkeedy	E291	3b70942557b3a40e8030	B3_MAIN_ARCH_LINKED_PAIR	am neuen Besitzer länger auffangen und schließen	YES	YES
