page	locus	record	event_index	surface	joint_tuple_id	page_host	STEM_CONTRIBUTION	FORMAL_AXIS	LOCAL_EXPANSION_GERMAN	translation_status
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	chey	BEZEICHNETEN STOFFTEIL AUSWAEHLEN	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	wähle den bezeichneten Stoffteil, hier die faserige untere Wurzel	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	cthoor	GANZKARTENWERT: WASCHE SIE IN FLIESSENDEM WASSER	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	wasche sie in fließendem Wasser	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	ar	QUELLE DARAUS ODER AUS DEMSELBEN	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	daraus, aus demselben Ansatz	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	ty	GANZKARTENWERT: GLEICHMÄSSIG BEARBEITEN	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	gleichmäßig bearbeiten	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	os	GANZKARTENWERT: ZERSTOSSE SIE ZU GROBEM PULVER	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	zerstoße sie zu grobem Pulver	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	6	chair	12efe866f335461823a6	air	GANZKARTENWERT: GIB ROTWEIN HINZU	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	gib Rotwein hinzu	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	otytchol	GANZKARTENWERT: TRINKE ES BEI MAGENSCHMERZ	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	trinke es bei Magenschmerz	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	oky	GANZKARTENWERT: DIE AKTIVE PORTION VERWENDEN	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	die aktive Portion verwenden	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	aiin	VORGESCHRIEBENER STANDARDWERT	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	ein vorgeschriebenes Maß	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	etyd	GANZKARTENWERT: BEWAHRE DIE ÜBRIGE WURZEL TROCKEN AUF	SCHLICHTE KERNKARTE/OHNE ZUSATZACHSE	bewahre die übrige Wurzel trocken auf	COMPLETE_CREATIVE_STEM_CONSISTENT_EVENT
