page_host	selected_minimal_value_German	stem_class	exact_card_types	fixed_panel_events	confidence	selection_source	status
aiiin	GANZKARTENWERT: DIE ZWEITE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
aiin	vorgeschriebener oder standardisierter Wert mit kontextueller Dimension	QUANTITAET	1	20	.82	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
ain	BEMESSENER DURCHGANG ODER ANTEIL	QUANTITY_CORE	1	2	.38	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
air	GANZKARTENWERT: GIB ROTWEIN HINZU	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
airy	GANZKARTENWERT: GEBRAUCHE SIE SOFORT UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
al	auf die bezeichnete Zielstation oder parallele Station richten	ZIEL	2	11	.76	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
ala	GANZKARTENWERT: WASCHE DIE WUNDE STELLE EINMAL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
alch	GANZKARTENWERT: BEHALTE DEN RÜCKSTAND UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
alror	GANZKARTENWERT: BIS DER STROM KLAR WIRD	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ar	QUELLE DARAUS ODER AUS DEMSELBEN	RELATION_CORE	1	5	.73	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ary	GANZKARTENWERT: UND LASSE ES ABKÜHLEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
cfhy	GANZKARTENWERT: BEVOR SICH DIE BLÜTENKRONE ÖFFNET	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ch	einen flüssigen Bestand trennen oder abziehen	TRENNEN	2	2	.48	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
che	den lokal bestimmten Flüssigkeitsschritt ausführen	FLUESSIGKEITSHANDLUNG	2	6	.53	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
ched	GANZKARTENWERT: ZIEHE DIE KLARE FLÜSSIGKEIT AB	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
chey	einen kontextuell bestimmten Materialteil auswählen	AUSWAHL	2	3	.60	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
cho	OFFENE UMGEBUNGS- ODER LAGEBEDINGUNG	CONDITION_CORE	2	2	.30	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
chol	GEZEIGTER SIMPLEX ODER DESSEN ZUBEREITUNG	PICTURE_REFERENCE_CORE	2	3	.42	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
chor	Beschaffung des Bildbesitzers in einem angegebenen Zeitfenster	BESCHAFFUNGSZEIT	2	3	.58	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
chy	ein bereitetes warmes Medium in die Anwendung überführen	WARME_UEBERFUEHRUNG	2	2	.48	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
ckh	GANZKARTENWERT: FÜR DIE ANGEGEBENE DAUER	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ckhe	GANZKARTENWERT: SEIHE ES EINMAL DURCH EIN TUCH UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ckhy	durch gekoppelte Läufe oder Stationen führen	VERBUNDENER_WEG	1	4	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
cphy	GANZKARTENWERT: SEIHE DIE FLÜSSIGKEIT EIN ZWEITES MAL	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
cth	BEMESSENEN STOFF ZUGEBEN	ADDITION_CORE	1	1	.36	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
cthey	GANZKARTENWERT: UNTER DERSELBEN EINSTELLUNG	MEMORIZED_LOCAL_CORE	1	2	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
cthoor	GANZKARTENWERT: WASCHE SIE IN FLIESSENDEM WASSER	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
cthy	der aktive Ansatz hat den gebrauchsfertigen Zustand erreicht	BEREITSCHAFT	1	7	.18	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
d	BEREITS REFERENZIERTER PROZESSPOSTEN	REFERENCE_CORE	3	3	.34	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
e	den laufenden Vorgang bis zu einem kontextuellen Sollzustand führen	ZUSTANDSGRENZE	2	14	.61	R2_SHARED_STEM_SELECTED_AFTER_FOUR_ROLE_COMPARISON	CREATIVE_SHARED_STEM_HYPOTHESIS
eckh	GANZKARTENWERT: EINE MÄSSIGE MENGE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eckho	GANZKARTENWERT: LASSE DAS PFLASTER UNBEDECKT TROCKNEN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eckhy	GANZKARTENWERT: ÜBER DER ÖRTLICH BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ecthedchy	GANZKARTENWERT: WENDE ES AN DER MARKIERTEN STELLE AN	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ecthy	GANZKARTENWERT: WARMES WASSER	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ed	ZUGEWIESENE STUFE ODER STATION	STATION_CORE	3	4	.32	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
ee	EINMALIGE BEGRENZTE ANWENDUNG	APPLICATION_CORE	2	3	.33	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eety	GANZKARTENWERT: NACH DER ERSTEN SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
eey	MARKIERTER ERSTER ODER BEREITETER POSTEN	ORDER_STATE_CORE	2	3	.28	R1_COMPLETE_HOST_INVENTORY_RETAINED	MEMORIZED_OR_UNPOWERED_HOST_CORE
