page_host	minimal_invariant_value	core_type	exact_card_types	fixed_panel_events	confidence	basis	apprentice_rule
aiiin	GANZKARTENWERT: DIE ZWEITE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
aiin	VORGESCHRIEBENER STANDARDWERT	CONTENT_CORE	1	20	.82	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ain	BEMESSENER DURCHGANG ODER ANTEIL	QUANTITY_CORE	1	2	.38	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
air	GANZKARTENWERT: GIB ROTWEIN HINZU	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
airy	GANZKARTENWERT: GEBRAUCHE SIE SOFORT UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
al	ZIEL ODER WEITERLEITUNG DORTHIN	RELATION_CORE	2	11	.76	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ala	GANZKARTENWERT: WASCHE DIE WUNDE STELLE EINMAL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
alch	GANZKARTENWERT: BEHALTE DEN RÜCKSTAND UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
alror	GANZKARTENWERT: BIS DER STROM KLAR WIRD	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ar	QUELLE DARAUS ODER AUS DEMSELBEN	RELATION_CORE	1	5	.73	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ary	GANZKARTENWERT: UND LASSE ES ABKÜHLEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cfhy	GANZKARTENWERT: BEVOR SICH DIE BLÜTENKRONE ÖFFNET	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ch	FLUESSIGKEIT TRENNEN ODER ABZIEHEN	OPERATION_CORE	2	2	.48	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
che	BEGRENZTE MANIPULATION	OPERATION_CORE	2	6	.53	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ched	GANZKARTENWERT: ZIEHE DIE KLARE FLÜSSIGKEIT AB	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
chey	BEZEICHNETEN STOFFTEIL AUSWAEHLEN	CONTENT_SELECTION_CORE	2	3	.60	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cho	OFFENE UMGEBUNGS- ODER LAGEBEDINGUNG	CONDITION_CORE	2	2	.30	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
chol	GEZEIGTER SIMPLEX ODER DESSEN ZUBEREITUNG	PICTURE_REFERENCE_CORE	2	3	.42	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
chor	SAMMELZEIT ODER BESCHAFFUNGSZUSTAND	HERBAL_CORE	2	3	.58	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
chy	WARMES MEDIUM ZUFUEHREN ODER ANWENDEN	OPERATION_CORE	2	2	.48	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ckh	GANZKARTENWERT: FÜR DIE ANGEGEBENE DAUER	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ckhe	GANZKARTENWERT: SEIHE ES EINMAL DURCH EIN TUCH UND BEENDE DEN SCHRITT	MEMORIZED_LOCAL_CORE	1	3	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ckhy	GANZKARTENWERT: DURCH DIE VERBUNDENEN LÄUFE	MEMORIZED_LOCAL_CORE	1	4	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cphy	GANZKARTENWERT: SEIHE DIE FLÜSSIGKEIT EIN ZWEITES MAL	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cth	BEMESSENEN STOFF ZUGEBEN	ADDITION_CORE	1	1	.36	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cthey	GANZKARTENWERT: UNTER DERSELBEN EINSTELLUNG	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cthoor	GANZKARTENWERT: WASCHE SIE IN FLIESSENDEM WASSER	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
cthy	GANZKARTENWERT: SOBALD DIE ZUBEREITUNG GEBRAUCHSFERTIG IST	MEMORIZED_LOCAL_CORE	1	7	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
d	BEREITS REFERENZIERTER PROZESSPOSTEN	REFERENCE_CORE	3	3	.34	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
e	BIS ZU EINEM ARBEITSZUSTAND WARTEN	STATE_CORE	2	14	.61	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eckh	GANZKARTENWERT: EINE MÄSSIGE MENGE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eckho	GANZKARTENWERT: LASSE DAS PFLASTER UNBEDECKT TROCKNEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eckhy	GANZKARTENWERT: ÜBER DER ÖRTLICH BEZEICHNETEN STELLE	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ecthedchy	GANZKARTENWERT: WENDE ES AN DER MARKIERTEN STELLE AN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ecthy	GANZKARTENWERT: WARMES WASSER	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ed	ZUGEWIESENE STUFE ODER STATION	STATION_CORE	3	4	.32	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ee	EINMALIGE BEGRENZTE ANWENDUNG	APPLICATION_CORE	2	3	.33	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eety	GANZKARTENWERT: NACH DER ERSTEN SPÜLUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eey	MARKIERTER ERSTER ODER BEREITETER POSTEN	ORDER_STATE_CORE	2	3	.28	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ekey	GANZKARTENWERT: OHNE KOCHEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eky	GANZKARTENWERT: SOLANGE ES NOCH WARM IST	MEMORIZED_LOCAL_CORE	1	2	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
eol	GANZKARTENWERT: DIE ERSTE ÖFFNUNG	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
etyd	GANZKARTENWERT: BEWAHRE DIE ÜBRIGE WURZEL TROCKEN AUF	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
ey	GEFORDERTEN BEOBACHTBAREN ENDZUSTAND ERREICHEN	STATE_CORE	1	4	.66	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
fyd	GANZKARTENWERT: PRESSE DIE GEQUETSCHTE WURZEL DURCH EIN TUCH	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
h	GANZKARTENWERT: IHREN KLEINEN SAMEN- ODER KNOSPENKOPF	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
k	BEMESSENE ODER FLIESSENDE ARBEITSEINHEIT	TRANSFER_CORE	3	5	.42	MANUAL_COMMON_INTERSECTION	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kaiiin	GANZKARTENWERT: BIS EIN BITTERER GESCHMACK BLEIBT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kch	GANZKARTENWERT: BEWAHRE DEN REST TROCKEN IM SCHATTEN	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
kchey	GANZKARTENWERT: DAS GETROCKNETE SCHMALE BLATT	MEMORIZED_LOCAL_CORE	1	1	.18	SINGLE_CARD_NO_PRODUCTIVE_PARADIGM	DIESER MINIMALWERT BLEIBT FUER JEDE KARTE MIT DIESEM PAGE_HOST GLEICH
