rank_tier	page_host	stem_class	stable_minimal_value_German	distinct_joint_cards	fixed_panel_events	surface_examples	local_expansions	historical_workshop_mechanism	status
A	<FORMAL_DY_COORDINATE>	VOLLZUG_SCHLUSS	lokale Handlung bis zum vorgesehenen Endpunkt vollziehen und die Arbeitszelle schließen	37	89	verschiedene sichtbare -dy-Realisierungen; kein freier PAGE_HOST-Stamm	spülen / seihen / erwärmen / ablaufen / ruhen / mischen + Schrittabschluss	formelhafter Vollzugs-/Rubrikschluss; konkrete Handlung stammt aus der ganzen Karte	CREATIVE_FORMAL_CLOSURE_HYPOTHESIS
A	ok	AKTIVIERUNG	einen durch die Kompletierung bestimmten Arbeitsposten in Kraft setzen	5	24	okain|qokain || okal|qokal || qokar || okair || okaiin|qokaiin	aktiviere die Zugabe eines vorgeschriebenen Anteils || aktiviere das Zusammenführen beider bezeichneten Anteile || aktiviere den Arbeitsschritt an der bezeichneten Stelle || aktiviere als Nächstes den oberen Lauf || aktiviere den nächsten quantifizierten Arbeitsposten	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	aiin	QUANTITAET	vorgeschriebener oder standardisierter Wert mit kontextueller Dimension	1	20	aiin|chaiin|daiin|saiin|taiin	Ein vorgeschriebenes Maß	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	e	ZUSTANDSGRENZE	den laufenden Vorgang bis zu einem kontextuellen Sollzustand führen	2	14	cheedy|shedy|tedy || otedy	führe den Vorgang bis zur Bereitschaft und schließe den Schritt || führe den Vorgang bis zur Klarheit und schließe den Schritt	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	al	ZIEL	auf die bezeichnete Zielstation oder parallele Station richten	2	11	daldy || al|chal|cheal|dal|sal|tal	richte den Vorgang auf die zweite Station, wiederhole und schließe || führe den Bestand an die bezeichnete Zielstation	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	or	BEREITETES_ERGEBNIS	aus dem aktiven Ansatz hervorgegangenes verwendbares Produkt	2	8	orain || chor|or|shor|sor	gebrauche das bereitete Ergebnis frisch || das bereitete verwendbare Ergebnis des aktiven Ansatzes	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	chey	AUSWAHL	einen kontextuell bestimmten Materialteil auswählen	2	3	dchey || otchey	wähle den faserigen unteren Wurzelteil aus || wähle den bezeichneten Materialanteil aus	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
A	chor	BESCHAFFUNGSZEIT	Beschaffung des Bildbesitzers in einem angegebenen Zeitfenster	2	3	otchor|qotchor || chochor	beschaffe den Bildbesitzer vor der Blüte || beschaffe den Bildbesitzer im Frühjahr	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	y	AKTUELLER_TRAEGER	den gegenwärtigen Bild-, Stoff- oder Arbeitsträger wiederaufnehmen	3	30	chdy|chedy || chey|chy|dy|shy|sy|y || choy	bearbeite den aktuellen Stoff gleichmäßig und schließe den Schritt || der gegenwärtig geführte Stoff oder Anteil || der gegenwärtige Bildbesitzer am feucht-schattigen Standort	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	l	ANSCHLUSS	einen kontextuell verbundenen Vorgänger, Nachfolger oder Empfänger wählen	5	26	ldy || dl || oldy || lar || cheol|chol|ol|qol|sol|tol	führe den Bestand in den Nachlauf ab und schließe den Schritt || das an der nachgeordneten Station bereitgestellte Öl || koche im nachgeordneten Arbeitsschritt sanft und schließe ihn || schließe den nachgeordneten Ablauf || knüpfe an den bereits eingeführten Ansatz an	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	oky	AKTIVE_VERWENDUNG	den aktivierten gegenwärtigen Anteil verwenden	1	10	choky|oky|qoky	verwende den aktivierten gegenwärtigen Anteil	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	lche	ABLAUF	den Bestand in den nachgeordneten Empfänger abführen	1	8	lchedy	führe den verbrauchten Bestand in den unteren Empfänger ab und schließe	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	oke	SPUELGANG	den aktivierten Spülgang einmal ausführen	1	8	qokedy	führe den aktivierten Spülgang einmal aus und schließe	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	cthy	BEREITSCHAFT	der aktive Ansatz hat den gebrauchsfertigen Zustand erreicht	1	7	checthy|cthy|shcthy	sobald der aktive Ansatz gebrauchsfertig ist	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	okeey	TEMPERIEREN	das aktive Medium auf den vorgesehenen milden Wärmezustand bringen	1	7	okeey|qokeey	bringe das aktive Medium auf lauwarmen Arbeitszustand	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	ot	MARKIERTER_GEGENPOSTEN	einen kontextuell kontrastierten oder wiederaufgenommenen Slot wählen	3	7	otaiin|sotaiin || otal|qotal || otar	verwende für den markierten Gegenposten dieselbe Dauer wie zuvor || führe zum markierten nachgeordneten Ablauf || wähle danach den markierten unteren Ablauf	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	ckhy	VERBUNDENER_WEG	durch gekoppelte Läufe oder Stationen führen	1	4	chckhy|shckhy	führe den Bestand durch die verbundenen Läufe	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	ey	PRUEFZUSTAND	den verlangten beobachtbaren Endzustand erreichen	1	4	cheey|shey	führe den Vorgang bis zum verlangten sichtbaren Endzustand	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	ch	TRENNEN	einen flüssigen Bestand trennen oder abziehen	2	2	otchdy || dchdy	trenne den flüssigen Bestand durch Abziehen und schließe || trenne den flüssigen Bestand durch klares Seihen und schließe	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	chy	WARME_UEBERFUEHRUNG	ein bereitetes warmes Medium in die Anwendung überführen	2	2	chedchy || qotchy	überführe das erwärmte Wasser in die Anwendung || überführe das warme Blattmedium als Auflage in die Anwendung	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
B	olor	VORQUELLENPRODUKT	das bereitete Produkt des wiederaufgenommenen Voransatzes	1	2	cholor|olor	entnimm das bereitete Produkt des Voransatzes	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
C	che	FLUESSIGKEITSHANDLUNG	den lokal bestimmten Flüssigkeitsschritt ausführen	2	6	dchedy|schedy|tchedy || otchedy|qotchedy	führe den örtlichen Flüssigkeitsschritt als Spülung aus und schließe || führe den örtlichen Flüssigkeitsschritt zu gleichen Teilen aus und schließe	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
C	olk	TRANSFERSTATION	Zwischenmittel oder Empfänger eines Transfers	2	3	solkaiin || olkain|qolkain	durch ein Tuch || das untere Becken	Kontextabhängig ergänzte Kürzungs-/Formularkarte; Bild, Record und Vorzustand liefern ausgelassene Argumente	CREATIVE_SHARED_STEM_HYPOTHESIS
