core_stem_axis	surface_basis	minimal_value_German	axis_type	exact_cards	events	distinct_hosts	memorized_exceptions	teaching_rule	confidence
AIIN	aiiin|aiin|ain|air	BESTIMMTER PARAMETER / MASS- ODER ADRESSWERT	PARAMETER_AXIS	5	25	5	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
CHOR	chor	BESCHAFFUNG ODER SAMMELZEIT	CONTENT_STEM	2	3	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
CHEY	chey	AUSGEWAEHLTER MATERIALANTEIL	CONTENT_STEM	2	3	1	1	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
CHY	chy	WARME ZUBEREITUNG ODER ANWENDUNG	CONTENT_STEM_WEAK	2	2	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
OK	ok	BEGRENZTEN ARBEITSPOSTEN AKTIVIEREN	OPERATION_AXIS	23	79	19	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
OT	ot	MARKIERTEN BEZUG, PARAMETER ODER WEG WAEHLEN	RELATION_AXIS	5	9	3	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
OR	or	BEREITETER VERWENDBARER ARBEITSBESTAND	CONTENT_STEM	2	8	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
EY	ey	GEFORDERTEN BEOBACHTBAREN ENDZUSTAND ERREICHEN	STATE_AXIS	1	4	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
CH	ch	ARBEITSZUSTAND VERAENDERN ODER UMLEITEN	TRANSFORMATION_AXIS	9	14	5	1	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
L	l	FORTSETZUNGS-, EMPFAENGER- ODER TRANSFERWEG	TRANSFER_AXIS	23	52	17	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	MEDIUM
Y	y	AKTUELLEN RECORDTRAEGER ODER ZUSTAND FUHREN	STATE_CARRIER_AXIS	8	35	5	2	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
E	e	ZUSTAND, SCHWELLE ODER EINTRITT	STATE_AXIS_GENERIC	19	35	14	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
K	k	MATERIAL-, GEFAESS- ODER MITTELWERT	LOCAL_VALUE_AXIS	13	17	11	2	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
O	o	FOLGEPOSTEN ODER ARBEITSBESTAND	ITEM_AXIS_GENERIC	24	34	21	2	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
R	r	FORTGANG ODER RESULTATBEZUG	SEQUENCE_AXIS	5	5	4	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
S	s	RELATION ODER GLEICHSETZUNG	RELATION_AXIS_GENERIC	6	6	6	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
D	d	RUECK- ODER ZEIGEVERWEIS	REFERENCE_AXIS	3	3	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
P	p	PASSAGE ODER UEBERGABE	TRANSFER_AXIS_GENERIC	2	2	2	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
F	f	PRESS-, FILTER- ODER DURCHGANGSWERT	FILTER_AXIS	1	1	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
H	h	LOKALER TEIL- ODER OBJEKTWERT	LOCAL_VALUE_AXIS	1	1	1	1	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
T	t	GLEICHMAESSIGER ARBEITS- ODER ZUSTANDSWERT	CONSTRUCTION_AXIS	1	2	1	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
C	c	LOKALER KONSTRUKTIONSWERT	CONSTRUCTION_AXIS	9	21	9	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
A	a	LOKALER ADRESS- ODER RELATIONSWERT	ADDRESS_AXIS	7	20	6	0	Kernwert beibehalten; Host-Erweiterung, exakte Zelle und lokales Argument spezifizieren die Lesung	LOW
