page	locus	record	event_index	surface	joint_tuple_id	page_host	stable_core_or_axis_German	formal_coordinate_contribution_German	revised_complete_German	meaning_status
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	chey	ausgewählten Material- oder Pflanzenteil nehmen	unmarkierte Grundkarte	Nimm die faserige untere Wurzel	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	cthoor	wasche sie in fließendem Wasser	unmarkierte Grundkarte	wasche sie in fließendem Wasser	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	ar	aus derselben oder bezeichneten Quelle	unmarkierte Grundkarte	Daraus, aus demselben Ansatz	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	ty	Gleichmäßig bearbeiten	unmarkierte Grundkarte	Gleichmäßig bearbeiten	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	os	zerstoße sie zu grobem Pulver	unmarkierte Grundkarte	zerstoße sie zu grobem Pulver	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	6	chair	12efe866f335461823a6	air	gib Rotwein hinzu	unmarkierte Grundkarte	gib Rotwein hinzu	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	otytchol	trinke es bei Magenschmerz	unmarkierte Grundkarte	trinke es bei Magenschmerz	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	oky	Die aktive Portion verwenden	unmarkierte Grundkarte	Die aktive Portion verwenden	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	aiin	vorgeschriebenes oder standardisiertes Maß	unmarkierte Grundkarte	Ein vorgeschriebenes Maß	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	etyd	bewahre die übrige Wurzel trocken auf	unmarkierte Grundkarte	bewahre die übrige Wurzel trocken auf	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.5	1	1	qokchy	9ad66e67803a12e745de	okchy	gebrauche die frisch bereitete Arznei	unmarkierte Grundkarte	gebrauche die frisch bereitete Arznei	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.5	1	2	qotchol	e8a6105b5c3a6220b440	chol	BEZUG AUF SIMPLEX/SEINE ZUBEREITUNG	Rahmen OT spezialisiert den Bezug	wende sie warm an	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
f10r	f10r.5	1	3	chol	dcda95c81a5460feb191	l	aus dem vorigen Schritt fortsetzen oder zum Empfänger führen	Rahmen O spezialisiert den Bezug	Mit der vorigen Zubereitung weiter	CREATIVE_STEM_FIRST_INTERLINEAR_NOT_PLAINTEXT
