cell_id	target_atom_sequence	intended_reading_de	analogy_score	triage_category	bare_base_available	bare_ending_available	missing_atoms	next_master_action_de	new_surface_proposed
B02E05	OL+IIN	fortsetzen bis zur Stufe	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B02E08	OL+AIR	fortsetzen entlang des Laufs	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B02E10	OL+EE+Y	fortsetzen länger am aktuellen Posten	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B02E11	OL+E+CLOSE	fortsetzen kurz und dann schließen	7	ONE_MASTER_CARD_MISSING	YES	NO	E+CLOSE	Bare Karte E+CLOSE im Masterexemplar suchen oder lehren	NO
B02E12	OL+EE+CLOSE	fortsetzen länger und dann schließen	9	ONE_MASTER_CARD_MISSING	YES	NO	EE+CLOSE	Bare Karte EE+CLOSE im Masterexemplar suchen oder lehren	NO
B03E05	OT+IIN	zum folgenden Posten gehen bis zur Stufe	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B04E05	CHD+IIN	umsetzen bis zur Stufe	7	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B04E08	CHD+AIR	umsetzen entlang des Laufs	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E02	CTH+CLOSE	bereitstellen und den Schritt schließen	6	ONE_MASTER_CARD_MISSING	YES	NO	CLOSE	Bare Karte CLOSE im Masterexemplar suchen oder lehren	NO
B05E04	CTH+AIN	bereitstellen an einer Portion	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E05	CTH+IIN	bereitstellen bis zur Stufe	4	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E07	CTH+AR	bereitstellen aus der Quelle	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E08	CTH+AIR	bereitstellen entlang des Laufs	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E10	CTH+EE+Y	bereitstellen länger am aktuellen Posten	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B05E11	CTH+E+CLOSE	bereitstellen kurz und dann schließen	6	ONE_MASTER_CARD_MISSING	YES	NO	E+CLOSE	Bare Karte E+CLOSE im Masterexemplar suchen oder lehren	NO
B05E12	CTH+EE+CLOSE	bereitstellen länger und dann schließen	8	ONE_MASTER_CARD_MISSING	YES	NO	EE+CLOSE	Bare Karte EE+CLOSE im Masterexemplar suchen oder lehren	NO
B06E02	CKH+CLOSE	durchführen und den Schritt schließen	6	ONE_MASTER_CARD_MISSING	YES	NO	CLOSE	Bare Karte CLOSE im Masterexemplar suchen oder lehren	NO
B06E04	CKH+AIN	durchführen an einer Portion	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B06E05	CKH+IIN	durchführen bis zur Stufe	4	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B06E07	CKH+AR	durchführen aus der Quelle	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B06E08	CKH+AIR	durchführen entlang des Laufs	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B06E10	CKH+EE+Y	durchführen länger am aktuellen Posten	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
B06E11	CKH+E+CLOSE	durchführen kurz und dann schließen	6	ONE_MASTER_CARD_MISSING	YES	NO	E+CLOSE	Bare Karte E+CLOSE im Masterexemplar suchen oder lehren	NO
B06E12	CKH+EE+CLOSE	durchführen länger und dann schließen	8	ONE_MASTER_CARD_MISSING	YES	NO	EE+CLOSE	Bare Karte EE+CLOSE im Masterexemplar suchen oder lehren	NO
B07E03	CKHE+AIIN	trennen mit Sollwert	9	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E04	CKHE+AIN	trennen an einer Portion	5	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E05	CKHE+IIN	trennen bis zur Stufe	3	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E06	CKHE+AL	trennen am Ziel	8	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E08	CKHE+AIR	trennen entlang des Laufs	4	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E09	CKHE+E+Y	trennen kurz am aktuellen Posten	8	TWO_MASTER_CARDS_MISSING	NO	NO	CKHE|E+Y	Bare Karten CKHE und E+Y gemeinsam anfordern	NO
B07E10	CKHE+EE+Y	trennen länger am aktuellen Posten	7	ONE_MASTER_CARD_MISSING	NO	YES	CKHE	Bare Karte CKHE im Masterexemplar suchen oder lehren	NO
B07E11	CKHE+E+CLOSE	trennen kurz und dann schließen	5	TWO_MASTER_CARDS_MISSING	NO	NO	CKHE|E+CLOSE	Bare Karten CKHE und E+CLOSE gemeinsam anfordern	NO
B07E12	CKHE+EE+CLOSE	trennen länger und dann schließen	7	TWO_MASTER_CARDS_MISSING	NO	NO	CKHE|EE+CLOSE	Bare Karten CKHE und EE+CLOSE gemeinsam anfordern	NO
B08E02	CHK+CLOSE	wärmen und den Schritt schließen	6	TWO_MASTER_CARDS_MISSING	NO	NO	CHK|CLOSE	Bare Karten CHK und CLOSE gemeinsam anfordern	NO
B08E04	CHK+AIN	wärmen an einer Portion	6	ONE_MASTER_CARD_MISSING	NO	YES	CHK	Bare Karte CHK im Masterexemplar suchen oder lehren	NO
B08E05	CHK+IIN	wärmen bis zur Stufe	4	ONE_MASTER_CARD_MISSING	NO	YES	CHK	Bare Karte CHK im Masterexemplar suchen oder lehren	NO
B08E06	CHK+AL	wärmen am Ziel	9	ONE_MASTER_CARD_MISSING	NO	YES	CHK	Bare Karte CHK im Masterexemplar suchen oder lehren	NO
B08E07	CHK+AR	wärmen aus der Quelle	9	ONE_MASTER_CARD_MISSING	NO	YES	CHK	Bare Karte CHK im Masterexemplar suchen oder lehren	NO
B08E08	CHK+AIR	wärmen entlang des Laufs	5	ONE_MASTER_CARD_MISSING	NO	YES	CHK	Bare Karte CHK im Masterexemplar suchen oder lehren	NO
