approval_rank	cell_id	target_atom_sequence	intended_reading_de	analogy_score	triage_category	bare_base_available	bare_ending_available	missing_atoms	next_master_action_de	new_surface_proposed
1	B02E10	OL+EE+Y	fortsetzen länger am aktuellen Posten	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
2	B03E05	OT+IIN	zum folgenden Posten gehen bis zur Stufe	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
3	B05E07	CTH+AR	bereitstellen aus der Quelle	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
4	B06E07	CKH+AR	durchführen aus der Quelle	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
5	B11E10	KCH+EE+Y	bearbeiten länger am aktuellen Posten	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
6	B12E06	SH+AL	halten am Ziel	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
7	B12E07	SH+AR	halten aus der Quelle	9	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
8	B04E08	CHD+AIR	umsetzen entlang des Laufs	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
9	B05E10	CTH+EE+Y	bereitstellen länger am aktuellen Posten	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
10	B06E10	CKH+EE+Y	durchführen länger am aktuellen Posten	8	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
11	B04E05	CHD+IIN	umsetzen bis zur Stufe	7	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
12	B11E04	KCH+AIN	bearbeiten an einer Portion	7	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
13	B02E08	OL+AIR	fortsetzen entlang des Laufs	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
14	B05E04	CTH+AIN	bereitstellen an einer Portion	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
15	B06E04	CKH+AIN	durchführen an einer Portion	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
16	B11E08	KCH+AIR	bearbeiten entlang des Laufs	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
17	B12E04	SH+AIN	halten an einer Portion	6	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
18	B02E05	OL+IIN	fortsetzen bis zur Stufe	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
19	B05E08	CTH+AIR	bereitstellen entlang des Laufs	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
20	B06E08	CKH+AIR	durchführen entlang des Laufs	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
21	B11E05	KCH+IIN	bearbeiten bis zur Stufe	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
22	B12E08	SH+AIR	halten entlang des Laufs	5	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
23	B05E05	CTH+IIN	bereitstellen bis zur Stufe	4	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
24	B06E05	CKH+IIN	durchführen bis zur Stufe	4	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
25	B12E05	SH+IIN	halten bis zur Stufe	4	MEANING_SELECTION_ONLY	YES	YES	NONE	Lesung als neue analytische Zwei-Karten-Regel in das Lehrbuch aufnehmen	NO
