step	operation	required_output	stop_if
1	REGISTER_PAGE	page slot, page id, source and hash	page not explicitly released
2	MARK_OWNERS	visible owner blocks before card parsing	owner boundary cannot be stated
3	COPY_SURFACE	physical card order without normalization	source order is uncertain
4	SEGMENT_VISIBLE_RECIPE	visible atoms only	invisible atom would be needed
5	CLASSIFY_SURFACE	known, licensed rendering, new composition or unresolved	known surface needs second recipe
6	SELECT_SCOPE_RULE	exactly one of eight selectors	ninth selector is needed
7	LOCATE_BY_GEOMETRY	exactly one of six geometries	more than one card or a boundary is crossed
8	LICENSE_TARGET_HEAD	one of ten visible heads	eleventh head is needed
9	RESOLVE_R_TOPOLOGY	one of four R modes	R shape cannot be read positionally
10	RESOLVE_DUPLICATION	one of three duplicate modes	a visible copy must be deleted
11	BIND_TARGET_INTERNALS	target card read from first head inward	inner atom changes outer selector
12	CHECK_CORE_CONTRACT	old values unchanged; local gloss separated	known core must be retuned
13	ASSIGN_COLOR	GREEN, AMBER or RED plus exact code	color lacks a catalog code
14	SUMMARIZE_PAGE	counts and page decision	any RED row is unresolved
