statement_id	page	record	formula_mode	phase_signature	event_count	breath_groups	visible_cards	component_parses	spoken_component_line_de	complete_owner_filled_instruction_de	all_events_bound
H1-S001	f10r	H1	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	10	3	⟦dchey | cthoor | char | chty⟧ / ⟦os | chair | otytchol | oky⟧ / ⟦daiin | etyd⟧	⟦CH+E+Y | CTH+O+OR | AR | T+Y⟧ / ⟦OS | CH+AIR | OT+Y+T+CH+OL | OK+Y⟧ / ⟦AIIN | E+T+Y⟧	⟦ziehe ab · kurz · dies | bereit · Gang · Ansatz | davon | trage ein · dies⟧ / ⟦Fach | ziehe ab · Lauf | danach · dies · trage ein · ziehe ab · fort | setze an · dies⟧ / ⟦Maß | kurz · trage ein · dies⟧	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	YES
H1-S002	f10r	H1	SIMPLE_ONE_EDIT_VARIANT	SPECIALIST>MATERIAL_PREP	4	1	⟦qokchy | qotchol | chol | cthy⟧	⟦OK+Y | OT+CH+OL | OL | CTH+Y⟧	⟦setze an · dies | danach · ziehe ab · fort | fort | bereit · dies⟧	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: gib dies in den Ansatz → abnehmen. Angaben: fort | bereit · dies.	YES
H2-S001	f10r	H2	TAUGHT_MACRO	MATERIAL_PREP	9	1	⟦ycheor | cthy | chor | cthaiin | qoctholy | dy | chy | taiin | shy⟧	⟦Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y⟧	⟦dies · ziehe ab · kurz · Ansatz | bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies⟧	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	YES
H2-S002	f10r	H2	TAUGHT_MACRO	MATERIAL_PREP	8	1	⟦qotchor | chor | otol | chol | cholor | chol | daiin | dar⟧	⟦OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR⟧	⟦danach · ziehe ab · Ansatz | Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon⟧	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	YES
H2-S003	f10r	H2	SIMPLE_ONE_EDIT_VARIANT	MEASURE_CHARGE>MATERIAL_PREP	7	1	⟦oykchor | shor | chor | chy | kaiiin | dy | chodaiin⟧	⟦O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN⟧	⟦Gang · dies · gib zu · Ansatz | Ansatz | Ansatz | dies | gib zu · Grad | dies | ziehe ab · Gang · Maß⟧	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	YES
H3-S001	f11r	H3	FREE_COMPOSITION	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	7	2	⟦tshol | schoal | cfhy | shfydaiin⟧ / ⟦cphy | shey | tchody⟧	⟦T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN⟧ / ⟦P+Y | SH+EE+Y | T+CH+O+DY⟧	⟦trage ein · halte · fort | halte · Gang · dorthin | wringe aus · dies | halte · dies · Maß⟧ / ⟦gib hinein · dies | halte · länger · dies | trage ein · ziehe ab · Gang · schließe⟧	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	SIMPLE_ONE_EDIT_VARIANT	HOLD>MATERIAL_PREP	1	1	⟦shoyty⟧	⟦SH+O+Y+T+Y⟧	⟦halte · Gang · dies · trage ein · dies⟧	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: halten + eintragen.	YES
H3-S003	f11r	H3	TAUGHT_MACRO	MEASURE_CHARGE	5	1	⟦dchol | chy | kchy | dy | daiin⟧	⟦OL | Y | K+Y | Y | AIIN⟧	⟦fort | dies | gib zu · dies | dies | Maß⟧	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	YES
H3-S004	f11r	H3	TAUGHT_MACRO	MEASURE_CHARGE	4	1	⟦qotchy | okchol | cthy | dy⟧	⟦OT+Y | OK+OL | CTH+Y | Y⟧	⟦danach · dies | setze an · fort | bereit · dies | dies⟧	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	YES
H4-S001	f55v	H4	TAUGHT_MACRO	MEASURE_CHARGE>CLOSE	5	1	⟦qokaiin | chaiin | ykain | ykan | ody⟧	⟦OK+AIIN | AIIN | Y+K+AIN | Y+K+AIN | O+DY⟧	⟦setze an · Maß | Maß | dies · gib zu · Teil | dies · gib zu · Teil | Gang · schließe⟧	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: setze nach Maß an → dosiert zugeben → zugeben. Angaben: Maß | Gang; Schritt schließen.	YES
H4-S002	f55v	H4	SIMPLE_ONE_EDIT_VARIANT	MEASURE_CHARGE>SETTLE	3	1	⟦daiin | chedy | talam⟧	⟦AIIN | CHD+Y | TALAM⟧	⟦Maß | setze um · dies | verwahre⟧	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: abmessen und umsetzen → verwahren. Angaben: Maß.	YES
H4-S003	f55v	H4	EXTENDED_TWO_EDIT_VARIANT	MEASURE_CHARGE>MATERIAL_PREP>THERMAL>CLOSE	4	1	⟦ykaiin | cheoar | cheeky | oldy⟧	⟦Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY⟧	⟦dies · gib zu · Maß | ziehe ab · kurz · Gang · davon | wärme · länger · dies | fort · schließe⟧	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: dosiert zugeben → entnehmen → temperieren. Angaben: fort; Schritt schließen.	YES
H4-S004	f55v	H4	SIMPLE_ONE_EDIT_VARIANT	APPLY>MATERIAL_PREP	6	1	⟦aiin | okal | oltchy | or | y | orain⟧	⟦AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN⟧	⟦Maß | setze an · dorthin | fort · trage ein · dies | Ansatz | dies | Ansatz · Teil⟧	Bildbesitzer: abgebildete breitblättrige rispige Pflanze. Folge: anlegen → eintragen. Angaben: Maß | Ansatz | dies | Ansatz · Portion.	YES
H5-S001	f56r	H5	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	9	3	⟦chochor | cho | chodaly | daiin⟧ / ⟦sho | kchol | otchor | choky⟧ / ⟦dal⟧	⟦HO+CH+OR | HO | HO+AL+Y | AIIN⟧ / ⟦HO | K+OL | OT+CH+OR | OK+Y⟧ / ⟦AL⟧	⟦Gabe · ziehe ab · Ansatz | Gabe | Gabe · dorthin · dies | Maß⟧ / ⟦Gabe | gib zu · fort | danach · ziehe ab · Ansatz | setze an · dies⟧ / ⟦dorthin⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	YES
H5-S002	f56r	H5	SIMPLE_ONE_EDIT_VARIANT	APPLY>ROUTE>CLOSE	4	1	⟦schol | choy | choky | cheeckhody⟧	⟦OL | HO+Y | OK+Y | CH+EE+CKH+O+DY⟧	⟦fort | Gabe · dies | setze an · dies | ziehe ab · länger · Durchlass · Gang · schließe⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: anlegen → ablaufen lassen. Angaben: fort | Gabe · dies.	YES
H5-S003	f56r	H5	SIMPLE_ONE_EDIT_VARIANT	HOLD>MEASURE_CHARGE	4	1	⟦sh | cho | kchey | qokokchy⟧	⟦SH | HO | K+E+Y | OK+OK+Y⟧	⟦halte | Gabe | gib zu · kurz · dies | setze an · setze an · dies⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ziehen lassen → zugeben → einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	EXTENDED_TWO_EDIT_VARIANT	SPECIALIST>MATERIAL_PREP>ROUTE	3	1	⟦okchy | chokcheo | kchal⟧	⟦OK+Y | OK+CH+E+O | K+AL⟧	⟦setze an · dies | setze an · ziehe ab · kurz · Gang | gib zu · dorthin⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: gib dies in den Ansatz → ansetzen + abziehen → zuführen.	YES
H5-S005	f56r	H5	SIMPLE_ONE_EDIT_VARIANT	SPECIALIST>MEASURE_CHARGE	4	1	⟦sho | chokchy | kchoar | sotodan⟧	⟦HO | OK+Y | K+HO+AR | OT+O+AIN⟧	⟦Gabe | setze an · dies | gib zu · Gabe · davon | danach · Gang · Teil⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: ansetzen → zugeben. Angaben: Gabe | danach · Gang · Portion.	YES
H5-S006	f56r	H5	TAUGHT_MACRO	MEASURE_CHARGE	3	1	⟦otchey | keol | daiin⟧	⟦OT+Y | K+E+OL | AIIN⟧	⟦danach · dies | gib zu · kurz · fort | Maß⟧	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: zugeben. Angaben: danach · dies | Maß.	YES
B1-S001	f81v	B1	TAUGHT_MACRO	HOLD>CLOSE	1	1	⟦qokedy⟧	⟦OK+E+DY⟧	⟦setze an · kurz · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: einwirken lassen.	YES
B1-S002	f81v	B1	FREE_COMPOSITION	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	19	5	⟦okaiin | kair | okal | sar⟧ / ⟦ol | kain | olkain | al⟧ / ⟦ol | rol | dl | olor⟧ / ⟦ol | sheckhal | daiin | qokeedal⟧ / ⟦daiin | chckhy | schedy⟧	⟦OK+AIIN | K+AIR | OK+AL | AR⟧ / ⟦OL | K+AIN | OL+K+AIN | AL⟧ / ⟦OL | R+OL | L | OL+OR⟧ / ⟦OL | SH+E+CKH+AL | AIIN | OK+EE+AL⟧ / ⟦AIIN | CKH+Y | CHD+DY⟧	⟦setze an · Maß | gib zu · Lauf | setze an · dorthin | davon⟧ / ⟦fort | gib zu · Teil | fort · gib zu · Teil | dorthin⟧ / ⟦fort | kühle · fort | führe | fort · Ansatz⟧ / ⟦fort | halte · kurz · Durchlass · dorthin | Maß | setze an · länger · dorthin⟧ / ⟦Maß | Durchlass · dies | setze um · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	YES
B1-S003	f81v	B1	SIMPLE_ONE_EDIT_VARIANT	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	2	1	⟦qol | sshkchdy⟧	⟦OL | SH+K+CHD+DY⟧	⟦fort | halte · gib zu · setze um · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: halten + zugeben + überführen. Angaben: fort.	YES
B1-S004	f81v	B1	TAUGHT_MACRO	ROUTE>SETTLE>CLOSE	3	1	⟦chedy | ol | shedy⟧	⟦CHD+Y | OL | SHED+DY⟧	⟦setze um · dies | fort | setze ab · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: umschöpfen → absetzen lassen. Angaben: fort.	YES
B1-S005	f81v	B1	TAUGHT_MACRO	ROUTE>CLOSE	1	1	⟦qolchedy⟧	⟦OL+CHD+DY⟧	⟦fort · setze um · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: führe zur nächsten Station.	YES
B1-S006	f81v	B1	SIMPLE_ONE_EDIT_VARIANT	MEASURE_CHARGE>ROUTE>THERMAL	4	1	⟦qokain | shckhy | dl | ral⟧	⟦OK+AIN | CKH+Y | L | R+AL⟧	⟦setze an · Teil | Durchlass · dies | führe | kühle · dorthin⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	YES
B1-S007	f81v	B1	TAUGHT_MACRO	MEASURE_CHARGE>ROUTE>CLOSE	1	1	⟦qokchdy⟧	⟦OK+CHD+DY⟧	⟦setze an · setze um · schließe⟧	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: einsetzen + überführen.	YES
