surface_atom	components	values_de	source	ambiguous_atom
aiin	AIIN	Mass	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
ain	AIN	Portion	CANONICAL_COMPONENT_SPELLING	NO
air	AIR	Wasser	CANONICAL_COMPONENT_SPELLING	NO
al	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
ar	AR	von dort	CANONICAL_COMPONENT_SPELLING	NO
ch	CH	abziehen	CANONICAL_COMPONENT_SPELLING	NO
chaiin	AIIN	Mass	ATTESTED_SINGLE_COMPONENT_CARD	NO
chal	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD	NO
char	AR	von dort	ATTESTED_SINGLE_COMPONENT_CARD	NO
chd	CHD	umsetzen	CANONICAL_COMPONENT_SPELLING	NO
cheal	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD	NO
ched	CHD	umsetzen	CANONICAL_COMPONENT_SPELLING	NO
cheo	CHEO	Auszug	CANONICAL_COMPONENT_SPELLING	NO
cheol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
chey	Y	dies	ATTESTED_SINGLE_COMPONENT_CARD	NO
chk	CHK	waermen	CANONICAL_COMPONENT_SPELLING	NO
cho	HO	Zutat	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
chol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
chor	OR	Ansatz	ATTESTED_SINGLE_COMPONENT_CARD	NO
chy	Y	dies	ATTESTED_SINGLE_COMPONENT_CARD	NO
ckh	CKH	Durchlass	CANONICAL_COMPONENT_SPELLING	NO
ckhe	CKHE	seihen	CANONICAL_COMPONENT_SPELLING	NO
cth	CTH	bereit	CANONICAL_COMPONENT_SPELLING	NO
daiin	AIIN	Mass	ATTESTED_SINGLE_COMPONENT_CARD	NO
dain	AIN	Portion	ATTESTED_SINGLE_COMPONENT_CARD	NO
dal	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD	NO
dar	AR	von dort	ATTESTED_SINGLE_COMPONENT_CARD	NO
dchol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
dl	L	fuehren	ATTESTED_SINGLE_COMPONENT_CARD	NO
dy	DY|Y	Schluss|dies	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	YES
e	E	kurz	CANONICAL_COMPONENT_SPELLING	NO
ee	EE	laenger	CANONICAL_COMPONENT_SPELLING	NO
eee	EEE	vollstaendig	CANONICAL_COMPONENT_SPELLING	NO
iin	IIN	Sollstufe	CANONICAL_COMPONENT_SPELLING	NO
k	K	zufuehren	CANONICAL_COMPONENT_SPELLING	NO
l	L	fuehren	CANONICAL_COMPONENT_SPELLING	NO
lddy	LDDY	befestigen und schliessen	CANONICAL_COMPONENT_SPELLING	NO
ls	LS	abfuehren	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
lsh	LSH	Waschgang	CANONICAL_COMPONENT_SPELLING	NO
o	O	Arbeitsgang	CANONICAL_COMPONENT_SPELLING	NO
ok	OK	ansetzen	CANONICAL_COMPONENT_SPELLING	NO
ol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
or	OR	Ansatz	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
ot	OT	danach	CANONICAL_COMPONENT_SPELLING	NO
p	P	hinein	CANONICAL_COMPONENT_SPELLING	NO
qol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
r	R	abkuehlen	CANONICAL_COMPONENT_SPELLING	NO
saiin	AIIN	Mass	ATTESTED_SINGLE_COMPONENT_CARD	NO
sal	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD	NO
sar	AR	von dort	ATTESTED_SINGLE_COMPONENT_CARD	NO
schol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
sh	SH	halten	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
shed	SHED	absetzen	CANONICAL_COMPONENT_SPELLING	NO
sho	HO	Zutat	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
shor	OR	Ansatz	ATTESTED_SINGLE_COMPONENT_CARD	NO
shy	Y	dies	ATTESTED_SINGLE_COMPONENT_CARD	NO
sol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
solk	SOLK	auffangen	CANONICAL_COMPONENT_SPELLING	NO
sor	OR	Ansatz	ATTESTED_SINGLE_COMPONENT_CARD	NO
sy	Y	dies	ATTESTED_SINGLE_COMPONENT_CARD	NO
t	T	fuellen	CANONICAL_COMPONENT_SPELLING	NO
taiin	AIIN	Mass	ATTESTED_SINGLE_COMPONENT_CARD	NO
tal	AL	Stelle	ATTESTED_SINGLE_COMPONENT_CARD	NO
tol	OL	fortsetzen	ATTESTED_SINGLE_COMPONENT_CARD	NO
y	Y	dies	ATTESTED_SINGLE_COMPONENT_CARD|CANONICAL_COMPONENT_SPELLING	NO
