locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	exact_surface_groups	unique_component_groups	ambiguous_groups	local_label_groups	locus_transfer_status	candidate_local_reading_de	orientation	cross_instrument_join
1	A1	f67r2	f67r2.1	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_01	3	1|2|3	0	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + zufuehren + dies ; ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
2	A1	f67r2	f67r2.2	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_02	3	4|5|6	0	2	1	0	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + zufuehren + kurz + Zutat ; Arbeitsgang + abfuehren ; ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
3	A1	f67r2	f67r2.3	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_03	3	7|8|9	0	2	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	kurz + dies ; ASTRO_LOCAL_LABEL ; ansetzen + von dort	UNSPECIFIED	NONE
4	A1	f67r2	f67r2.4	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_04	2	10|11	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	halten + kurz + zufuehren + dies ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
5	A1	f67r2	f67r2.5	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_05	2	12|13	1	0	1	0	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL_PENDING_CHOICE ; dies ansetzen	UNSPECIFIED	NONE
6	A1	f67r2	f67r2.6	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_06	1	14	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
7	A1	f67r2	f67r2.7	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_07	3	15|16|17	1	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	dies + zufuehren + dies ; dies kurz zuführen ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
8	A1	f67r2	f67r2.8	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_08	1	18	0	0	1	0	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
9	A1	f67r2	f67r2.9	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_09	2	19|20	0	2	0	0	FULL_COMPONENT_READING	dies + zufuehren + von dort ; dies + zufuehren + Stelle + dies	UNSPECIFIED	NONE
10	A1	f67r2	f67r2.10	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_10	3	21|22|23	1	2	0	0	FULL_COMPONENT_READING	fuehren + zufuehren + dies ; dies zuführen ; ansetzen + von dort	UNSPECIFIED	NONE
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_11	3	24|25|26	1	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	waermen + dies ; ASTRO_LOCAL_LABEL ; dies	UNSPECIFIED	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_12	2	27|28	0	0	0	2	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_01	4	29|30|31|32	0	2	1	1	MIXED_COMPONENT_AND_LOCAL_LABEL	Arbeitsgang + hinein + Arbeitsgang + fortsetzen ; ASTRO_LOCAL_LABEL ; Portion ; ASTRO_LOCAL_LABEL_PENDING_CHOICE	UNSPECIFIED	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_02	3	33|34|35	1	0	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; fortsetzen; Schluss	UNSPECIFIED	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_15	1	36	0	0	0	1	LOCAL_LABEL_ONLY	ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_16	4	37|38|39|40	1	1	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; ASTRO_LOCAL_LABEL ; Arbeitsgang + kurz + zufuehren + Portion ; dies	UNSPECIFIED	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_17	3	41|42|43	2	0	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	nächster Posten ; ASTRO_LOCAL_LABEL ; dies	UNSPECIFIED	NONE
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_18	3	44|45|46	2	1	0	0	FULL_COMPONENT_READING	Arbeitsgang + hinein + dies ; Mass ; Stelle	UNSPECIFIED	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_19	4	47|48|49|50	0	2	0	2	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; Portion ; von dort ; ASTRO_LOCAL_LABEL	UNSPECIFIED	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_20	2	51|52	0	1	0	1	MIXED_COMPONENT_AND_LOCAL_LABEL	ASTRO_LOCAL_LABEL ; von dort + Stelle	UNSPECIFIED	NONE
