learned_card_id	component_recipe	literal_root_lemmas_de	learned_workshop_idiom_de	surface_variants	events	why_whole_card_de
P942-K01	Y	DIES	DIESER POSTEN	dy|chey|y|chy|shy|sy	116	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K02	OL	FORTSETZEN	DAMIT WEITER	ol|chol|qol|sol|ls	87	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K03	AIIN	SOLLMASS	NACH SOLLMASS	daiin|aiin	78	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K04	CHD+Y	UMSETZEN · DIES	DIESEN POSTEN UMSETZEN	chedy|chdy|chedchy	52	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K05	SHED+DY	ABSETZEN · SCHLIESSEN	ABSETZEN; ENDE	shedy	46	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K06	OK+E+DY	ANSETZEN · KURZ · SCHLIESSEN	KURZ ANSETZEN; ENDE	qokedy|okedy	45	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K07	OK+EE+DY	ANSETZEN · LÄNGER · SCHLIESSEN	LAENGER ANSETZEN; ENDE	qokeedy|okeedy	45	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K08	OK+Y	ANSETZEN · DIES	DIESEN POSTEN ANSETZEN	qoky|oky|qokchy|choky|okchy|okchey	41	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K09	AL	ZIEL	ZUR ZIELSTELLE	dal|al|cheal	37	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K10	OK+AIN	ANSETZEN · PORTION	EINE PORTION ANSETZEN	qokain|okain|chokain	37	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K11	OK+EE+Y	ANSETZEN · LÄNGER · DIES	LAENGER ANSETZEN	qokeey|okeey|chokeey	30	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
P942-K12	S	AUSWÄHLEN	VARIANTE WAEHLEN	s	27	Die wörtlichen Stammwerte bleiben sichtbar; die häufige Folge wird als flüssige Werkstattwendung gesprochen.
