event_ordinal	event_id	page	locus	field_id	surface	master_card_id	atomic_gloss_de	operating_mode	terminal_scope	microstep_id	event_role_in_microstep	concrete_microstep_reading_de
1	E102	f81v	f81v.2	F022	qokaiin	MC120	bemessen	MEASURE	NONCLOSE	B1-S002-M1	START	Messe die Arbeitsmenge ab und setze sie in den vorgesehenen Beckenlauf.
2	E103	f81v	f81v.2	F022	kair	MC023	Beckenlauf	LOCAL_CONTROL	NONCLOSE	B1-S002-M1	MIDDLE	Messe die Arbeitsmenge ab und setze sie in den vorgesehenen Beckenlauf.
3	E104	f81v	f81v.2	F022	okal	MC040	Orteinsatz	CHARGE	NONCLOSE	B1-S002-M1	END	Messe die Arbeitsmenge ab und setze sie in den vorgesehenen Beckenlauf.
4	E105	f81v	f81v.2	F022	char	MC055	davon	LOCAL_CONTROL	NONCLOSE	B1-S002-M2	START	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.
5	E106	f81v	f81v.2	F022	ol	MC153	weiter	LOCAL_CONTROL	NONCLOSE	B1-S002-M2	MIDDLE	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.
6	E107	f81v	f81v.2	F022	kain	MC105	Portion	CHARGE	NONCLOSE	B1-S002-M2	MIDDLE	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.
7	E108	f81v	f81v.2	F022	olkain	MC097	Folgeportion	CHARGE	NONCLOSE	B1-S002-M2	MIDDLE	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.
8	E109	f81v	f81v.2	F022	al	MC154	dorthin	LOCAL_CONTROL	NONCLOSE	B1-S002-M2	END	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.
9	E110	f81v	f81v.2	F022	ol	MC153	weiter	LOCAL_CONTROL	NONCLOSE	B1-S002-M3	START	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
10	E111	f81v	f81v.2	F022	rol	MC016	Anschluss	LOCAL_CONTROL	NONCLOSE	B1-S002-M3	MIDDLE	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
11	E112	f81v	f81v.2	F022	dl	MC012	Zusatz	CHARGE	NONCLOSE	B1-S002-M3	MIDDLE	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
12	E113	f81v	f81v.7	F023	olor	MC157	Gleichansatz	CHARGE	NONCLOSE	B1-S002-M3	MIDDLE	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
13	E114	f81v	f81v.7	F023	ol	MC153	weiter	LOCAL_CONTROL	NONCLOSE	B1-S002-M3	MIDDLE	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
14	E115	f81v	f81v.7	F023	sheckhal	MC058	Zielkurzpassage	PASS_FILTER	NONCLOSE	B1-S002-M3	END	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.
15	E116	f81v	f81v.7	F023	aiin	MC039	Sollmaß	MEASURE	NONCLOSE	B1-S002-M4	START	Prüfe das Sollmaß, halte am Ziel und prüfe das Maß erneut.
16	E117	f81v	f81v.7	F023	qokeedal	MC096	Ziellanghalt	LOCAL_CONTROL	NONCLOSE	B1-S002-M4	MIDDLE	Prüfe das Sollmaß, halte am Ziel und prüfe das Maß erneut.
17	E118	f81v	f81v.7	F023	aiin	MC039	Sollmaß	MEASURE	NONCLOSE	B1-S002-M4	END	Prüfe das Sollmaß, halte am Ziel und prüfe das Maß erneut.
18	E119	f81v	f81v.7	F023	chckhy	MC035	durchleiten	PASS_FILTER	NONCLOSE	B1-S002-M5	START	Leite den Posten hindurch und überführe ihn.
19	E120	f81v	f81v.7	F023	schedy	MC025	überführen	CHARGE	TERMINAL	B1-S002-M5	END	Leite den Posten hindurch und überführe ihn.
