page	locus	visible_owner	visible_owner_de	namespace_id	group_count	visible_sequence	astro_template	manual_locus_translation_de	concrete_default_role	orientation	cross_page_key
f67r2	f67r2.1	A1_RIGHT_SECTOR_SLOT_01	Sektorplatz 1 des rechten Rades	F67_RIGHT_WHEEL_NS	3	ykshy | s | aram	ADDRESSED_ENTRY	Am Sektorplatz 1 des rechten Rades: Lies die Quell- oder Zieladresse dieses sichtbaren Platzes. Kartenlesung: Position oder Bedingung halten; Namensendung yk/y.; örtlicher Name s fuer A1_RIGHT_SECTOR_SLOT_01; örtlicher Name aram fuer A1_RIGHT_SECTOR_SLOT_01.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.2	A1_RIGHT_SECTOR_SLOT_02	Sektorplatz 2 des rechten Rades	F67_RIGHT_WHEEL_NS	3	ykecho | ols | eesydy	ROW_CONTINUATION	Am Sektorplatz 2 des rechten Rades: Führe den aktuellen Ring, das Band oder den Eintrag an diesem Platz weiter. Kartenlesung: örtlicher Name ykecho fuer A1_RIGHT_SECTOR_SLOT_02; örtlicher Name ols fuer A1_RIGHT_SECTOR_SLOT_02; gelerntes Zeichen eesydy: lange oder volle Diagrammstufe; Namensendung sydy.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	Sektorplatz 3 des rechten Rades	F67_RIGHT_WHEEL_NS	3	ey | shs | okar	ADDRESSED_ENTRY	Am Sektorplatz 3 des rechten Rades: Lies die Quell- oder Zieladresse dieses sichtbaren Platzes. Kartenlesung: aktueller Auswahlwert.; örtlicher Name shs fuer A1_RIGHT_SECTOR_SLOT_03; Quelladresse des OK-Postens.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.4	A1_RIGHT_SECTOR_SLOT_04	Sektorplatz 4 des rechten Rades	F67_RIGHT_WHEEL_NS	2	shekchy | sykos	ACTION_OR_PATH	Am Sektorplatz 4 des rechten Rades: Setze, halte oder übertrage den Posten entlang der hier bezeichneten Bahn. Kartenlesung: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; Namensendung e/y.; örtlicher Name sykos fuer A1_RIGHT_SECTOR_SLOT_04.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	Sektorplatz 5 des rechten Rades	F67_RIGHT_WHEEL_NS	2	ykeody | okchy	ACTION_OR_PATH	Am Sektorplatz 5 des rechten Rades: Setze, halte oder übertrage den Posten entlang der hier bezeichneten Bahn. Kartenlesung: gelerntes Zeichen ykeody: Klassenplatz fest eingetragen.; POSTEN_SETZEN.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.6	A1_RIGHT_SECTOR_SLOT_06	Sektorplatz 6 des rechten Rades	F67_RIGHT_WHEEL_NS	1	dchetay	LOCAL_NAMED_ENTRY	Am Sektorplatz 6 des rechten Rades: Lies oder kopiere den gelernten örtlichen Namen dieses Platzes. Kartenlesung: gelerntes Zeichen dchetay: fester Hauptphasenwert.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.7	A1_RIGHT_SECTOR_SLOT_07	Sektorplatz 7 des rechten Rades	F67_RIGHT_WHEEL_NS	3	ykchy | kchey | ykchys	LOCAL_NAMED_ENTRY	Am Sektorplatz 7 des rechten Rades: Lies oder kopiere den gelernten örtlichen Namen dieses Platzes. Kartenlesung: Diagrammplatz berechnen oder bearbeiten; Namensendung y/y.; PLATZ_KURZ_BEARBEITEN; örtlicher Name ykchys fuer A1_RIGHT_SECTOR_SLOT_07.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	Sektorplatz 8 des rechten Rades	F67_RIGHT_WHEEL_NS	1	chkchdar	ADDRESSED_ENTRY	Am Sektorplatz 8 des rechten Rades: Lies die Quell- oder Zieladresse dieses sichtbaren Platzes. Kartenlesung: Quelladresse des CHKCHD-Postens.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	Sektorplatz 9 des rechten Rades	F67_RIGHT_WHEEL_NS	2	ykar | ykaly	SOURCE_TO_TARGET	Am Sektorplatz 9 des rechten Rades: Lies den bezeichneten Ausgangswert und übertrage ihn auf die angegebene Zielstelle. Kartenlesung: Quelladresse des YK-Postens; Zielsektor, Zielstern oder Zielfeld; Namensendung yk/y.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	Sektorplatz 10 des rechten Rades	F67_RIGHT_WHEEL_NS	3	lkshy | kchy | okar	ADDRESSED_ENTRY	Am Sektorplatz 10 des rechten Rades: Lies die Quell- oder Zieladresse dieses sichtbaren Platzes. Kartenlesung: Position oder Bedingung halten; Namensendung lk/y.; PLATZ_BEARBEITEN; Quelladresse des OK-Postens.	SECTOR_OR_PHASE_LOOKUP_VALUE	NOT_REQUIRED__SELECT_BY_VISIBLE_OWNER	NONE
