reading_unit_id	record_unit_id	statement_ids	unit_kind	source_event_ids	visible_card_count	source_token_count	rule_applications	visible_surface_sequence	literal_value_sequence	construction_reading_de
R001	H1	H1-S001	ATOMIC_CARD	E001	1	1	0	dchey	Wurzel	Wurzel
R002	H1	H1-S001	ATOMIC_CARD	E002	1	1	0	cthoor	Vorbereitung	Vorbereitung
R003	H1	H1-S001	ATOMIC_CARD	E003	1	1	0	char	davon	davon
R004	H1	H1-S001	ATOMIC_CARD	E004	1	1	0	chty	Teil	Teil
R005	H1	H1-S001	ATOMIC_CARD	E005	1	1	0	os	Aufnahmegefäß	Aufnahmegefäß
R006	H1	H1-S001	ATOMIC_CARD	E006	1	1	0	chair	Zuguss	Zuguss
R007	H1	H1-S001	ATOMIC_CARD	E007	1	1	0	otytchol	Folgeteil	Folgeteil
R008	H1	H1-S001	ATOMIC_CARD	E008	1	1	0	oky	einsetzen	einsetzen
R009	H1	H1-S001	ATOMIC_CARD	E009	1	1	0	daiin	Sollwert	Sollwert
R010	H1	H1-S001	ATOMIC_CARD	E010	1	1	0	etyd	kleiner Rest	kleiner Rest
R011	H1	H1-S002	ATOMIC_CARD	E011	1	1	0	qokchy	weiterbearbeiten	weiterbearbeiten
R012	H1	H1-S002	ATOMIC_CARD	E012	1	1	0	qotchol	Folgegang	Folgegang
R013	H1	H1-S002	ATOMIC_CARD	E013	1	1	0	chol	weiter	weiter
R014	H1	H1-S002	ATOMIC_CARD	E014	1	1	0	cthy	bereit	bereit
R015	H2	H2-S001	ATOMIC_CARD	E015	1	1	0	ycheor	Auszugsansatz	Auszugsansatz
R016	H2	H2-S001	ATOMIC_CARD	E016	1	1	0	cthy	bereit	bereit
R017	H2	H2-S001	ATOMIC_CARD	E017	1	1	0	chor	Ansatz	Ansatz
R018	H2	H2-S001	ATOMIC_CARD	E018	1	1	0	cthaiin	Sollvorbereitung	Sollvorbereitung
R019	H2	H2-S001	ATOMIC_CARD	E019	1	1	0	qoctholy	bereiter Folgeposten	bereiter Folgeposten
R020	H2	H2-S001	PAIR_PLUS_ABA_RETURN	E020|E021|E022|E023	4	4	2	dy chy taiin shy	dies > dies > Sollwert > dies	dieser und dieser Posten; den zweiten auf Sollwert setzen und als denselben Posten aktiv halten
R021	H2	H2-S002	ATOMIC_CARD	E024	1	1	0	qotchor	Folgeansatz	Folgeansatz
R022	H2	H2-S002	ATOMIC_CARD	E025	1	1	0	chor	Ansatz	Ansatz
R023	H2	H2-S002	ATOMIC_CARD	E026	1	1	0	otol	Fortgang	Fortgang
R024	H2	H2-S002	ABA_RETURN_FRAME	E027|E028|E029	3	3	1	chol cholor chol	weiter > derselbe Ansatz > weiter	Weiter im selben Ansatz, dann den Fortgang wieder aufnehmen.
R025	H2	H2-S002	ATOMIC_CARD	E030	1	1	0	daiin	Sollwert	Sollwert
R026	H2	H2-S002	ATOMIC_CARD	E031	1	1	0	dar	davon	davon
R027	H2	H2-S003	ATOMIC_CARD	E032	1	1	0	oykchor	Zubereitungsgefäß	Zubereitungsgefäß
