record_unit_id	visible_cards	source_tokens	reading_units	atomic_units	composite_units	rule_applications	unit_kinds
H1	14	14	14	14	0	0	ATOMIC_CARD
H2	24	24	16	12	4	5	ABA_RETURN_FRAME|ATOMIC_CARD|OPEN_PAIR|PAIR_PLUS_ABA_RETURN
H3	17	17	15	14	1	1	ABA_RETURN_FRAME|ATOMIC_CARD
H4	18	18	18	18	0	0	ATOMIC_CARD
H5	27	27	27	27	0	0	ATOMIC_CARD
B1	66	66	60	56	4	4	ABA_RETURN_FRAME|ATOMIC_CARD|REPEATED_CLOSED_OPERATION
B2	62	61	59	57	2	2	ABA_RETURN_FRAME|ATOMIC_CARD|CARRY_SINGLE_SOURCE
B3	86	86	84	83	1	1	ABA_RETURN_FRAME|ATOMIC_CARD
B4	47	47	46	45	1	1	ATOMIC_CARD|REPEATED_CLOSED_OPERATION
B5	11	11	11	11	0	0	ATOMIC_CARD
B6	9	9	7	6	1	1	ABA_RETURN_FRAME|ATOMIC_CARD
