event_id	record	statement_id	locus	surface	card_no	component_parse	card_reading	primitive	article_stage	minimum_source_clause_de	visible_owner_id	visible_owner_de	article_relation
E001	H1	H1-S001	f10r.2	dchey	PROC001	CH+E+Y	abziehen · kurz · dies	SOURCE_DRAW	ST01_ROOT_DRAW_PREPARATION	diesen Posten kurz abziehen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E002	H1	H1-S001	f10r.2	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	ACTIVATE_CHARGE	ST01_ROOT_DRAW_PREPARATION	den bereiten Ansatz aktivieren	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E003	H1	H1-S001	f10r.2	char	PROC003	AR	von dort	SOURCE_DRAW	ST01_ROOT_DRAW_PREPARATION	von dort nehmen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E004	H1	H1-S001	f10r.2	chty	PROC004	T+Y	eintragen · dies	ACTIVATE_CHARGE	ST02_ROOT_WORK_PATH	diesen Posten eintragen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E005	H1	H1-S001	f10r.2	os	PROC005	OS	Arbeitsfach	TARGET_HANDOFF	ST02_ROOT_WORK_PATH	das Arbeitsfach wählen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E006	H1	H1-S001	f10r.2	chair	PROC006	CH+AIR	abziehen · Lauf	SOURCE_DRAW	ST02_ROOT_WORK_PATH	durch den Lauf abziehen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E007	H1	H1-S001	f10r.2	otytchol	PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	SOURCE_DRAW	ST02_ROOT_WORK_PATH	danach diesen Posten eintragen, abziehen und fortsetzen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E008	H1	H1-S001	f10r.2	oky	PROC008	OK+Y	ansetzen · dies	CONTINUE_USE	ST03_ROOT_METER_ENTRY	diesen Posten ansetzen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E009	H1	H1-S001	f10r.2	daiin	PROC009	AIIN	Maß	METER_CHECK	ST03_ROOT_METER_ENTRY	das vorgeschriebene Maß setzen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E010	H1	H1-S001	f10r.2	etyd	PROC010	E+T+Y	kurz · eintragen · dies	ACTIVATE_CHARGE	ST03_ROOT_METER_ENTRY	diesen Posten kurz eintragen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
E011	H1	H1-S002	f10r.5	qokchy	PROC011	OK+Y	ansetzen · dies	ACTIVATE_CHARGE	ST04_ROOT_CONTINUE_READY	diesen Posten ansetzen	IMAGE_H1_ROOT_AXIS_AND_RED_SWELLINGS	sichtbarer Wurzel-/Speicherposten	SAME_PICTURED_PLANT_DIFFERENT_VISIBLE_PART_SECTION
