local_card_ordinal	source_event_id	physical_page	register	owner_de	surface	complete_slot_count	target_slot_count	host_count	gdt584_rule_ids	gdt584_polished_local_clause_de	gdt584_exact_slot_trace_de	gdt584_guard
1	P912-E1750	f67r2	CELESTIAL	zwei lokale Himmelsraeder	s	1	1	1	S_CELESTIAL_SELECT	Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1750@1=S:Wähle aus|LOCAL_ACTION:P912-E1750@1:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
2	P912-E1753	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ols	2	1	2	S_CELESTIAL_SELECT	Fahre im selben Arbeitsgang fort. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1753@1=OL:weiter im selben Arbeitsgang|LOCAL_CONTROL:P912-E1753@1:OL] [LOCAL_COMPONENT:P912-E1753@2=S:Wähle aus|LOCAL_ACTION:P912-E1753@2:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
3	P912-E1754	f67r2	CELESTIAL	zwei lokale Himmelsraeder	eesydy	5	1	1	S_CELESTIAL_SELECT	Wähle die Ringposition auf Ringstufe II und an der unteren Ringstelle aus.	[LOCAL_COMPONENT:P912-E1754@1=EE:auf Ringstufe II|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@2=S:Wähle aus|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@3=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@4=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1754@2:S] [LOCAL_COMPONENT:P912-E1754@5=Y:Ringposition|LOCAL_ACTION:P912-E1754@2:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
4	P912-E1756	f67r2	CELESTIAL	zwei lokale Himmelsraeder	shs	2	2	2	SH_CELESTIAL_FIX|S_CELESTIAL_SELECT	Halte die Position fest. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1756@1=SH:Halte die Position fest|LOCAL_ACTION:P912-E1756@1:SH] [LOCAL_COMPONENT:P912-E1756@2=S:Wähle aus|LOCAL_ACTION:P912-E1756@2:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
5	P912-E1758	f67r2	CELESTIAL	zwei lokale Himmelsraeder	shekchy	5	1	3	SH_CELESTIAL_FIX	Halte die Position auf Ringstufe I fest. Ordne zu. Lies die Ringposition ab.	[LOCAL_COMPONENT:P912-E1758@1=SH:Halte die Position fest|LOCAL_ACTION:P912-E1758@1:SH] [LOCAL_COMPONENT:P912-E1758@2=E:auf Ringstufe I|LOCAL_ACTION:P912-E1758@1:SH] [LOCAL_COMPONENT:P912-E1758@3=K:Ordne zu|LOCAL_ACTION:P912-E1758@3:K] [LOCAL_COMPONENT:P912-E1758@4=CH:Lies ab|LOCAL_ACTION:P912-E1758@4:CH] [LOCAL_COMPONENT:P912-E1758@5=Y:Ringposition|LOCAL_ACTION:P912-E1758@4:CH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
6	P912-E1759	f67r2	CELESTIAL	zwei lokale Himmelsraeder	sykos	5	1	2	S_CELESTIAL_SELECT	Wähle die Ringposition aus. Ordne in Eintragsform und an der seitlichen Ringstelle zu.	[LOCAL_COMPONENT:P912-E1759@1=S:Wähle aus|LOCAL_ACTION:P912-E1759@1:S] [LOCAL_COMPONENT:P912-E1759@2=Y:Ringposition|LOCAL_ACTION:P912-E1759@1:S] [LOCAL_COMPONENT:P912-E1759@3=K:Ordne zu|LOCAL_ACTION:P912-E1759@3:K] [LOCAL_COMPONENT:P912-E1759@4=O:in Eintragsform|LOCAL_ACTION:P912-E1759@3:K] [LOCAL_COMPONENT:P912-E1759@5=S_ADDR:an der seitlichen Ringstelle|LOCAL_ACTION:P912-E1759@3:K]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
7	P912-E1762	f67r2	CELESTIAL	zwei lokale Himmelsraeder	dchetay	6	1	2	T_CELESTIAL_SET	Lies auf Ringstufe I und an der unteren Ringstelle ab. Stelle die Ringposition an der oberen Ringstelle ein.	[LOCAL_COMPONENT:P912-E1762@1=D_ADDR:an der unteren Ringstelle|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@2=CH:Lies ab|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@3=E:auf Ringstufe I|LOCAL_ACTION:P912-E1762@2:CH] [LOCAL_COMPONENT:P912-E1762@4=T:Stelle die Ringposition ein|LOCAL_ACTION:P912-E1762@4:T] [LOCAL_COMPONENT:P912-E1762@5=A_ADDR:an der oberen Ringstelle|LOCAL_ACTION:P912-E1762@4:T] [LOCAL_COMPONENT:P912-E1762@6=Y:Ringposition|LOCAL_ACTION:P912-E1762@4:T]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
8	P912-E1765	f67r2	CELESTIAL	zwei lokale Himmelsraeder	ykchys	5	1	3	S_CELESTIAL_SELECT	Ordne die Ringposition zu. Lies die Ringposition ab. Wähle die Einheit aus.	[LOCAL_COMPONENT:P912-E1765@1=Y:Ringposition|LOCAL_ACTION:P912-E1765@2:K] [LOCAL_COMPONENT:P912-E1765@2=K:Ordne zu|LOCAL_ACTION:P912-E1765@2:K] [LOCAL_COMPONENT:P912-E1765@3=CH:Lies ab|LOCAL_ACTION:P912-E1765@3:CH] [LOCAL_COMPONENT:P912-E1765@4=Y:Ringposition|LOCAL_ACTION:P912-E1765@3:CH] [LOCAL_COMPONENT:P912-E1765@5=S:Wähle aus|LOCAL_ACTION:P912-E1765@5:S]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
9	P912-E1766	f67r2	CELESTIAL	zwei lokale Himmelsraeder	chkchdar	3	1	2	CHD_CELESTIAL_CALCULATE	Verwende für den vorangehenden Arbeitsschritt lokale CHK-Karte. Berechne den Wert von der Ausgangsposition.	[LOCAL_COMPONENT:P912-E1766@1=CHK:lokale CHK-Karte|LOCAL_CONTROL:P912-E1766@1:CHK] [LOCAL_COMPONENT:P912-E1766@2=CHD:Berechne|LOCAL_ACTION:P912-E1766@2:CHD] [LOCAL_COMPONENT:P912-E1766@3=AR:von der Ausgangsposition|LOCAL_ACTION:P912-E1766@2:CHD]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
10	P912-E1769	f67r2	CELESTIAL	zwei lokale Himmelsraeder	lkshy	4	1	2	SH_CELESTIAL_FIX	Ordne über den Ringkontakt zu. Halte die Ringposition fest.	[LOCAL_COMPONENT:P912-E1769@1=L:über den Ringkontakt|LOCAL_ACTION:P912-E1769@2:K] [LOCAL_COMPONENT:P912-E1769@2=K:Ordne zu|LOCAL_ACTION:P912-E1769@2:K] [LOCAL_COMPONENT:P912-E1769@3=SH:Halte die Position fest|LOCAL_ACTION:P912-E1769@3:SH] [LOCAL_COMPONENT:P912-E1769@4=Y:Ringposition|LOCAL_ACTION:P912-E1769@3:SH]	FIXED_LOCAL_CARD_AND_COMPLETE_SLOT_TRACE__READER_POLISH_ONLY
