passage_ordinal	statement_id	physical_page	register	owner_id	event_count	surface_sequence	gdt583_editorial_working_paragraph_de	gdt584_polished_paragraph_de	gdt584_guard
1	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	10	odar shol cphoy oydar sh s cfhoaiin shodary yshey shody	Arbeite an der Arbeitsstelle in Arbeitsform vom Ausgangsgefäß her. Lass ruhen und fahre im selben Gang fort. Entnimm Arbeitsgut und bring es dort in Arbeitsform ein. Lass ruhen, sondere aus und entnimm ein Flüssigkeitsmaß in Feinform. Lass das Arbeitsgut in Arbeitsform an der Arbeitsstelle aus der Quelle ruhen; halte äußeres und inneres Gut gemeinsam auf Stufe I. Lass die Arbeitsform abschließend ruhen und schließe den Gang.	Verwende für den vorangehenden Arbeitsschritt in Arbeitsform, an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß. Lass das Arbeitsgut ruhen. Fahre im selben Arbeitsgang fort. Entnimm. Bringe das Arbeitsgut in Arbeitsform, an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß ein. Lass das Arbeitsgut ruhen. Sondere das Material aus. Entnimm das Flüssigkeitsmaß in Arbeitsform und in Feinform. Lass das Arbeitsgut in Arbeitsform, an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß ruhen. Lass das Arbeitsgut auf Grad I ruhen. Lass das Arbeitsgut in Arbeitsform ruhen. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
2	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	12	okchoy otchol chocthy os chy dain chor kos daiin shos cfhol shody	Setze Arbeitsgut in Arbeitsform an und entnimm es. Beginne danach einen neuen Gang und entnimm weiter. Entnimm nochmals in Arbeitsform und bring Arbeitsgut und Portion auf die eingestellte beziehungsweise temperierte Bedingung. Entnimm die Ansatzeinheit, gib in Arbeitsform zu und sondere ein Flüssigkeitsmaß aus. Lass die Form ruhen, sondere erneut aus, entnimm in Feinform und fahre fort. Lass die Arbeitsform ruhen und schließe.	"Setze an. Entnimm das Arbeitsgut in Arbeitsform. Beginne danach den nächsten Arbeitsgang.

Entnimm. Fahre im selben Arbeitsgang fort. Entnimm in Arbeitsform. Entnimm. Lege das Arbeitsgut und die Portion fest. Verwende für den vorangehenden Arbeitsschritt mit Vorbezug. Entnimm den Ansatz. Gib in Arbeitsform zu. Sondere das Flüssigkeitsmaß aus. Lass das Arbeitsgut in Arbeitsform ruhen. Sondere das Material aus. Entnimm in Feinform. Fahre im selben Arbeitsgang fort. Halte den Zustand in Arbeitsform. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
3	G515-S042	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	22	tocpheey dol kchody qokeody qokshy qopaiin dairykodas okyd dsholdaiir dalky shky qoky shekair choty dar okeey shdy ykol qo cheky shcthy dalalshedy	Temperiere in Arbeitsform, entnimm und bring Arbeitsgut auf Stufe II ein. Fahre an der Arbeitsstelle fort; gib zu, entnimm und setze das Gut dort auf Stufe I an. Lass den Ansatz ruhen und bring als Neuansatz ein Flüssigkeitsmaß ein. Gib das Arbeitsgut am Arbeitsweg zu und sondere es im zweiten Durchgang aus. Setze es an der Arbeitsstelle an, lass es dort im zweiten Durchgang ruhen und prüfe die bezeichnete Stufe. Gib das Gut zum Ziel, lass ruhen, gib erneut zu und setze an. Lass auf Stufe I ruhen und gib entlang des Arbeitswegs zu. Entnimm dann aus dem Ausgangsgefäß in einen neuen Gang, setze auf Stufe II an, lass an der Arbeitsstelle ruhen und gib in Arbeitsform weiter zu. Entnimm, gib auf Stufe I zu, lass ruhen, entnimm und temperiere. Übernimm diese Einstellung für beide Zielstellen, lass auf Stufe I ruhen und schließe.	"Lege die Arbeitsbedingung in Arbeitsform fest. Entnimm. Bringe das Arbeitsgut auf Grad II ein. Verwende für den vorangehenden Arbeitsschritt an der Arbeitsstelle. Fahre im selben Arbeitsgang fort. Gib zu. Entnimm das Arbeitsgut in Arbeitsform und an der Arbeitsstelle. Setze das Arbeitsgut in Arbeitsform, auf Grad I und an der Arbeitsstelle an. Setze an. Lass das Arbeitsgut ruhen. Bringe das Flüssigkeitsmaß in Arbeitsform und als Neuansatz ein. Gib das Arbeitsgut in Arbeitsform, an der Arbeitsstelle und entlang des Arbeitswegs zu. Sondere das Material im zweiten Durchgang aus. Setze das Arbeitsgut an der Arbeitsstelle an. Lass das Arbeitsgut im zweiten Durchgang, an der Arbeitsstelle und zur Zielstelle oder ins Zielgefäß ruhen. Fahre im selben Arbeitsgang fort. Kennzeichne oder prüfe auf der bezeichneten Stufe. Gib das Arbeitsgut zu. Lass das Arbeitsgut ruhen. Gib das Arbeitsgut zu. Setze das Arbeitsgut an. Lass das Arbeitsgut auf Grad I ruhen. Gib entlang des Arbeitswegs zu. Entnimm das Arbeitsgut an der Arbeitsstelle und von der Quelle oder aus dem Ausgangsgefäß. Beginne danach den nächsten Arbeitsgang.

Setze das Arbeitsgut auf Grad II an. Lass das Arbeitsgut an der Arbeitsstelle ruhen. Gib das Arbeitsgut zu. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt in Arbeitsform. Entnimm. Gib das Arbeitsgut auf Grad I zu. Lass das Arbeitsgut ruhen. Entnimm. Lege das Arbeitsgut zur Zielstelle oder ins Zielgefäß fest. Lass das Arbeitsgut auf Grad I ruhen. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
4	G515-S043	f66r	SOURCE_SECTION_T	F66R_TEXT_BLOCK_02	15	cheta r sheod shokaiir chy dard shor sheodal sholdy qokchedy qopchy qoty chedaiir chees kardy	Entnimm auf Stufe I, stelle die Bedingung an der Hauptstelle ein und prüfe. Lass die Arbeitsform auf Stufe I an der Arbeitsstelle ruhen. Lass weiter ruhen, setze das Arbeitsgut auf der bezeichneten Stufe aus dem Ausgangsgefäß an und prüfe beide Arbeitsstellen. Lass den Ansatz ruhen; lass ihn danach auf Stufe I in Arbeitsform im Zielgefäß und anschließend weiter an der Arbeitsstelle ruhen. Setze das Gut an und arbeite es auf, bring es in Arbeitsform ein und eröffne damit den nächsten Gang. Bearbeite es auf der bezeichneten Stufe, prüfe, lass es auf Stufe II an der Endstelle ruhen, gib aus dem Ausgangsgefäß zu und schließe.	"Entnimm auf Grad I. Lege die Arbeitsbedingung an der Hauptstelle fest. Kennzeichne oder prüfe. Lass das Arbeitsgut in Arbeitsform, auf Grad I und an der Arbeitsstelle ruhen. Lass das Arbeitsgut ruhen. Setze das Arbeitsgut auf der bezeichneten Stufe und von der Quelle oder aus dem Ausgangsgefäß an. Kennzeichne oder prüfe an der Arbeitsstelle. Lass den Ansatz ruhen. Lass das Arbeitsgut in Arbeitsform, auf Grad I und zur Zielstelle oder ins Zielgefäß ruhen. Lass das Arbeitsgut an der Arbeitsstelle ruhen. Fahre im selben Arbeitsgang fort. Setze an. Bearbeite das Arbeitsgut. Bringe das Arbeitsgut in Arbeitsform ein. Beginne danach den nächsten Arbeitsgang.

Bearbeite das Material auf der bezeichneten Stufe. Kennzeichne oder prüfe. Lass das Arbeitsgut auf Grad II und an der Endstelle ruhen. Gib von der Quelle oder aus dem Ausgangsgefäß zu. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
5	G407-S010	f11r	HERBAL	blühender dreikroniger Sodenstock	7	tshol schoal cfhy shfydaiin cphy shey tchody	Erwärme den Ansatz und lass ihn im selben Arbeitsgang weiterziehen. Lass die Zubereitung am Ziel- oder Auffanggefäß stehen. Zieh die feine Pflanzencharge ab und lass Pflanzencharge und Auszug beziehungsweise Arbeitsmaß zusammen ziehen. Nimm die Charge heraus und bring sie wieder ein; lass sie auf Stufe I ziehen. Temperiere abschließend und zieh die Zubereitung ab, dann schließe den Arbeitsgang.	Erwärme das Material. Halte anschließend warm. Fahre im selben Arbeitsgang fort. Halte den Zustand in Zubereitungsform und zur Zielstelle oder ins Auffanggefäß. Entnimm die Pflanzencharge in Feinform. Lass die Pflanzencharge im Auszug ziehen. Entnimm. Bringe die Pflanzencharge ein. Weiche die Pflanzencharge auf Grad I ein. Reguliere oder temperiere die Arbeitsbedingung. Entnimm in Zubereitungsform. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
6	G407-S013	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	16	tchor dor daiin qotchol okchy okchor oiin chckhy d dchy qoky chol dy qoy d oldy	Temperiere eine Pflanzen- oder Arbeitseinheit und zieh sie an der Pflanzenarbeitsstelle ab; nimm dabei Auszug beziehungsweise Arbeitsmaß. Beginne einen neuen Gang und zieh weiter ab. Setze eine Pflanzencharge an, setze die Einheit ebenfalls an und zieh sie in Zubereitungsform auf der Verarbeitungsstufe ab. Entnimm die Charge und gib sie an der Arbeitsstelle zu. Setze die Charge dort weiter in Zubereitungsform an und schließe den Gang.	"Reguliere oder temperiere die Arbeitsbedingung. Entnimm die Pflanzen- oder Arbeitseinheit und den Pflanzenauszug an der Pflanzen-Arbeitsstelle. Beginne danach den nächsten Arbeitsgang.

Entnimm. Fahre im selben Arbeitsgang fort. Setze die Pflanzencharge an. Setze an. Entnimm die Pflanzen- oder Arbeitseinheit. Verwende für den vorangehenden Arbeitsschritt in Zubereitungsform und auf der Verarbeitungsstufe. Entnimm. Gib die Pflanzencharge an der Pflanzen-Arbeitsstelle zu. Verwende für den vorangehenden Arbeitsschritt an der Pflanzen-Arbeitsstelle. Setze die Pflanzencharge in Zubereitungsform an. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Pflanzen-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang."	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
7	G407-S020	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	6	oldckhy ydair choky okshy qodar ckhody	Fahre fort: Entnimm an der Pflanzenarbeitsstelle und gib die Charge entlang des Verarbeitungswegs zu. Setze die Pflanzencharge zweimal an, den zweiten Ansatz in Zubereitungsform an der Arbeitsstelle aus dem Ausgangsmaterial. Entnimm abschließend und gib in Zubereitungsform zu, dann schließe.	Fahre fort: Entnimm an der Pflanzenarbeitsstelle und gib die Charge entlang des Verarbeitungswegs zu. Setze die Pflanzencharge zweimal an, den zweiten Ansatz in Zubereitungsform an der Arbeitsstelle aus dem Ausgangsmaterial. Entnimm abschließend und gib in Zubereitungsform zu, dann schließe.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
8	G407-S028	f18r	HERBAL	große abgebildete Blütenpflanze	4	doldaiin qokchor ckhol olody	Fahre im selben Gang mit dem Auszug oder Arbeitsmaß fort, das zum folgenden Ansatz gehört. Setze den Pflanzenansatz an und zieh eine Pflanzen- oder Arbeitseinheit ab. Entnimm, gib weiter zu, führe den Gang in Zubereitungsform fort und schließe.	Fahre im selben Gang mit dem Auszug oder Arbeitsmaß fort, das zum folgenden Ansatz gehört. Setze den Pflanzenansatz an und zieh eine Pflanzen- oder Arbeitseinheit ab. Entnimm, gib weiter zu, führe den Gang in Zubereitungsform fort und schließe.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
9	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	7	opodchol s ain aldy soeey doiin oldy	Trage an der unteren Ringstelle in doppelter Eintragsform ein und fahre fort. Wähle einen Sektoranteil und die Ringposition an der unteren Zielposition. Wähle dieselbe Position in Eintragsform auf Ringstufe II; die Auswahl gilt an der unteren Ringstelle in Eintragsform auf der Feinstufe. Fahre fort und schließe.	Setze in Eintragsform und an der unteren Ringstelle ein. Fahre im selben Arbeitsgang fort. Wähle den Sektoranteil und die Ringposition an der unteren Ringstelle und zur Zielposition aus. Wähle die Ringposition in Eintragsform und auf Ringstufe II aus. Verwende für den vorangehenden Arbeitsschritt in Eintragsform, auf der Feinstufe und an der unteren Ringstelle. Fahre im selben Arbeitsgang fort. Schließe den Arbeitsgang.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
10	G407-S045	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	3	saiin ochol olol	Wähle den Positionswert in Eintragsform und fahre im selben Gang fort; führe denselben Gang anschließend noch einmal weiter.	Wähle den Positionswert aus. Verwende für den vorangehenden Arbeitsschritt in Eintragsform. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort.	FIXED_GDT583_PASSAGE_SET__NO_NEW_PAGE_OR_SURFACE
