review_ordinal	statement_id	physical_page	register	target_slot_count	pre_host_fragment_count	post_host_fragment_count	remote_fine_argument_count	gdt583_excerpt_de	gdt584_excerpt_de	manual_disposition	guard
1	G407-S001	f1r	SOURCE_SECTION_T	24	13	0	0	Entnimm: in Feinform, an der Hauptstelle, Arbeitsgut; Sondere aus. Gib zu: Arbeitsgut, zur Zielstelle oder ins Zielgefäß. beim Zugeben: von der Quelle oder aus dem Ausgangsgefäß. Lege fest: an der Hauptstelle, Flüssigkeitsmaß. Lass ruhen; fahre im selben Arbeitsgang fort. Lass ruhen: Ansatz, Arbeitsgut. Entnimm; Lege fest: auf Grad I; Kennzeichne oder prüfe; Sondere aus. beim Auswählen oder Aussondern: Arbeitsgut. Gib zu: Ansatz. Lass ruhen: an der Arbeitsstelle, Arbeitsgut; fahre im selben Arbeitsgang fort. Sondere aus: Ansatz, Arbeitsgut. Entnimm; Gib zu: von der Quelle oder aus dem Ausgangs	Entnimm das Arbeitsgut in Feinform und an der Hauptstelle. Sondere das Material aus. Gib das Arbeitsgut zur Zielstelle oder ins Zielgefäß und von der Quelle oder aus dem Ausgangsgefäß zu. Lege das Flüssigkeitsmaß an der Hauptstelle fest. Lass das Arbeitsgut ruhen. Fahre im selben Arbeitsgang fort. Lass den Ansatz und das Arbeitsgut ruhen. Entnimm. Lege die Arbeitsbedingung auf Grad I fest. Kennzeichne oder prüfe. Sondere das Arbeitsgut aus. Gib den Ansatz zu. Lass das Arbeitsgut an der Arbeitsstelle ruhen. Fahre im selben Arbeitsgang fort. Sondere den Ansatz und das Arbeitsgut aus. Entnimm. Gi	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
2	G407-S005	f1r	SOURCE_SECTION_T	37	20	0	0	beim Entnehmen: Arbeitsgut, Portion. Entnimm; Bringe ein: auf Grad I; Sondere aus: Flüssigkeitsmaß. fahre im selben Arbeitsgang fort; Sondere aus. Entnimm; Bringe ein: auf Grad I, Arbeitsgut. Lege fest: Arbeitsgut, Portion. Lass ruhen: in Arbeitsform; Lass ruhen: Arbeitsgut. Entnimm; Bringe ein: in Arbeitsform, an der Arbeitsstelle, zur Zielstelle oder ins Zielgefäß. Sondere aus: auf Grad I. Setze an; Lass ruhen: in Arbeitsform. Gib zu; Lass ruhen: in Arbeitsform, Arbeitsgut. beginne danach den nächsten Arbeitsgang; beim Ruhenlassen: entlang des Arbeitswegs; auf der bezeichneten Stufe. beginne	Entnimm das Arbeitsgut und die Portion. Bringe auf Grad I ein. Sondere das Flüssigkeitsmaß aus. Fahre im selben Arbeitsgang fort. Sondere das Material aus. Entnimm. Bringe das Arbeitsgut auf Grad I ein. Lege das Arbeitsgut und die Portion fest. Lass das Arbeitsgut in Arbeitsform ruhen. Lass das Arbeitsgut ruhen. Entnimm. Bringe in Arbeitsform, an der Arbeitsstelle und zur Zielstelle oder ins Zielgefäß ein. Sondere das Material auf Grad I aus. Setze an. Lass das Arbeitsgut in Arbeitsform ruhen. Gib zu. Lass das Arbeitsgut in Arbeitsform und entlang des Arbeitswegs ruhen. Beginne danach den näch	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
3	G407-S006	f1r	SOURCE_SECTION_T	15	10	0	0	Entnimm; Bringe ein: in Arbeitsform. Lass ruhen: Flüssigkeitsmaß. Lass ruhen; Setze an; Entnimm: auf Grad II, Arbeitsgut. fahre im selben Arbeitsgang fort. Lege fest; Lass ruhen: in Arbeitsform, an der Arbeitsstelle; Sondere aus: auf Grad II, Arbeitsgut. Lass ruhen: auf Grad I, Arbeitsgut. Bringe ein: Arbeitsgut, an der Arbeitsstelle, auf Grad II, Arbeitsgut. Entnimm: an der Hauptstelle. Kennzeichne oder prüfe: in Arbeitsform. beim Kennzeichnen oder Prüfen: an der Arbeitsstelle, von der Quelle oder aus dem Ausgangsgefäß. beim Kennzeichnen oder Prüfen: Arbeitsgut, an der Arbeitsstelle, in Arbei	Entnimm. Bringe in Arbeitsform ein. Lass das Flüssigkeitsmaß ruhen. Lass das Arbeitsgut ruhen. Setze an. Entnimm das Arbeitsgut auf Grad II. Fahre im selben Arbeitsgang fort. Lege die Arbeitsbedingung fest. Lass das Arbeitsgut in Arbeitsform und an der Arbeitsstelle ruhen. Sondere das Arbeitsgut auf Grad II aus. Lass das Arbeitsgut auf Grad I ruhen. Bringe das Arbeitsgut auf Grad II und an der Arbeitsstelle ein. Entnimm an der Hauptstelle. Kennzeichne oder prüfe das Arbeitsgut und die Portion in Arbeitsform, auf der bezeichneten Stufe, an der Arbeitsstelle und von der Quelle oder aus dem Ausga	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
4	G407-S008	f10r	HERBAL	14	10	0	0	Bringe ein; Entnimm oder ziehe aus: in Zubereitungsform; Entnimm oder ziehe aus; Stelle ein oder temperiere: Pflanzencharge. Halte: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus: in Zubereitungsform; Stelle Form oder Stufe ein: in Zubereitungsform, an der Pflanzen-Arbeitsstelle, Pflanzencharge. Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit; Entnimm oder ziehe aus: Pflanzencharge. Bringe ein; Entnimm oder ziehe aus: in Zubereitungsform, an der Pflanzen-Arbeitsstelle; fahre im selben Arbeitsgang fort. Entnimm oder ziehe aus: in Zubereitungsform; Bringe ein; Entnimm oder ziehe aus	Bringe ein. Entnimm in Zubereitungsform. Entnimm. Reguliere oder temperiere die Pflanzencharge. Halte die Pflanzen- oder Arbeitseinheit. Entnimm in Zubereitungsform. Bringe die Pflanzencharge in Zubereitungsform an der Pflanzen-Arbeitsstelle. Entnimm die Pflanzen- oder Arbeitseinheit. Entnimm die Pflanzencharge. Bringe ein. Entnimm in Zubereitungsform und an der Pflanzen-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Entnimm in Zubereitungsform. Bringe ein. Entnimm zur Zielstelle oder ins Auffanggefäß. Bringe die Pflanzencharge ein. Entnimm. Gib in Zubereitungsform und an der Mittelstelle zu	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
5	G407-S009	f10r	HERBAL	13	22	0	0	Setze den Pflanzenansatz an: Pflanzencharge. beginne danach den nächsten Arbeitsgang; Entnimm oder ziehe aus; fahre im selben Arbeitsgang fort. fahre im selben Arbeitsgang fort. Entnimm oder ziehe aus; Stelle ein oder temperiere: Pflanzencharge. Entnimm oder ziehe aus: Pflanzencharge, auf Grad I; Kennzeichne oder prüfe: in Zubereitungsform. Entnimm oder ziehe aus; Stelle ein oder temperiere: Pflanzencharge. Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus; Stelle Maß oder Ort ein: Pflanzenauszug oder Arbeitsmaß. Entnimm oder ziehe aus: als neuer Pflanzenansatz, in 	"Setze die Pflanzencharge an. Beginne danach den nächsten Arbeitsgang.

Entnimm. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Entnimm. Reguliere oder temperiere die Pflanzencharge. Entnimm die Pflanzencharge auf Grad I. Kennzeichne oder prüfe in Zubereitungsform. Entnimm. Reguliere oder temperiere die Pflanzencharge. Entnimm die Pflanzen- oder Arbeitseinheit. Entnimm. Stelle den Pflanzenauszug ein. Entnimm in Zubereitungsform und als neuer Pflanzenansatz. Reguliere oder temperiere die Pflanzencharge. Fahre im selben Arbeitsgang fort. Stelle den Pflanzenauszug und die Pfla"	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
6	G407-S011	f11r	HERBAL	16	22	0	3	Halte: in Zubereitungsform; Kühle ab: Pflanzencharge, Pflanzencharge. Wähle aus: in Zubereitungsform; Entnimm oder ziehe aus; Stelle Form oder Stufe ein: in Zubereitungsform, an der Pflanzen-Arbeitsstelle, Pflanzencharge. beim Einstellen oder Temperieren: als neuer Pflanzenansatz, in Zubereitungsform, an der Pflanzen-Arbeitsstelle, Pflanzen- oder Arbeitseinheit. beim Einstellen oder Temperieren: Pflanzencharge. Gib zu; Lass den Auszug ziehen: Pflanzencharge. beim Halten oder Ziehenlassen: Pflanzenauszug oder Arbeitsmaß. Stelle ein oder temperiere: Pflanzencharge, Pflanzencharge. Stelle ein ode	"Halte den Zustand in Zubereitungsform. Lass die Pflanzencharge anschließend abkühlen. Wähle die Einheit in Zubereitungsform aus. Entnimm. Bringe die Pflanzencharge und die Pflanzen- oder Arbeitseinheit in Zubereitungsform als neuer Pflanzenansatz und an der Pflanzen-Arbeitsstelle. Gib zu. Lass die Pflanzencharge im Auszug ziehen. Reguliere oder temperiere die Pflanzencharge. Reguliere oder temperiere die Pflanzencharge. Setze die Pflanzencharge an. Gib den Pflanzenauszug und die Pflanzencharge zu. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbei"	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
7	G407-S012	f13r	HERBAL	13	10	0	3	Erwärme: Pflanzen- oder Arbeitseinheit; Halte: Pflanzen- oder Arbeitseinheit. Bringe ein: in Zubereitungsform, Pflanzencharge. Halte; fahre im selben Arbeitsgang fort. beim Halten oder Ziehenlassen: Pflanzencharge. Bringe ein: in Zubereitungsform, Pflanzencharge. Halte; fahre im selben Arbeitsgang fort. Bringe ein: in Zubereitungsform; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Bringe ein: an der Pflanzen-Arbeitsstelle, Pflanzencharge, Pflanzencharge. Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle, in der Alternativform. an der Pflanzen-Arbeitsstelle; fahre im selben Arbeits	Erwärme die Pflanzen- oder Arbeitseinheit. Halte die Pflanzen- oder Arbeitseinheit warm. Bringe die Pflanzencharge in Zubereitungsform ein. Halte die Pflanzencharge. Fahre im selben Arbeitsgang fort. Bringe die Pflanzencharge in Zubereitungsform ein. Halte den Zustand. Fahre im selben Arbeitsgang fort. Bringe in Zubereitungsform ein. Entnimm die Pflanzen- oder Arbeitseinheit. Bringe die Pflanzencharge an der Pflanzen-Arbeitsstelle ein. Entnimm in der Alternativform und an der Pflanzen-Arbeitsstelle. Verwende für den vorangehenden Arbeitsschritt an der Pflanzen-Arbeitsstelle. Fahre im selben Ar	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
8	G407-S024	f17r	HERBAL	5	3	0	1	Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle, Pflanzencharge. Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle, Pflanzencharge, auf Grad I, vom Ausgangsmaterial oder -gefäß. Wähle aus: vom Ausgangsmaterial oder -gefäß. Gib zu: Pflanzencharge, Pflanzencharge. Trenne ab: in Zubereitungsform, Pflanzencharge. Entnimm oder ziehe aus; Gib zu: in Zubereitungsform. in Zubereitungsform. Wähle aus: im zweiten Durchgang. Entnimm oder ziehe aus: Pflanzencharge; Bringe ein; Entnimm oder ziehe aus: an der Pflanzen-Nebenstelle. beim Entnehmen oder Ausziehen: an der Pflanzen-Arbeitsstelle, vom A	Entnimm die Pflanzencharge an der Pflanzen-Arbeitsstelle. Entnimm die Pflanzencharge auf Grad I, an der Pflanzen-Arbeitsstelle und vom Ausgangsmaterial oder -gefäß. Wähle die Einheit vom Ausgangsmaterial oder -gefäß aus. Gib die Pflanzencharge zu. Sondere die Pflanzencharge in Zubereitungsform aus. Entnimm. Gib in Zubereitungsform zu. Verwende für den vorangehenden Arbeitsschritt in Zubereitungsform. Wähle die Einheit im zweiten Durchgang aus. Entnimm die Pflanzencharge. Bringe ein. Entnimm an der Pflanzen-Nebenstelle, an der Pflanzen-Arbeitsstelle und vom Ausgangsmaterial oder -gefäß. Entnimm	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
9	G407-S027	f18r	HERBAL	10	6	0	0	Stelle ein oder temperiere; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. Halte: Pflanzen- oder Arbeitseinheit. Entnimm oder ziehe aus; Stelle Maß oder Ort ein: Pflanzenauszug oder Arbeitsmaß. Entnimm oder ziehe aus; Stelle ein oder temperiere; fahre im selben Arbeitsgang fort. beim Einstellen oder Temperieren: über den Materialkontakt; fahre im selben Arbeitsgang fort. in der Oberklasse, an der Mittelstelle. beim Einstellen oder Temperieren: Pflanzencharge, Pflanzencharge. Gib zu; Entnimm oder ziehe aus: Pflanzen- oder Arbeitseinheit. beim Entnehmen oder Ausziehen: an der Pflanzen-Ar	Reguliere oder temperiere die Arbeitsbedingung. Entnimm die Pflanzen- oder Arbeitseinheit. Halte die Pflanzen- oder Arbeitseinheit. Entnimm. Stelle den Pflanzenauszug ein. Entnimm. Reguliere oder temperiere die Pflanzencharge über den Materialkontakt. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt in der Oberklasse und an der Mittelstelle. Gib zu. Entnimm die Pflanzen- oder Arbeitseinheit an der Pflanzen-Arbeitsstelle und entlang des Verarbeitungswegs. Reguliere oder temperiere die Pflanzencharge. Fahre im selben Arbeitsgang fo	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
10	G407-S031	f24v	HERBAL	10	7	0	1	Entnimm oder ziehe aus: in Zubereitungsform; Bringe ein: Pflanzen- oder Arbeitseinheit, Pflanzenauszug oder Arbeitsmaß. in Zubereitungsform. Gib zu. in Zubereitungsform. an der Pflanzen-Nebenstelle. Trenne ab: Pflanzencharge; beim Zugeben: zur Zielstelle oder ins Auffanggefäß. Entnimm oder ziehe aus; Gib zu: Pflanzen- oder Arbeitseinheit. beim Zugeben: Pflanzencharge. in der Oberklasse. Entnimm oder ziehe aus: an der Pflanzen-Arbeitsstelle, Pflanzen- oder Arbeitseinheit. beginne danach den nächsten Arbeitsgang; fahre im selben Arbeitsgang fort. beginne danach den nächsten Arbeitsgang; Kennzeic	"Entnimm in Zubereitungsform. Bringe die Pflanzen- oder Arbeitseinheit und den Pflanzenauszug ein. Verwende für den vorangehenden Arbeitsschritt in Zubereitungsform. Gib zur Zielstelle oder ins Auffanggefäß zu. Verwende für den vorangehenden Arbeitsschritt in Zubereitungsform und an der Pflanzen-Nebenstelle. Sondere die Pflanzencharge aus. Entnimm. Gib die Pflanzen- oder Arbeitseinheit und die Pflanzencharge zu. Verwende für den vorangehenden Arbeitsschritt in der Oberklasse. Entnimm die Pflanzen- oder Arbeitseinheit an der Pflanzen-Arbeitsstelle. Beginne danach den nächsten Arbeitsgang.

Fahre"	READ_FOR_WHOLE_STATEMENT_COLLOCATION_AND_HOST_COHERENCE	ALL_FIVE_REGISTERS_AND_ALL_GDT583_RULE_FAMILIES_COVERED
