assignment_ordinal	slot_id	layer	source_event_or_card_id	statement_or_record_id	physical_page	register	owner	surface	slot_position	root	primary_governor_key	direct_governor_tokens	governor_group_tokens	governor_object_scope	previous_visible_action	next_visible_action	gdt583_rule_id	gdt583_working_default_de	gdt584_rule_id	gdt584_working_default_de	gdt584_concrete_sense_de	gdt584_disposition	gdt584_rationale	gdt584_remote_fine_argument	gdt584_remote_fine_stitch_status	gdt584_guard
1	RUNNING:G407-E0001@5	RUNNING_ATOM	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	5	S	ACTION:G407-E0001@5:S	S	S	SAME_CARD_DIRECT_HOST	CH	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
2	RUNNING:G407-E0004@2	RUNNING_ATOM	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	2	T	ACTION:G407-E0004@2:T	AIIN|A_ADDR|T	AIIN|A_ADDR|T	SAME_CARD_DIRECT_HOST	NONE	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
3	RUNNING:G407-E0005@1	RUNNING_ATOM	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	1	SH	ACTION:G407-E0005@1:SH	SH	SH	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
4	RUNNING:G407-E0006@1	RUNNING_ATOM	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	1	SH	ACTION:G407-E0006@1:SH	OR|SH|Y	OR|SH|Y	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
5	RUNNING:G407-E0007@2	RUNNING_ATOM	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	2	T	ACTION:G407-E0007@2:T	E|T	E|T	SAME_CARD_DIRECT_HOST	CH	R	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
6	RUNNING:G407-E0007@5	RUNNING_ATOM	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	5	S	ACTION:G407-E0007@5:S	S	S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	R	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
7	RUNNING:G407-E0010@1	RUNNING_ATOM	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	1	SH	ACTION:G407-E0010@1:SH	D_ADDR|SH|Y	D_ADDR|SH|Y	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
8	RUNNING:G407-E0011@1	RUNNING_ATOM	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	1	S	ACTION:G407-E0011@1:S	OR|S|Y	OR|S|Y	SAME_CARD_DIRECT_HOST	NONE	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
9	RUNNING:G407-E0016@2	RUNNING_ATOM	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	2	T	ACTION:G407-E0016@2:T	AIIN|T	AIIN|T	SAME_CARD_DIRECT_HOST	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
10	RUNNING:G407-E0017@1	RUNNING_ATOM	G407-E0017	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	1	SH	ACTION:G407-E0017@1:SH	AR|SH	AR|SH	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
11	RUNNING:G407-E0018@2	RUNNING_ATOM	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	2	S	ACTION:G407-E0018@2:S	A_ADDR|E|S	A_ADDR|E|S	SAME_CARD_DIRECT_HOST	NONE	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
12	RUNNING:G407-E0019@2	RUNNING_ATOM	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	2	T	ACTION:G407-E0019@2:T	AR|T	AR|T	SAME_CARD_DIRECT_HOST	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
13	RUNNING:G407-E0020@2	RUNNING_ATOM	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	2	T	ACTION:G407-E0020@2:T	AR|T	AIN|AR|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
14	RUNNING:G407-E0022@1	RUNNING_ATOM	G407-E0022	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	1	S	ACTION:G407-E0022@1:S	S|Y	S|Y	SAME_CARD_DIRECT_HOST	NONE	R	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
15	RUNNING:G407-E0023@1	RUNNING_ATOM	G407-E0023	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	1	SH	ACTION:G407-E0023@1:SH	E|SH	E|SH	SAME_CARD_DIRECT_HOST	NONE	K	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
16	RUNNING:G407-E0026@1	RUNNING_ATOM	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shod	1	SH	ACTION:G407-E0026@1:SH	D_ADDR|O|SH	D_ADDR|O|SH	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
17	RUNNING:G407-E0027@2	RUNNING_ATOM	G407-E0027	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	2	T	ACTION:G407-E0027@2:T	AR|O|T|Y	AR|O|T|Y	SAME_CARD_DIRECT_HOST	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
18	RUNNING:G407-E0028@2	RUNNING_ATOM	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	2	T	ACTION:G407-E0028@2:T	E|T	E|T	SAME_CARD_DIRECT_HOST	CH	S	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
19	RUNNING:G407-E0028@4	RUNNING_ATOM	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	4	S	ACTION:G407-E0028@4:S	S	AIIN|AR|D_ADDR|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	T	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
20	RUNNING:G407-E0031@1	RUNNING_ATOM	G407-E0031	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	soiin	1	S	ACTION:G407-E0031@1:S	IIN|O|S	IIN|O|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	NONE	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
21	RUNNING:G407-E0035@2	RUNNING_ATOM	G407-E0035	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	2	T	ACTION:G407-E0035@2:T	AR|LOCAL_CHAR_I|T	AIIN|AR|LOCAL_CHAR_I|T	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
22	RUNNING:G407-E0040@1	RUNNING_ATOM	G407-E0040	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sair	1	S	ACTION:G407-E0040@1:S	AIR|S	AIR|S|Y	COMPLETE_GDT581_HOST_INCLUDES_REMOTE_ARGUMENT	NONE	NONE	S_SOURCE_SORT_OUT	Sondere aus	S_SOURCE_SORT_OUT	Sondere aus	Arbeitsgut oder Wert aussondern	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
23	RUNNING:G407-E0043@2	RUNNING_ATOM	G407-E0043	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthaiin	2	T	ACTION:G407-E0043@2:T	AIIN|T	AIIN|T	SAME_CARD_DIRECT_HOST	CH	NONE	T_SOURCE_FIX	Lege fest	T_SOURCE_FIX	Lege fest	Arbeitsbedingung oder Wert festlegen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
24	RUNNING:G407-E0046@6	RUNNING_ATOM	G407-E0046	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ydaraishy	6	SH	ACTION:G407-E0046@6:SH	A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y	A_ADDR|D_ADDR|LOCAL_CHAR_I|SH|Y	SAME_CARD_DIRECT_HOST	NONE	NONE	SH_SOURCE_REST	Lass ruhen	SH_SOURCE_REST	Lass ruhen	Arbeitsgut oder Ansatz ruhen lassen	RETAINED	GDT583 occurrence sense retained; only the reader renderer changes	NO	NOT_APPLICABLE	GDT583_SLOT_PRIMARY_GOVERNOR_AND_SURFACE_FIXED__COLLOCATION_OR_READER_WORDING_ONLY
