event_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	written_slot_count	target_slot_count	target_roots	gdt584_rule_ids	anchored_host_count	packet_membership_host_count	gdt584_polished_event_clause_de	gdt584_local_written_slot_ids	gdt584_guard
1	G407-E0001	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	5	1	S	S_SOURCE_SORT_OUT	2	2	Entnimm das Arbeitsgut in Feinform und an der Hauptstelle. Sondere das Material aus.	RUNNING:G407-E0001@1|RUNNING:G407-E0001@2|RUNNING:G407-E0001@3|RUNNING:G407-E0001@4|RUNNING:G407-E0001@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
2	G407-E0004	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	3	1	T	T_SOURCE_FIX	1	1	Lege das Flüssigkeitsmaß an der Hauptstelle fest.	RUNNING:G407-E0004@1|RUNNING:G407-E0004@2|RUNNING:G407-E0004@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
3	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	2	1	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut ruhen. Fahre im selben Arbeitsgang fort.	RUNNING:G407-E0005@1|RUNNING:G407-E0005@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
4	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	3	1	SH	SH_SOURCE_REST	1	1	Lass den Ansatz und das Arbeitsgut ruhen.	RUNNING:G407-E0006@1|RUNNING:G407-E0006@2|RUNNING:G407-E0006@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
5	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	5	2	S|T	S_SOURCE_SORT_OUT|T_SOURCE_FIX	4	4	Entnimm. Lege die Arbeitsbedingung auf Grad I fest. Kennzeichne oder prüfe. Sondere das Arbeitsgut aus.	RUNNING:G407-E0007@1|RUNNING:G407-E0007@2|RUNNING:G407-E0007@3|RUNNING:G407-E0007@4|RUNNING:G407-E0007@5	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
6	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	4	1	SH	SH_SOURCE_REST	2	2	Lass das Arbeitsgut an der Arbeitsstelle ruhen. Fahre im selben Arbeitsgang fort.	RUNNING:G407-E0010@1|RUNNING:G407-E0010@2|RUNNING:G407-E0010@3|RUNNING:G407-E0010@4	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
7	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	3	1	S	S_SOURCE_SORT_OUT	1	1	Sondere den Ansatz und das Arbeitsgut aus.	RUNNING:G407-E0011@1|RUNNING:G407-E0011@2|RUNNING:G407-E0011@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
8	G407-E0016	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	3	1	T	T_SOURCE_FIX	2	2	Entnimm. Lege das Flüssigkeitsmaß fest.	RUNNING:G407-E0016@1|RUNNING:G407-E0016@2|RUNNING:G407-E0016@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
9	G407-E0017	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	2	1	SH	SH_SOURCE_REST	1	1	Lass das Arbeitsgut von der Quelle oder aus dem Ausgangsgefäß ruhen.	RUNNING:G407-E0017@1|RUNNING:G407-E0017@2	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
10	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	3	1	S	S_SOURCE_SORT_OUT	1	1	Sondere das Material auf Grad I und an der Hauptstelle aus.	RUNNING:G407-E0018@1|RUNNING:G407-E0018@2|RUNNING:G407-E0018@3	EVENT_SURFACE_AND_WRITTEN_PACKET_FIXED__FULL_ARGUMENTS_RENDERED_AT_STATEMENT_WIDE_GOVERNOR_ANCHOR
