rule_disposition_ordinal	gdt583_rule_id	gdt584_rule_id	disposition	occurrence_count	registers	event_examples	gdt584_working_default_de	gdt584_concrete_sense_de	rationale	guard
1	CHD_BIO_TREAT	CHD_BIO_TREAT	RETAINED	261	BIOLOGICAL	G407-E1425|G407-E1429|G407-E1437|G407-E1477|G407-E1480|G407-E1484|G407-E1494|G407-E1501|G407-E1505|G407-E1512|G407-E1534|G407-E1557|G407-E1561|G407-E1571|G407-E1572|G407-E1618|G407-E1622|G407-E1630|G407-E1644|G407-E1665|G407-E1666|G407-E1675|G407-E1686|G407-E1696|G407-E1726|G407-E1761|G407-E1802|G407-E1831|G407-E1841|G407-E1868|G407-E1879|G407-E1880|G407-E1882|G407-E1883|G407-E1885|G407-E1894|G407-E1921|G407-E1927|G407-E1929|G407-E1961|G407-E1972|G407-E1975|G407-E1977|G407-E1996|G407-E2003|G407-E2008|G407-E2012|G407-E2013|G407-E2021|G407-E2022|G407-E2024|G407-E2036|G407-E2037|G407-E2045|G407-E2055|G407-E2062|G407-E2069|G407-E2076|G407-E2097|G407-E2117|G407-E2136|G407-E2138|G407-E2147|G407-E2176|G407-E2186|G407-E2201|G407-E2203|G407-E2219|G407-E2223|G407-E2235|G407-E2236|G407-E2242|G407-E22	Behandle	Stationsansatz oder Anwendung behandeln	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
2	CHD_CELESTIAL_CALCULATE	CHD_CELESTIAL_CALCULATE	RETAINED	18	CELESTIAL	G407-E0961|G407-E1144|G407-E1276|G407-E1305|G407-E1348|G407-E1408|G407-E1409|P912-E1766|P912-E1877|P912-E1985|P912-E1991|P912-E1997|P912-E1998|P912-E2000|P912-E2085|P912-E2092|P912-E2300|P912-E2308	Berechne	Ringposition oder Tabellenwert berechnen	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
3	CHD_HP_DRY_GRIND	CHD_HP_DRY_GRIND_CONFIRMED	NARROWED	2	HERBAL	G407-E4476|G407-E4490	Zerreibe	die zuvor getrocknete Pflanzencharge zerreiben	unmittelbarer Trockenschritt und fester Y-Host stimmen überein	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
4	CHD_HP_DRY_GRIND	CHD_HP_MATERIAL_COMMINUTE	NARROWED	16	HERBAL|PHARMA	G407-E0691|G407-E0707|G407-E0740|G407-E0746|G407-E0828|G407-E4028|G407-E4075|G407-E4410|G407-E4412|G407-E4456|G407-E4499|G407-E4521|G407-E4522|G407-E4548|G515-E0152|G515-E0202	Zerkleinere	Pflanzen- oder Drogengut materiell zerkleinern	fehlendes AIIN stützt Materialzerkleinerung, beweist aber keine Trockenheit	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
5	CHD_HP_DRY_GRIND	CHD_HP_WET_TRITURATE	NARROWED	5	HERBAL|PHARMA	G407-E0688|G407-E0718|G407-E4207|G407-E4485|G515-E0183	Verreibe oder mazeriere	die feuchte Charge verreiben oder mazerieren	unmittelbarer Nassablauf widerspricht einer trockenen Mahlformulierung	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
6	CHD_REST_PROCESS	CHD_HP_WET_EXTRACT_PROCESS	UPGRADED_FROM_BROAD	5	HERBAL|PHARMA	G407-E0727|G407-E4166|G407-E4403|G407-E4566|G515-E0245	Verreibe oder mazeriere	die Charge im Auszug verreiben oder mazerieren	AIIN und Y bilden das nasse Gegenstück zur Materialzerkleinerung	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
7	CHD_REST_PROCESS	CHD_REST_PROCESS	RETAINED	34	HERBAL|PHARMA|SOURCE_SECTION_T	G407-E0102|G407-E0734|G407-E4121|G407-E4462|G407-E4506|G407-E4510|G407-E4513|G407-E4532|G407-E4543|G407-E4549|G407-E4570|G515-E0192|G515-E0236|G515-E0302|G515-E0307|G515-E0326|G515-E0330|G515-E0331|G515-E0389|G515-E0392|G515-E0402|G515-E0418|G515-E0419|G515-E0440|G515-E0483|G515-E0487|G515-E0524|G515-E0526|G515-E0551|G515-E0557|G515-E0566|G515-E0574|G515-E0575|G515-E0577	Bearbeite	Arbeitsgut oder Ansatz bearbeiten	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
8	SH_BIO_BATHE	SH_BIO_BATHE	RETAINED	254	BIOLOGICAL	G407-E1431|G407-E1433|G407-E1445|G407-E1452|G407-E1455|G407-E1457|G407-E1459|G407-E1489|G407-E1492|G407-E1503|G407-E1506|G407-E1520|G407-E1523|G407-E1526|G407-E1529|G407-E1530|G407-E1544|G407-E1560|G407-E1563|G407-E1565|G407-E1569|G407-E1573|G407-E1574|G407-E1576|G407-E1579|G407-E1582|G407-E1584|G407-E1590|G407-E1592|G407-E1594|G407-E1599|G407-E1605|G407-E1611|G407-E1616|G407-E1620|G407-E1625|G407-E1628|G407-E1648|G407-E1654|G407-E1658|G407-E1670|G407-E1673|G407-E1699|G407-E1702|G407-E1706|G407-E1711|G407-E1713|G407-E1717|G407-E1719|G407-E1723|G407-E1742|G407-E1746|G407-E1758|G407-E1769|G407-E1776|G407-E1778|G407-E1781|G407-E1789|G407-E1795|G407-E1814|G407-E1829|G407-E2404|G407-E2414|G407-E2416|G407-E2426|G407-E2431|G407-E2435|G407-E2444|G407-E2448|G407-E2450|G407-E2452|G407-E2457|G407-E24	Halte im Bad	Anwendung im Bad- oder Stationsgang halten beziehungsweise baden	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
9	SH_CELESTIAL_FIX	SH_CELESTIAL_FIX	REPHRASED	45	CELESTIAL	G407-E0968|G407-E0976|G407-E1004|G407-E1006|G407-E1015|G407-E1028|G407-E1040|G407-E1047|G407-E1059|G407-E1062|G407-E1073|G407-E1086|G407-E1099|G407-E1112|G407-E1114|G407-E1115|G407-E1119|G407-E1122|G407-E1125|G407-E1152|G407-E1157|G407-E1158|G407-E1159|G407-E1182|G407-E1186|G407-E1270|G407-E1279|G407-E1281|G407-E1316|G407-E1338|G407-E1342|G407-E1344|G407-E1346|G407-E1352|G407-E1363|G407-E1376|G407-E1377|G407-E1380|G407-E1381|G407-E1382|G407-E1393|G407-E1397|G407-E1407|G407-E1411|G407-E1413	Halte fest	Ringposition oder Tabellenwert festhalten	eingebaute Position entfernt; der feste Host liefert sie	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
10	SH_CELESTIAL_FIX	SH_CELESTIAL_FIX	RETAINED	44	CELESTIAL	P912-E1756|P912-E1758|P912-E1769|P912-E1976|P912-E1995|P912-E2010|P912-E2034|P912-E2050|P912-E2056|P912-E2145|P912-E2146|P912-E2147|P912-E2154|P912-E2163|P912-E2168|P912-E2176|P912-E2181|P912-E2193|P912-E2194|P912-E2196|P912-E2202|P912-E2205|P912-E2212|P912-E2235|P912-E2237|P912-E2238|P912-E2245|P912-E2248|P912-E2257|P912-E2303|P912-E2320|P912-E2323|P912-E2347|P1003-E0645|P1003-E0646|P1008-E0127|P1008-E0133|P1008-E0143|P1008-E0353|P1008-E0364|P1008-E0424|P1008-E0456	Halte die Position fest	Ringposition oder Tabellenwert festhalten	GDT583 occurrence sense retained; only the reader renderer changes	OCCURRENCE_LEVEL_EXPLORATORY_READING__PORTABLE_ROOT_UNCHANGED
