medium_stage	joint_tuple_id	surface_family	formula	working_default_de	events	event_ids	statement_ids	pages	medium_role	revision_status	important_limit
01_AIR_RUNNING_LIQUID	12efe866f335461823a6	chair	CH+AIR	Laufflüssigkeitszulauf	1	E006	H1-S001	f10r	RUNNING_LIQUID_INLET	R1_RECURRENT_COMPONENT	AIR contributes only Laufflüssigkeit; CH supplies inlet behavior.
01_AIR_RUNNING_LIQUID	22fb87a5a83e5c3fb510	kair	K+AIR	Laufflüssigkeit	1	E103	B1-S002	f81v	RUNNING_LIQUID	R1_RECURRENT_COMPONENT	Basin context realizes the portable running liquid.
01_AIR_RUNNING_LIQUID	7d2404c835b10a2c06af	okair	OK+AIR	Laufflüssigkeit starten	1	E260	B3-S014	f83r	START_RUNNING_LIQUID	R1_RECURRENT_COMPOSITION	OK changes the state; AIR remains Laufflüssigkeit.
01_AIR_RUNNING_LIQUID	b154ff779abe5f196c80	schedair	S+CHED+AIR	Laufflüssigkeit führen	1	E300	B3-S030	f83r	LEAD_RUNNING_LIQUID	R1_RECURRENT_COMPOSITION	The transfer hull supplies führen; AIR remains Laufflüssigkeit.
01_AIR_RUNNING_LIQUID	8aedd154964a78e555d6	dairydy	D+AIR+Y+DY	Laufflüssigkeit abschließen	1	E351	B4-S014	f83r	CLOSE_RUNNING_LIQUID	R1_RECURRENT_COMPOSITION	The terminal hull closes the run; AIR does not mean closing.
02_CHEO_EXTRACT	087a47b5423438cd6b6a	chokcheo	OK+CHEO	Auszug zugeben	1	E092	H5-S004	f56r	ADD_EXTRACT	R1_RECURRENT_COMPONENT	CHEO supplies Auszug in both cards; OK supplies addition.
02_CHEO_EXTRACT	807591efc3d3f7ddbfab	cheoar	CHEO+AR	Auszug entnehmen	1	E065	H4-S003	f55v	TAKE_EXTRACT_FROM_SOURCE	R1_RECURRENT_COMPONENT	CHEO remains Auszug while AR supplies source direction.
03_OR_PREPARATION	b9d7b6d68209a9019e7a	chochor	CHO+OR	Pflanzenzubereitung	1	E074	H5-S001	f56r	PLANT_PREPARATION	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
03_OR_PREPARATION	dec401773c1f0347793d	cholor|olor	OL+OR	mit der vorigen Zubereitung	2	E028|E113	H2-S002|B1-S002	f10r|f81v	PREVIOUS_PREPARATION	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
03_OR_PREPARATION	7a4bb8136330ee4e6e56	chor|or|shor|sor	OR	Zubereitung	7	E017|E025|E033|E034|E071|E254|E348	H2-S001|H2-S002|H2-S003|H4-S004|B3-S012|B4-S014	f10r|f55v|f83r	PREPARATION	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
03_OR_PREPARATION	6afeb5c9ab9f6cbdea0d	orain	OR+AIN	eine Portion der Zubereitung	1	E073	H4-S004	f55v	PREPARATION_PORTION	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
03_OR_PREPARATION	10488b911aae52b3b334	otchor|qotchor	OT+OR	die nächste Zubereitung	2	E024|E080	H2-S002|H5-S001	f10r|f56r	NEXT_PREPARATION	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
04_WATER_DECK	cbb42a4fe68068325d6b	dshedy	DSHE+DY	Frischwasser; Schluss	1	E189	B2-S007	f82r	FRESH_WATER_CLOSE	R1_SINGLETON_WHOLE_CARD	The exact card licenses fresh water plus closure; DSHE is not exported globally.
04_WATER_DECK	98bdc4244c84cbef3321	rsheal	RSHEAL	Warmwasser	1	E222	B2-S017	f82r	WARM_WATER	R1_SINGLETON_WHOLE_CARD	Learned whole card at the second opening; no anatomy is encoded.
04_WATER_DECK	cb57b696b815fdef9cb7	shecthy	SHECTHY	Badwasser	1	E276	B3-S021	f83r	BATH_WATER	R1_SINGLETON_WHOLE_CARD	The station/measure/rest neighborhood favors bath water over a second generic warm-water card.
05_SPECIALIST_MEDIUM	428a5e3662aa57b4b256	schoal	SCHOAL	Weinsud	1	E040	H3-S001	f11r	WINE_DECOCTION	R1_SINGLETON_WHOLE_CARD	One compact learned preparation name replaces the sentence-sized 'in wine boil'.
05_SPECIALIST_MEDIUM	0f18de177ed7c878bf95	dl	DL	Badzusatz	2	E112|E129	B1-S002|B1-S006	f81v	BATH_ADDITIVE	R1_RECURRENT_WHOLE_CARD	Two occurrences in one bath record retain the same additive noun.
05_SPECIALIST_MEDIUM	b5df9126607030b95175	cheey|shey	SHEY	Klarauszug	4	E044|E197|E203|E353	H3-S001|B2-S010|B2-S012|B4-S015	f11r|f82r|f83r	CLEAR_EXTRACT	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
05_SPECIALIST_MEDIUM	d4a31dbcf1ed6d9e5aa9	tshey	TSHEY	Spülflüssigkeit	1	E212	B2-S015	f82r	RINSE_LIQUID	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
05_SPECIALIST_MEDIUM	b2812c8283c3a62438bd	kchy	KCHY	Trank	1	E049	H3-S003	f11r	DRAUGHT	R1_SINGLETON_WHOLE_CARD	The administration verb is contextual; the card default is the material noun.
05_SPECIALIST_MEDIUM	c71c72da4e09e0833392	kchoar	KCHOAR	Brusttrank	1	E096	H5-S005	f56r	CHEST_DRAUGHT	INHERITED_ACTIVE_VALUE	Inherited active exact-card value; tested here without changing it.
05_SPECIALIST_MEDIUM	883a6708116c342cb10b	skar	SKAR	Warmausguss	1	E360	B4-S016	f83r	WARM_POUR	R1_SINGLETON_WHOLE_CARD	A short learned noun replaces 'erwärmtes Medium ausgießen'; no free SK or AR substance atom is claimed.
06_PLANT_MATERIAL	2cc054357a929df85f64	cho|sho	HO	Pflanzenstoff	4	E075|E078|E088|E094	H5-S001|H5-S003|H5-S005	f56r	PLANT_MATERIAL	R1_RECURRENT_EXACT_CARD	All four exact occurrences retain plant material; the former honey expansion is removed.
