component_id	selected_default_de	status	support	prediction_or_limit
AIR	Wasser	PRODUCTIVE_CANDIDATE	5 cards / 5 records-side events	Every AIR hull remains aqueous; a new AIR compound should still concern water.
CHEO	Auszug	PRODUCTIVE_CANDIDATE	2 cards / 2 Herbal events	OK+CHEO adds it; CHEO+AR takes it from a source.
OR	Ansatz	PRODUCTIVE_CANDIDATE	5 cards / 13 events	OT, OL, HO and AIN predict next, previous, ingredient and portion readings.
HO	Zutat	PRODUCTIVE_CANDIDATE	1 exact card plus HO+OR	The exact cho|sho card no longer changes from plant to honey by occurrence.
SHEY	Klarauszug	LEARNED_RESULT_CARD	1 card / 4 events	Post-separation result; do not split SH or EY globally.
WATER_DECK	Frischwasser | Warmwasser | Spülwasser	LEARNED_WHOLE_CARDS	3 cards / 3 events	Specific water states are memorized whole cards, not AIR compounds.
SCHOAL	Weinsud	LEARNED_WHOLE_CARD	1 card / 1 event	Wine is local to this exact card; O and OL remain non-wine.
DL	Badzusatz	LEARNED_WHOLE_CARD	1 card / 2 events	The exact card repeats inside one bath record.
SHECTHY	temperiert	LEARNED_STATE_CARD	1 card / 1 event	Warm medium is a local expansion; water is not built into the card.
KCHY	Trank	LEARNED_WHOLE_CARD	1 card / 1 event	Prepared product, not a sentence.
KCHOAR	Gebrauchsauszug	LEARNED_WHOLE_CARD	1 card / 1 event	Chest and cough are owner/exemplar expansions, not lexical content.
SKAR	Warmausguss	LEARNED_WHOLE_CARD	1 card / 1 event	No free SK/AR substance decomposition.
OIL	unlokalisiert	LOCAL_FILL_ONLY	no invariant card	Oil remains plausible in a recipe but is not a selected word or root.
HONEY	possible HO instance	LOCAL_FILL_ONLY	one former context only	Honey may instantiate ZUTAT; it is not the meaning of HO.
