semantic_level	joint_tuple_id	surface_family	atomic_role	selected_segmentation	selected_nucleus_de	selected_card_reading_de	occurrences	events	statements	pages	records	revision_status	strongest_context_or_counterexample
00_INGREDIENT	2cc054357a929df85f64	cho|sho	INGREDIENT	HO_INGREDIENT	HO=Zutat	Zutat	4	E075|E078|E088|E094	H5-S001|H5-S003|H5-S005	f56r	H5	REVISED_R3	picture supplies plant locally; exact card also covers a later addition
01_RAW_MEDIUM	428a5e3662aa57b4b256	schoal	MEDIUM+HEAT	schoal=in Wein kochen	in Wein kochen	in Wein kochen	1	E040	H3-S001	f11r	H3	RETAINED_AUDITED	wine carrier; learned whole card
01_RAW_MEDIUM	0f18de177ed7c878bf95	dl	BATH_ADDITIVE	dl=Badezusatz	Badezusatz	Badezusatz	2	E112|E129	B1-S002|B1-S006	f81v	B1	RETAINED_AUDITED	prepared additive, not bath water
01_RAW_MEDIUM	d4a31dbcf1ed6d9e5aa9	tshey	RINSE_LIQUID	TSHEY_RINSE_LIQUID_WHOLE_CARD	TSHEY=Spülflüssigkeit	Spülflüssigkeit	1	E212	B2-S015	f82r	B2	RETAINED_AUDITED	unspecified rinse medium
01_RAW_MEDIUM	98bdc4244c84cbef3321	rsheal	WARM_BATH_WATER	RSHEAL_WARM_BATH_WATER_WHOLE_CARD	RSHEAL=warmes Badwasser	warmes Badwasser	1	E222	B2-S017	f82r	B2	REVISED_R3	concrete water card at lower-pool opening
01_RAW_MEDIUM	cbb42a4fe68068325d6b	dshedy	FRESH_WATER_INLET	DSHE_FRESH_WATER_INLET+DY_CLOSE	DSHE=Frischwassereinlass; Endkarte=Schluss	Frischwasser einlassen; Schluss	1	E189	B2-S007	f82r	B2	REVISED_R3	water plus inlet close as learned card
09_STATE	cb57b696b815fdef9cb7	shecthy	TEMPERED	SHECTHY_TEMPERED_STATE_WHOLE_CARD	SHECTHY=temperiert	temperiert	1	E276	B3-S021	f83r	B3	REVISED_R3	state after rest station, not a material noun
01_RAW_MEDIUM	883a6708116c342cb10b	skar	WARM_MEDIUM_FROM_SOURCE	SK_WARM_MEDIUM+AR_SOURCE	SK=warmes Medium; AR=aus der Quelle	warmes Medium aus der Quelle	1	E360	B4-S016	f83r	B4	REVISED_R3	delivery supplied by sentence frame
02_PREPARED_BATCH	7a4bb8136330ee4e6e56	chor|or|shor|sor	BATCH	OR_BATCH	OR=Ansatz	Ansatz	7	E017|E025|E033|E034|E071|E254|E348	H2-S001|H2-S002|H2-S003|H4-S004|B3-S012|B4-S014	f10r|f55v|f83r	H2|H4|B3|B4	REVISED_R3	portable OR core
02_PREPARED_BATCH	10488b911aae52b3b334	otchor|qotchor	NEXT_BATCH	OT_NEXT+OR_BATCH	OT=nächster; OR=Ansatz	der nächste Ansatz	2	E024|E080	H2-S002|H5-S001	f10r|f56r	H2|H5	REVISED_R3	OT composition
02_PREPARED_BATCH	dec401773c1f0347793d	cholor|olor	PREVIOUS_BATCH	OL_CONTINUE+OR_BATCH	OL=mit dem vorigen; OR=Ansatz	mit dem vorigen Ansatz	2	E028|E113	H2-S002|B1-S002	f10r|f81v	H2|B1	REVISED_R3	OL composition
02_PREPARED_BATCH	b9d7b6d68209a9019e7a	chochor	INGREDIENT_BATCH	CHO_INGREDIENT+OR_BATCH	CHO=Zutat; OR=Ansatz	Zutatenansatz	1	E074	H5-S001	f56r	H5	REVISED_R3	HO supplies ingredient; picture locally supplies plant
02_PREPARED_BATCH	6afeb5c9ab9f6cbdea0d	orain	BATCH_PORTION	OR_BATCH+AIN_PORTION	OR=Ansatz; AIN=Portion	eine Portion des Ansatzes	1	E073	H4-S004	f55v	H4	REVISED_R3	AIN supplies amount
03_PRODUCT	807591efc3d3f7ddbfab	cheoar	EXTRACT_FROM_SOURCE	CHEO_EXTRACT+AR_SOURCE	CHEO=Auszug; AR=aus	Auszug daraus nehmen	1	E065	H4-S003	f55v	H4	REVISED_R3	CHEO product can be reused
03_PRODUCT	087a47b5423438cd6b6a	chokcheo	ADD_EXTRACT	CH_RENDERER+OK+CHEO_EXTRACT	OK=zugeben; CHEO=Auszug	Auszug zugeben	1	E092	H5-S004	f56r	H5	REVISED_R3	same CHEO as later input
03_PRODUCT	b5df9126607030b95175	cheey|shey	CLEAR_EXTRACT	SHEY_CLEAR_EXTRACT_WHOLE_CARD	CHEEY|SHEY=Klarauszug	Klarauszug	4	E044|E197|E203|E353	H3-S001|B2-S010|B2-S012|B4-S015	f11r|f82r|f83r	H3|B2|B4	RETAINED_AUDITED	retained recurrent result card
03_PRODUCT	c71c72da4e09e0833392	kchoar	DRINK	KCHOAR_DRINK_WHOLE_CARD	KCHOAR=Trank	Trank	1	E096	H5-S005	f56r	H5	REVISED_R3	medical target removed
03_PRODUCT	b2812c8283c3a62438bd	kchy	SERVE_AS_DRINK	kchy=als Trank geben	als Trank geben	als Trank geben	1	E049	H3-S003	f11r	H3	RETAINED_AUDITED	retained learned use card
04_WATER	12efe866f335461823a6	chair	WATER_INLET	CH_LEARNED_INLET+AIR_WATER	AIR=Wasser; CH=gelernte Zulaufhülle	Wasserzulauf	1	E006	H1-S001	f10r	H1	REVISED_R3	AIR water plus learned inlet hull
04_WATER	22fb87a5a83e5c3fb510	kair	BASIN_WATER	K_LEARNED_BASIN+AIR_WATER	AIR=Wasser; K=gelernte Beckenhülle	Beckenwasser	1	E103	B1-S002	f81v	B1	REVISED_R3	AIR water plus basin hull/owner
04_WATER	7d2404c835b10a2c06af	okair	START_WATER_FLOW	OK_START+AIR_WATER	OK=in Gang setzen; AIR=Wasser	Wasser einströmen lassen	1	E260	B3-S014	f83r	B3	REVISED_R3	OK starts motion of AIR water
04_WATER	b154ff779abe5f196c80	schedair	CONDUCT_WATER	S_RENDERER+CHED_CONDUCT+AIR_WATER	CHED=führen; AIR=Wasser	Wasser weiterführen	1	E300	B3-S030	f83r	B3	REVISED_R3	CHED conducts AIR water
04_WATER	8aedd154964a78e555d6	dairydy	CLOSE_RUNNING_WATER	D_RENDERER+AIR_WATER+Y_REFERENT+DY_CLOSE	AIR=Wasser; Y=laufender Posten; Endkarte=Schluss	laufendes Wasser schließen; Schluss	1	E351	B4-S014	f83r	B4	REVISED_R3	Y/DY close the running water cell
05_PASSAGE	2cc8bb3c2af19607888f	chckhy|shckhy	PASSAGE	CKH_PASSAGE+Y_CURRENT_ITEM	CKH=Durchlass; Y=aktueller Posten	durch den Durchlass führen	4	E119|E128|E139|E179	B1-S002|B1-S006|B1-S011|B2-S005	f81v|f82r	B1|B2	REVISED_R3	CKH is apparatus/path; AIR supplies water and its construction supplies motion
05_PASSAGE	433713294b25b0a12f66	lchedal	OUTLET_SITE	L+CHED+AL_SITE	L+CHED=hinausführen; AL=Stelle	Auslassstelle	1	E147	B1-S014	f81v	B1	RETAINED_AUDITED	movement plus AL site
05_PASSAGE	ba540da978ea132f6da5	pchedal	INLET_SITE	P+CHED+AL_SITE	P+CHED=hineinführen; AL=Stelle	Einfüllstelle	1	E248	B3-S010	f83r	B3	RETAINED_AUDITED	movement plus AL site
05_PASSAGE	29e0eb222ef2fb99523a	lar	LOWER_OUTLET	lar=unterer Ablauf	unterer Ablauf	unterer Ablauf	1	E211	B2-S014	f82r	B2	RETAINED_AUDITED	retained learned outlet
05_PASSAGE	2b7fa918d1b2f5c656e3	lo	LOWER_OUTLET	lo=unterer Ablauf	unterer Ablauf	unterer Ablauf	1	E263	B3-S016	f83r	B3	RETAINED_AUDITED	second retained learned outlet
06_TRANSFER	4d4559019a961b834aa1	char|dar|sar	SOURCE	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	5	E003|E031|E105|E199|E238	H1-S001|H2-S002|B1-S002|B2-S011|B3-S004	f10r|f81v|f82r|f83r	H1|H2|B1|B2|B3	RETAINED_AUDITED	AR is source/stock, not substance
06_TRANSFER	3ae9a121ba0045b913e8	qokar	TAKE_FROM_SOURCE	Q_RENDERER+OK+AR_SOURCE	OK=in Arbeit nehmen; AR=aus der Quelle	daraus in den Arbeitsgang nehmen	1	E191	B2-S008	f82r	B2	RETAINED_AUDITED	OK+AR
06_TRANSFER	0f15effeca7ab10bb026	lchedar	OUT_FROM_SOURCE	L+CHED+AR_SOURCE	L+CHED=hinausführen; AR=Quelle	aus der Quelle hinausführen	1	E215	B2-S016	f82r	B2	RETAINED_AUDITED	L+CHED+AR
06_TRANSFER	ba8142680851f24c9ff2	lched	LEAD_OUT	L+CHED	L=hinaus; CHED=führen	hinausführen	1	E174	B2-S004	f82r	B2	RETAINED_AUDITED	open outward transfer
06_TRANSFER	de7321bface5628e35d6	lchedy	LEAD_OUT_CLOSE	L+CHED+DY_TERMINAL	L=hinaus; CHED=führen; DY=Schluss	hinausführen; Schluss	8	E210|E235|E246|E262|E269|E282|E345|E357	B2-S013|B3-S003|B3-S008|B3-S015|B3-S020|B3-S023|B4-S012|B4-S015	f82r|f83r	B2|B3|B4	RETAINED_AUDITED	recurrent outward close
06_TRANSFER	65df3cd9e59060042d47	pchedy	LEAD_IN_CLOSE	P+CHED+DY_TERMINAL	P=hinein; CHED=führen; DY=Schluss	hineinführen; Schluss	1	E221	B2-S016	f82r	B2	RETAINED_AUDITED	inward close
06_TRANSFER	0ab57b7166de99db3a55	lchy	WITHDRAW_CURRENT	LCH_WITHDRAW+Y_REFERENT	LCH=abziehen; Y=laufender Posten	den laufenden Posten abziehen	1	E202	B2-S012	f82r	B2	REVISED_R3	product supplied by following SHEY
