statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	application_revised_event_count	surface_sequence	card_sequence_de	event_slot_trace	canonical_slots_present	workshop_sentence_de	physical_line_note	r3_medium_revised_event_count	r3_revision_families	r3_previous_card_sequence_de	r3_previous_workshop_sentence_de	selected_medium_revised_event_count	selected_medium_families	selected_previous_card_sequence_de	selected_previous_workshop_sentence_de
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	0	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Wasserzulauf · auffangen · den laufenden Posten einsetzen · vorgeschriebenes Maß · Wurzelteil	E001[OWNER_ITEM] | E002[OPERATION] | E003[SOURCE] | E004[OPERATION] | E005[OPERATION] | E006[MEDIUM+FLOW_TRANSFER] | E007[FLOW_TRANSFER] | E008[OWNER_ITEM+OPERATION] | E009[QUANTITY] | E010[OWNER_ITEM]	OWNER_ITEM>OPERATION>SOURCE>MEDIUM>FLOW_TRANSFER>QUANTITY	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Wasser zulaufen lassen; Auffangen; Den laufenden Posten einsetzen; Vorgeschriebenes Maß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	LOCAL_SEQUENCE	1	AIR_WATER	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Flüssigkeitszulauf · auffangen · den laufenden Posten einsetzen · vorgeschriebenes Maß · Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Flüssigkeitszulauf; Auffangen; Den laufenden Posten einsetzen; Vorgeschriebenes Maß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	1	AIR_WATER	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Wasserzulauf · auffangen · den laufenden Posten einsetzen · vorgeschriebenes Maß · Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Lass Wasser zulaufen; Auffangen; Den laufenden Posten einsetzen; Vorgeschriebenes Maß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	0	qokchy · qotchol · chol · cthy	den laufenden Posten einsetzen · gelind erwärmen · mit Vorigem weiter · gebrauchsfertig	E011[OWNER_ITEM+OPERATION] | E012[OPERATION] | E013[OPERATION] | E014[STATE_GRADE]	OWNER_ITEM>OPERATION>STATE_GRADE	Den laufenden Posten einsetzen; Erwärme ihn gelinde; und mit dem vorigen Ansatz weiter; Gebrauchsfertig	LOCAL_SEQUENCE	0	UNCHANGED	den laufenden Posten einsetzen · gelind erwärmen · mit Vorigem weiter · gebrauchsfertig	Den laufenden Posten einsetzen; Erwärme ihn gelinde; und mit dem vorigen Ansatz weiter; Gebrauchsfertig	0	R3_ACCEPTED	den laufenden Posten einsetzen · gelind erwärmen · mit Vorigem weiter · gebrauchsfertig	Den laufenden Posten einsetzen; Erwärme ihn gelinde; und mit dem vorigen Ansatz weiter; Gebrauchsfertig
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	0	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · gebrauchsfertig · Ansatz · Kraut zerstoßen · abpressen · dieser Arbeitsposten · dieser Arbeitsposten · vorgeschriebenes Maß · dieser Arbeitsposten	E015[OWNER_ITEM] | E016[STATE_GRADE] | E017[PREPARATION] | E018[OPERATION] | E019[OPERATION] | E020[OWNER_ITEM] | E021[OWNER_ITEM] | E022[QUANTITY] | E023[OWNER_ITEM]	OWNER_ITEM>STATE_GRADE>PREPARATION>OPERATION>QUANTITY	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Gebrauchsfertig; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten	LOCAL_SEQUENCE	1	OR_BATCH	Pflanzenspitzen · gebrauchsfertig · Zubereitung · Kraut zerstoßen · abpressen · dieser Arbeitsposten · dieser Arbeitsposten · vorgeschriebenes Maß · dieser Arbeitsposten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Gebrauchsfertig; Zubereitung; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten	1	OR_BATCH	Pflanzenspitzen · gebrauchsfertig · Ansatz · Kraut zerstoßen · abpressen · dieser Arbeitsposten · dieser Arbeitsposten · vorgeschriebenes Maß · dieser Arbeitsposten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Gebrauchsfertig; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	0	qotchor · chor · otol · chol · cholor · chol · daiin · dar	nächster Ansatz · Ansatz · danach weiter · mit Vorigem weiter · voriger Ansatz · mit Vorigem weiter · vorgeschriebenes Maß · aus demselben Vorrat	E024[PREPARATION] | E025[PREPARATION] | E026[OPERATION] | E027[OPERATION] | E028[PREPARATION] | E029[OPERATION] | E030[QUANTITY] | E031[SOURCE]	PREPARATION>OPERATION>QUANTITY>SOURCE	Nächster Ansatz; Ansatz; Danach weiter; und mit dem vorigen Ansatz weiter; Voriger Ansatz; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat	LOCAL_SEQUENCE	3	OR_BATCH	die nächste Zubereitung · Zubereitung · danach weiter · mit Vorigem weiter · mit der vorigen Zubereitung · mit Vorigem weiter · vorgeschriebenes Maß · aus demselben Vorrat	Die nächste Zubereitung; Zubereitung; Danach weiter; und mit dem vorigen Ansatz weiter; Mit der vorigen Zubereitung; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat	3	OR_BATCH	der nächste Ansatz · Ansatz · danach weiter · mit Vorigem weiter · mit dem vorigen Ansatz · mit Vorigem weiter · vorgeschriebenes Maß · aus demselben Vorrat	Der nächste Ansatz; Ansatz; Danach weiter; und mit dem vorigen Ansatz weiter; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	0	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	glasiertes Gefäß · Ansatz · Ansatz · dieser Arbeitsposten · weiche Sollstufe · dieser Arbeitsposten · Geschwür	E032[OPERATION] | E033[PREPARATION] | E034[PREPARATION] | E035[OWNER_ITEM] | E036[QUANTITY+STATE_GRADE] | E037[OWNER_ITEM] | E038[OPERATION]	OPERATION>PREPARATION>OWNER_ITEM>QUANTITY>STATE_GRADE	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Sollstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	LOCAL_SEQUENCE	2	OR_BATCH	glasiertes Gefäß · Zubereitung · Zubereitung · dieser Arbeitsposten · weiche Sollstufe · dieser Arbeitsposten · Geschwür	Gib sie in ein glasiertes Gefäß; Zubereitung; Zubereitung; Dieser Arbeitsposten; Weiche Sollstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	2	OR_BATCH	glasiertes Gefäß · Ansatz · Ansatz · dieser Arbeitsposten · weiche Sollstufe · dieser Arbeitsposten · Geschwür	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Sollstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	0	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · Weinsud · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	E039[OWNER_ITEM] | E040[MEDIUM+PREPARATION] | E041[OPERATION] | E042[QUANTITY+STATE_GRADE] | E043[OPERATION] | E044[PREPARATION+STATE_GRADE] | E045[CLOSE]	OWNER_ITEM>MEDIUM>PREPARATION>OPERATION>QUANTITY>STATE_GRADE>CLOSE	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Weinsud bereiten; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	LOCAL_SEQUENCE	0	UNCHANGED	Blütenkraut · in Wein kochen · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Koche sie in reinem Wein; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	2	MEDIUM_WHOLE_CARD|PRODUCT_WHOLE_CARD	Blütenkraut · in Wein kochen · auswringen · für die vorgeschriebene Zeit stehen lassen · nachseihen · Klarauszug · abkühlen; Ende	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Koche sie in reinem Wein; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten
H3-S002	H3	f11r	f11r.1	F007	E046	1	0	shoyty	Blütenanteil zurückhalten	E046[OWNER_ITEM]	OWNER_ITEM	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück	LOCAL_SEQUENCE	0	UNCHANGED	Blütenanteil zurückhalten	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück	0	R3_ACCEPTED	Blütenanteil zurückhalten	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	0	dchol · chy · kchy · dy · daiin	vom vorigen Posten nehmen · dieser Arbeitsposten · Trank · dieser Arbeitsposten · vorgeschriebenes Maß	E047[OWNER_ITEM+SOURCE+OPERATION] | E048[OWNER_ITEM] | E049[PREPARATION] | E050[OWNER_ITEM] | E051[QUANTITY]	OWNER_ITEM>SOURCE>OPERATION>PREPARATION>QUANTITY	Vom vorigen Posten nehmen; Dieser Arbeitsposten; Trank; Dieser Arbeitsposten; Vorgeschriebenes Maß	LOCAL_SEQUENCE	0	UNCHANGED	vom vorigen Posten nehmen · dieser Arbeitsposten · als Trank geben · dieser Arbeitsposten · vorgeschriebenes Maß	Vom vorigen Posten nehmen; Dieser Arbeitsposten; Gib ihn als Trank; Dieser Arbeitsposten; Vorgeschriebenes Maß	1	PRODUCT_WHOLE_CARD	vom vorigen Posten nehmen · dieser Arbeitsposten · als Trank geben · dieser Arbeitsposten · vorgeschriebenes Maß	Vom vorigen Posten nehmen; Dieser Arbeitsposten; Gib ihn als Trank; Dieser Arbeitsposten; Vorgeschriebenes Maß
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	0	qotchy · okchol · cthy · dy	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · gebrauchsfertig · dieser Arbeitsposten	E052[OWNER_ITEM] | E053[OPERATION] | E054[STATE_GRADE] | E055[OWNER_ITEM]	OWNER_ITEM>OPERATION>STATE_GRADE	Nimm die zurückbehaltenen Blüten; Mit dem vorigen Arbeitsgut weiterarbeiten; Gebrauchsfertig; Dieser Arbeitsposten	LOCAL_SEQUENCE	0	UNCHANGED	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · gebrauchsfertig · dieser Arbeitsposten	Nimm die zurückbehaltenen Blüten; Mit dem vorigen Arbeitsgut weiterarbeiten; Gebrauchsfertig; Dieser Arbeitsposten	0	R3_ACCEPTED	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · gebrauchsfertig · dieser Arbeitsposten	Nimm die zurückbehaltenen Blüten; Mit dem vorigen Arbeitsgut weiterarbeiten; Gebrauchsfertig; Dieser Arbeitsposten
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	0	qokaiin · chaiin · ykain · ykan · ody	auf das vorgeschriebene Maß einstellen · vorgeschriebenes Maß · eine Portion des laufenden Postens · diese Portion · kühl lagern; Ende	E056[QUANTITY+OPERATION] | E057[QUANTITY] | E058[OWNER_ITEM+QUANTITY] | E059[OWNER_ITEM+QUANTITY] | E060[STATE_GRADE+CLOSE]	QUANTITY>OPERATION>OWNER_ITEM>STATE_GRADE>CLOSE	Auf das vorgeschriebene Maß einstellen; Vorgeschriebenes Maß; Eine Portion des laufenden Postens; Diese Portion; Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	LOCAL_SEQUENCE	0	UNCHANGED	auf das vorgeschriebene Maß einstellen · vorgeschriebenes Maß · eine Portion des laufenden Postens · diese Portion · kühl lagern; Ende	Auf das vorgeschriebene Maß einstellen; Vorgeschriebenes Maß; Eine Portion des laufenden Postens; Diese Portion; Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	0	R3_ACCEPTED	auf das vorgeschriebene Maß einstellen · vorgeschriebenes Maß · eine Portion des laufenden Postens · diese Portion · kühl lagern; Ende	Auf das vorgeschriebene Maß einstellen; Vorgeschriebenes Maß; Eine Portion des laufenden Postens; Diese Portion; Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten
