audit_family	audit_kind	event_id	statement_id	page	locus	joint_tuple_id	surface	selected_segmentation	short_default_de	contextual_reading_de	complete_statement_de	strongest_rival	break_condition
AIR	SELECTED_MEDIUM_OR_BATCH_CARD	E006	H1-S001	f10r	f10r.2	12efe866f335461823a6	chair	CH_LEARNED+AIR_WORK_LIQUOR_FLOW	Arbeitsflüssigkeit zulassen	Arbeitsflüssigkeit zulassen	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel; Säubere ihn; Aus demselben Vorrat; Zerschneide ihn; Gib die Stücke in ein Gefäß; Arbeitsflüssigkeit zulassen; Auffangen; Den laufenden Posten einsetzen; Vorgeschriebenes Maß; Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	formal flow/path card with no material noun	A non-liquid object in the same five exact cards, or a base AIR use incompatible with flow.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E017	H2-S001	f10r	f10r.6	7a4bb8136330ee4e6e56	chor	OR_BATCH	Ansatz	Ansatz	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze; Gebrauchsfertig; Ansatz; Zerstoße das Kraut; Abpressen; Dieser Arbeitsposten; Dieser Arbeitsposten; Vorgeschriebenes Maß; Dieser Arbeitsposten	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E024	H2-S002	f10r	f10r.8	10488b911aae52b3b334	qotchor	OT_NEXT+OR_BATCH	der nächste Ansatz	Der nächste Ansatz	Der nächste Ansatz; Ansatz; Danach weiter; und mit dem vorigen Ansatz weiter; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E025	H2-S002	f10r	f10r.8	7a4bb8136330ee4e6e56	chor	OR_BATCH	Ansatz	Ansatz	Der nächste Ansatz; Ansatz; Danach weiter; und mit dem vorigen Ansatz weiter; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E028	H2-S002	f10r	f10r.8	dec401773c1f0347793d	cholor	OL_CONTINUE+OR_BATCH	mit dem vorigen Ansatz	Mit dem vorigen Ansatz	Der nächste Ansatz; Ansatz; Danach weiter; und mit dem vorigen Ansatz weiter; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Vorgeschriebenes Maß; Aus demselben Vorrat	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E033	H2-S003	f10r	f10r.9	7a4bb8136330ee4e6e56	shor	OR_BATCH	Ansatz	Ansatz	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Sollstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E034	H2-S003	f10r	f10r.9	7a4bb8136330ee4e6e56	chor	OR_BATCH	Ansatz	Ansatz	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Sollstufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
SCHOAL	SELECTED_MEDIUM_OR_BATCH_CARD	E040	H3-S001	f11r	f11r.1	428a5e3662aa57b4b256	schoal	SCHOAL_BOIL_IN_EXTRACTION_MEDIUM_WHOLE_CARD	im Auszugsmedium auskochen	Im Auszugsmedium auskochen	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Koche sie im Auszugsmedium aus; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	wine, water, lye, oil, or a wholly different learned operation	Independent evidence that the whole card names a specific substance or a non-heating operation.
SHEY	SELECTED_MEDIUM_OR_BATCH_CARD	E044	H3-S001	f11r	f11r.1	b5df9126607030b95175	shey	SHEY_CLARIFIED_EXTRACT_WHOLE_CARD	Klarauszug	Klarauszug	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Koche sie im Auszugsmedium aus; Auswringen; Für die vorgeschriebene Zeit stehen lassen; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	formal filtered product rather than a liquid extract	A use before separation or as an unprocessed input rather than after withdrawal/filtration.
NOT_OIL	NEGATIVE_SUBSTANCE_CONTROL	E053	H3-S004	f11r	f11r.7	322281bd391aa621f568	okchol	OK+CHOL[OL]	mit dem vorigen Arbeitsgut weiterarbeiten	Mit dem vorigen Arbeitsgut weiterarbeiten	Nimm die zurückbehaltenen Blüten; Mit dem vorigen Arbeitsgut weiterarbeiten; Gebrauchsfertig; Dieser Arbeitsposten	old water/wine/oil/warm-medium reading	Only reopen if the exact tuple, not a visible substring, repeatedly names that substance.
NOT_WHITE_WINE	NEGATIVE_SUBSTANCE_CONTROL	E059	H4-S001	f55v	f55v.5	d929a14ec45749b2e805	ykan	Y_REFERENT+K_HULL+AIN_PORTION	diese Portion	Diese Portion	Auf das vorgeschriebene Maß einstellen; Vorgeschriebenes Maß; Eine Portion des laufenden Postens; Diese Portion; Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	old water/wine/oil/warm-medium reading	Only reopen if the exact tuple, not a visible substring, repeatedly names that substance.
CHEO	SELECTED_MEDIUM_OR_BATCH_CARD	E065	H4-S003	f55v	f55v.11	807591efc3d3f7ddbfab	cheoar	CHEO_EXTRACTION_MEDIUM+AR_SOURCE	Auszugsmedium daraus entnehmen	Auszugsmedium daraus entnehmen	Maß des laufenden Postens; Auszugsmedium daraus entnehmen; Länger warm halten; Beende diesen Gebrauch	generic operation or already-produced extract rather than extraction medium	Either card used where no carrier/extract medium can be supplied or removed.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E071	H4-S004	f55v	f55v.11	7a4bb8136330ee4e6e56	or	OR_BATCH	Ansatz	Ansatz	Vorgeschriebenes Maß; An die Stelle setzen; Erwärme sie gelinde; Ansatz; Dieser Arbeitsposten; Eine Portion des Ansatzes	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E073	H4-S004	f55v	f55v.11	6afeb5c9ab9f6cbdea0d	orain	OR_BATCH+AIN_PORTION	eine Portion des Ansatzes	Eine Portion des Ansatzes	Vorgeschriebenes Maß; An die Stelle setzen; Erwärme sie gelinde; Ansatz; Dieser Arbeitsposten; Eine Portion des Ansatzes	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E074	H5-S001	f56r	f56r.5	b9d7b6d68209a9019e7a	chochor	CHO_PLANT+OR_BATCH	Pflanzenansatz	Pflanzenansatz	Pflanzenansatz; Sammle das ganze oberirdische Kraut an einem feuchten Standort; Nimm es zu Beginn der Blüte; Vorgeschriebenes Maß; Zerstoße die frischen klebrigen Blätter; Lege sie als Auflage auf; Der nächste Ansatz; Den laufenden Posten einsetzen; Stelle	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E080	H5-S001	f56r	f56r.7	10488b911aae52b3b334	otchor	OT_NEXT+OR_BATCH	der nächste Ansatz	Der nächste Ansatz	Pflanzenansatz; Sammle das ganze oberirdische Kraut an einem feuchten Standort; Nimm es zu Beginn der Blüte; Vorgeschriebenes Maß; Zerstoße die frischen klebrigen Blätter; Lege sie als Auflage auf; Der nächste Ansatz; Den laufenden Posten einsetzen; Stelle	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
CHEO	SELECTED_MEDIUM_OR_BATCH_CARD	E092	H5-S004	f56r	f56r.13	087a47b5423438cd6b6a	chokcheo	CH_RENDERER+OK+CHEO_EXTRACTION_MEDIUM	Auszugsmedium zugeben	Auszugsmedium zugeben	Den laufenden Posten einsetzen; Auszugsmedium zugeben; Abseihen	generic operation or already-produced extract rather than extraction medium	Either card used where no carrier/extract medium can be supplied or removed.
KCHOAR	SELECTED_MEDIUM_OR_BATCH_CARD	E096	H5-S005	f56r	f56r.18	c71c72da4e09e0833392	kchoar	KCHOAR_WORKING_EXTRACT_WHOLE_CARD	Gebrauchsauszug	Gebrauchsauszug	Pflanzenstoff; Den laufenden Posten einsetzen; Gebrauchsauszug; Gebrauchen	drink or administration card rather than usable extract	A repeated KCHOAR use that is not a usable prepared extract.
NOT_RINSE_NOUN	NEGATIVE_SUBSTANCE_CONTROL	E101	B1-S001	f81v	f81v.2	7db18b2f0fb7ed0fcfd3	qokedy	OK+GRADE_1+DY_CLOSE	kurz benetzen; Schluss	Kurz benetzen; Schluss	Kurz benetzen; Schluss	old water/wine/oil/warm-medium reading	Only reopen if the exact tuple, not a visible substring, repeatedly names that substance.
AIR	SELECTED_MEDIUM_OR_BATCH_CARD	E103	B1-S002	f81v	f81v.2	22fb87a5a83e5c3fb510	kair	K_LEARNED+AIR_WORK_LIQUOR_FLOW	laufende Arbeitsflüssigkeit	Laufende Arbeitsflüssigkeit	Auf das vorgeschriebene Maß einstellen; Laufende Arbeitsflüssigkeit; An die Stelle setzen; Aus demselben Vorrat; und mit dem vorigen Ansatz weiter; Eine Portion; Eine weitere Portion zugeben; Stelle; und mit dem vorigen Ansatz weiter; Bevor es abkühlt; Der vorbereitete Badzusatz; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlauf führen; Arbeitsbewegung abschließen	formal flow/path card with no material noun	A non-liquid object in the same five exact cards, or a base AIR use incompatible with flow.
DL	SELECTED_MEDIUM_OR_BATCH_CARD	E112	B1-S002	f81v	f81v.2	0f18de177ed7c878bf95	dl	DL_BATH_ADDITIVE_WHOLE_CARD	Badzusatz	Der vorbereitete Badzusatz	Auf das vorgeschriebene Maß einstellen; Laufende Arbeitsflüssigkeit; An die Stelle setzen; Aus demselben Vorrat; und mit dem vorigen Ansatz weiter; Eine Portion; Eine weitere Portion zugeben; Stelle; und mit dem vorigen Ansatz weiter; Bevor es abkühlt; Der vorbereitete Badzusatz; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlauf führen; Arbeitsbewegung abschließen	tool or station rather than bath additive	A DL occurrence in a slot that cannot host an additive or prepared bath charge.
OR	SELECTED_MEDIUM_OR_BATCH_CARD	E113	B1-S002	f81v	f81v.7	dec401773c1f0347793d	olor	OL_CONTINUE+OR_BATCH	mit dem vorigen Ansatz	Mit dem vorigen Ansatz	Auf das vorgeschriebene Maß einstellen; Laufende Arbeitsflüssigkeit; An die Stelle setzen; Aus demselben Vorrat; und mit dem vorigen Ansatz weiter; Eine Portion; Eine weitere Portion zugeben; Stelle; und mit dem vorigen Ansatz weiter; Bevor es abkühlt; Der vorbereitete Badzusatz; Mit dem vorigen Ansatz; und mit dem vorigen Ansatz weiter; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlauf führen; Arbeitsbewegung abschließen	generic preparation label rather than a wet batch	An OR-family card that cannot denote a prepared batch under OL/OT/CHO/AIN composition.
DL	SELECTED_MEDIUM_OR_BATCH_CARD	E129	B1-S006	f81v	f81v.17	0f18de177ed7c878bf95	dl	DL_BATH_ADDITIVE_WHOLE_CARD	Badzusatz	Der vorbereitete Badzusatz	Eine Portion zugeben; Durch den Durchlauf führen; Der vorbereitete Badzusatz; Und lasse es abkühlen	tool or station rather than bath additive	A DL occurrence in a slot that cannot host an additive or prepared bath charge.
