component_id	visible_realizations	working_default_de	status	evidence_summary	important_limit
AIR	chair|kair|okair|schedair|dairydy	Laufflüssigkeit	RECURRENT_COMPONENT	The operational hull changes; the medium value remains constant.	Not necessarily water and not a liquid identity across records.
CHEO	chokcheo|cheoar	Auszug	RECURRENT_COMPONENT	OK+CHEO adds it; CHEO+AR takes it from a source.	No claim that every Auszug is the same physical batch.
OR	chor|or|shor|sor|chochor|cholor|olor|otchor|qotchor|orain	Zubereitung	INHERITED_RECURRENT_COMPONENT	Base, previous, next, plant and portion cells remain compositional.	OR is not oil and not a specific ingredient.
WATER_DECK	dshedy|rsheal|shecthy	Frischwasser | Warmwasser | Badwasser	LEARNED_WHOLE_CARDS	Three local water cards occupy distinct workshop slots.	No productive visible WATER component is claimed.
SCHOAL	schoal	Weinsud	LEARNED_WHOLE_CARD	The H3 extraction chain supports a wine-based decoction.	It does not license O, OL or AL as wine.
DL	dl	Badzusatz	RECURRENT_WHOLE_CARD	Twice in the same f81v bath cycle.	One record does not prove a productive abbreviation.
SHEY	cheey|shey	Klarauszug	INHERITED_RECURRENT_WHOLE_CARD	Four filtration endpoints retain the same clear-extract value.	Not every clear liquid is SHEY.
TSHEY	tshey	Spülflüssigkeit	INHERITED_WHOLE_CARD	One rinse position in f82r.	Its relation to SHEY is not decomposed.
KCHY_KCHOAR	kchy|kchoar	Trank | Brusttrank	LEARNED_MEDIUM_DECK	Two administration nouns close Herbal preparation chains.	A common productive CHY or AR drink atom is not asserted.
SKAR	skar	Warmausguss	LEARNED_WHOLE_CARD	One terminal warm-pour position in f83r.	No free SK/AR decomposition.
HO	cho|sho	Pflanzenstoff	RECURRENT_EXACT_CARD	Four exact occurrences on f56r now share one material default.	It cannot mean honey in only one of four identical events.
OIL	NONE	keine Karte	NO_ASSIGNMENT	OL is previous/continuation and OR is preparation.	Oil remains a plausible recipe ingredient but is not lexically located.
HONEY	NONE	keine Karte	NO_ASSIGNMENT	The former sho=honey event violates exact-card invariance.	Honey remains historically plausible but unlocated.
