component_level	component_id	candidate_atomic_values	decision	selected_atomic_value	value_status	card_types	events	folios	non_gloss_evidence	executable_use
HOST	OK	ACTIVATE / ITEM / ASSIGN / SET	ADMIT	SET	FORMAL_OPERATIONAL_VALUE_ONLY	5	24	4	five opaque cards share one host across five RIGHT classes; predominantly entry/interior rather than closure	SET(<opaque local/right argument>)
HOST	OT	REFERENCE / ROUTE / TIME / MARK	ADMIT	MARK	FORMAL_OPERATIONAL_VALUE_ONLY	3	7	3	three opaque cards share one host across three RIGHT classes and contrast structurally with OK	MARK(<opaque local/right argument>)
HOST	L	CONTINUE / RECEIVER / LIQUID / LINK	ADMIT	LINK	FORMAL_OPERATIONAL_VALUE_ONLY	5	26	5	five opaque cards recur with bare, framed, RIGHT-bearing and closed realizations across five prose pages	LINK(<opaque local/right argument>)
HOST	OR	MEDIUM / RESULT / LIQUID / REMAINDER	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	2	8	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[OR]
HOST	AL	TARGET / PARALLEL / SECOND / PLACE	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	2	11	4	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[AL]
HOST	E	WAIT / STATE / UNTIL / END	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	2	14	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[E]
HOST	CHEY	TAKE / PORTION / MATERIAL	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	2	3	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[CHEY]
HOST	CHOR	GATHER / PLANT / SEASON / PROCUREMENT	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	2	3	2	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[CHOR]
HOST	AIIN	MEASURE / STANDARD / VALUE	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	20	7	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[AIIN]
HOST	EY	CLEAR / READY / REQUIRED-END-STATE	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	4	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[EY]
HOST	OKY	USE / ACTIVE-PORTION	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	10	5	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[OKY]
HOST	LCHE	DRAIN / LOWER-RECEIVER	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	8	2	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[LCHE]
HOST	OKE	RINSE / ONE-PASS	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	8	2	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[OKE]
HOST	CTHY	READY / USABLE	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	7	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[CTHY]
HOST	OKEEY	TEMPER / LUKEWARM	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	7	3	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[OKEEY]
HOST	CKHY	CONNECTED-CHANNELS / PATH	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	4	2	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[CKHY]
HOST	OLOR	PREVIOUS-BATCH / PRODUCT	REJECT	UNKNOWN	NO_ATOMIC_COMMON_MEANING	1	2	2	available commonality is recurrence/placement or inherited local prose; it does not select one meaning	UNKNOWN_HOST[OLOR]
RIGHT	AIIN	Standard-/Parameterplatz	ADMIT_OPAQUE_ONLY	ARG_AIIN	FORMAL_ARGUMENT_CLASS_NOT_SEMANTIC_GLOSS	9	19	NA_CARD_LEVEL	GDT327 distinguishes this RIGHT family, but no source meaning follows from that coordinate	<ARG_AIIN>
RIGHT	AIN	begrenzte Einheit oder Passage	ADMIT_OPAQUE_ONLY	ARG_AIN	FORMAL_ARGUMENT_CLASS_NOT_SEMANTIC_GLOSS	6	15	NA_CARD_LEVEL	GDT327 distinguishes this RIGHT family, but no source meaning follows from that coordinate	<ARG_AIN>
RIGHT	AL	Ziel-/Parallelplatz	ADMIT_OPAQUE_ONLY	ARG_AL	FORMAL_ARGUMENT_CLASS_NOT_SEMANTIC_GLOSS	13	21	NA_CARD_LEVEL	GDT327 distinguishes this RIGHT family, but no source meaning follows from that coordinate	<ARG_AL>
RIGHT	AR	Quellen-/Lokalrelation	ADMIT_OPAQUE_ONLY	ARG_AR	FORMAL_ARGUMENT_CLASS_NOT_SEMANTIC_GLOSS	8	8	NA_CARD_LEVEL	GDT327 distinguishes this RIGHT family, but no source meaning follows from that coordinate	<ARG_AR>
RIGHT	AIR	Fluss-/Laufweg	ADMIT_OPAQUE_ONLY	ARG_AIR	FORMAL_ARGUMENT_CLASS_NOT_SEMANTIC_GLOSS	3	3	NA_CARD_LEVEL	GDT327 distinguishes this RIGHT family, but no source meaning follows from that coordinate	<ARG_AIR>
FRAME	O	Kontext/Voransatz fortsetzen	ADMIT_OPAQUE_ONLY	FRAME_O	FORMAL_CONSTRUCTION_STATE_NOT_SEMANTIC_GLOSS	5	24	NA_CARD_LEVEL	GDT327 distinguishes this local frame; the old contextual expansion is not independently identified	FRAME_O(<base>)
