unit	unit_level	v48_gloss	r2_atomic_candidate	disposition	reason	historical_analogue	exact_cards	fixed_events
chor	PAGE_HOST	PFLANZENMATERIAL ZEITGEBUNDEN BESCHAFFEN	UNBEKANNT	REJECT_CONTEXT_SENTENCE; WHOLE_CARD_ONLY	Zwei Karten; die gemeinsame Sammellesung stammt aus den bereits spekulativen lokalen Übersetzungen. CHOR ist nicht als CHO+R lizenziert.	keiner	2	3
cho	PAGE_HOST	UNBEKANNT	UNBEKANNT	REJECT_CHO_EQUALS_PLANT	Zwei Karten wurden lokal als Waldort bzw. Abkühlen gelesen; kein gemeinsamer Pflanzenwert. CHO ist zudem kein nachgewiesener Bestandteil von CHOR.	keiner	2	2
chey	PAGE_HOST	AUSGEWÄHLTEN MATERIALANTEIL AUFNEHMEN	ANTEIL	RETAIN_WEAK_ATOMIC_CANDIDATE	Entfernt Verb, Auswahl und Materialklasse; nur der kleinste in allen drei lokalen Lesungen gemeinsame Nominalwert bleibt.	pars/portio-artiger Einzelwert, keine Sprachidentifikation	2	3
ok	PAGE_HOST	ARBEITSPOSTEN AKTIVIEREN	ITEM	RETAIN_BEST_ATOMIC_FORMULA_CANDIDATE	Fünf Karten und 24 Ereignisse; ein wiederverwendbarer Eintragsmarker ist historisch normaler als ein komplexes Aktivierungsverb. Die Lesung bleibt funktional und anonym.	abbreviertes item in CoReMA-Rezepten	5	24
or	PAGE_HOST	BEREITETES ERGEBNIS/ARBEITSMEDIUM	ANSATZ	RETAIN_PROVISIONAL_ATOMIC_CONTENT_CANDIDATE	Ein Wort ersetzt die Ergebnis/Medium-Doppelkategorie; zwei Karten und acht Ereignisse, weiterhin aus lokaler Kohärenz abgeleitet.	ein einzelnes Zubereitungsnomen, nicht eine ganze Anweisung	2	8
al	PAGE_HOST	ZIEL- ODER PARALLELSTATION	ZU	RETAIN_WEAK_ATOMIC_RELATION_CANDIDATE	Ein gerichteter Operator ersetzt zwei konkurrierende Stationsnomen; die konkrete Zielstelle bleibt Kontext.	ad-artige Relationsform, keine Sprachidentifikation	2	11
e	PAGE_HOST	BIS ZUR ZUSTANDSGRENZE FÜHREN	BIS	RETAIN_WEAK_ATOMIC_GATE_CANDIDATE	Der atomare Gatteroperator trägt weder Zustand noch Handlung; diese müssen aus der Konstruktion kommen.	donec/bis-artiger Rezeptoperator, keine Sprachidentifikation	2	14
ot	PAGE_HOST	MARKIERTEN BEZUG ODER WEG WÄHLEN	UNBEKANNT	WITHDRAW_SEMANTIC_AXIS	Zeit, Ort, Quelle und Weg lassen sich nicht auf ein einziges unabhängig belegtes Wort reduzieren; FORMAL-OT bleibt nur Parserzustand.	keiner	3	7
l	PAGE_HOST	ANGESCHLOSSENE STATION/FORTSETZUNG	UNBEKANNT	WITHDRAW_SEMANTIC_AXIS	Die fünf Karten tragen widersprüchliche lokale Lesungen (Öl, Abziehen, Kochen, Ablauf, Weiter); nur formale Rekurrenz ist sicher.	keiner	5	26
aiin	EXACT_WHOLE_CARD	MASS-/STANDARDKARTE	MASS	RETAIN_ATOMIC_WHOLE_CARD_NOT_STEM	Zwanzig Ereignisse, aber nur eine exakte Kartenart. Ein technisches Maßzeichen ist historisch plausibel; Produktivität ist nicht belegt.	Apothekerzeichen für Gewichte oder Einheiten	1	20
ey	EXACT_WHOLE_CARD	SOLLZUSTANDSKARTE	FERTIG	RETAIN_WEAK_ATOMIC_WHOLE_CARD_NOT_STEM	Vier Ereignisse, eine exakte Kartenart. FERTIG ist nur die kleinste Endzustandsparaphrase; KLAR oder FLÜSSIGKEIT werden ausdrücklich nicht importiert.	fiat/donec-artige Formularfunktion, keine Sprachidentifikation	1	4
