unit	unit_level	selected_atomic_value_German	status	exact_card_types	fixed_events	four_role_basis
OK	PAGE_HOST	SETZEN	FORMAL_OPERATOR	5	24	R1/R3/R4 converge on insertion/setting; R2 prefers an ITEM-like entry marker.
OT	PAGE_HOST	MARKIEREN	FORMAL_OPERATOR	3	7	R3 formal MARK; R1/R4 agree only on an abstract marked reference.
L	PAGE_HOST	VERKNÜPFEN	FORMAL_OPERATOR	5	26	R3 formal LINK; R1/R4 agree on connection/attachment.
AL	PAGE_HOST	ZU	WEAK_RELATION_LEAD	2	11	R1/R4 TARGET and R2 ZU agree on direction; R3 finds no semantic value.
E	PAGE_HOST	BIS	WEAK_GATE_LEAD	2	14	R1/R2/R4 select a boundary/gate; R3 finds no semantic value.
OR	PAGE_HOST	ANSATZ	WEAK_CONTENT_LEAD	2	8	R1 MEDIUM, R2 ANSATZ and R4 BEREIT overlap only on a prepared working item.
CHEY	PAGE_HOST	ANTEIL	WEAK_CONTENT_LEAD	2	3	R1 AUSWAHL, R2 ANTEIL and R4 NEHMEN overlap only in a selected share.
CHOR	PAGE_HOST	UNBEKANNT	WITHDRAWN	2	3	R1=ZEIT and R4=SAMMELN conflict; R2/R3 reject; CHOR is not CHO+R.
CHO	PAGE_HOST	UNBEKANNT	WITHDRAWN	2	2	The fixed occurrences do not share a meaning; CHO is not PFLANZE.
AIIN	EXACT_RECURRENT_WHOLE_CARD	MASS	WEAK_WHOLE_CARD_MNEMONIC	1	20	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
EY	EXACT_RECURRENT_WHOLE_CARD	FERTIG	WEAK_WHOLE_CARD_MNEMONIC	1	4	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
OKY	EXACT_RECURRENT_WHOLE_CARD	NUTZEN	WEAK_WHOLE_CARD_MNEMONIC	1	10	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
LCHE	EXACT_RECURRENT_WHOLE_CARD	ABLASS	WEAK_WHOLE_CARD_MNEMONIC	1	8	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
OKE	EXACT_RECURRENT_WHOLE_CARD	SPÜLEN	WEAK_WHOLE_CARD_MNEMONIC	1	8	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
CTHY	EXACT_RECURRENT_WHOLE_CARD	BEREIT	WEAK_WHOLE_CARD_MNEMONIC	1	7	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
OKEEY	EXACT_RECURRENT_WHOLE_CARD	LAUWARM	WEAK_WHOLE_CARD_MNEMONIC	1	7	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
CKHY	EXACT_RECURRENT_WHOLE_CARD	VERBINDUNG	WEAK_WHOLE_CARD_MNEMONIC	1	4	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
OLOR	EXACT_RECURRENT_WHOLE_CARD	VORIGES	WEAK_WHOLE_CARD_MNEMONIC	1	2	R1/R2/R4 retain a one-word mnemonic; R3 rejects semantic composition.
