level	unit	atomic_value_German	status	may_expand_to_sentence
PAGE_HOST	ok	SETZEN	FORMAL_AXIS	NO
PAGE_HOST	or	BEREIT	PROVISIONAL_CONTENT_STATE	NO
PAGE_HOST	al	ZIEL	LOW_CONFIDENCE_RELATION	NO
PAGE_HOST	e	BIS	LOW_CONFIDENCE_STATE_OPERATOR	NO
PAGE_HOST	ot	GEGENBEZUG	LOW_CONFIDENCE_RELATION	NO
PAGE_HOST	l	ANSCHLUSS	LOW_CONFIDENCE_RELATION	NO
PAGE_HOST	chey	NEHMEN	EXPLORATORY_ACTION	NO
PAGE_HOST	chor	SAMMELN	EXPLORATORY_ACTION	NO
RECURRENT_WHOLE_CARD	aiin	MASS	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	ey	ENDZUSTAND	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	oky	VERWENDEN	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	lche	ABLAUF	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	oke	SPÜLEN	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	cthy	BEREIT	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	okeey	LAUWARM	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	ckhy	VERBUNDEN	NOT_PRODUCTIVE_STEM	NO
RECURRENT_WHOLE_CARD	olor	VORANSATZ	NOT_PRODUCTIVE_STEM	NO
RIGHT_FAMILY	aiin	STANDARD	FORMAL_COMPLETION	NO
RIGHT_FAMILY	ain	EINHEIT	FORMAL_COMPLETION	NO
RIGHT_FAMILY	al	ZIEL	FORMAL_COMPLETION	NO
RIGHT_FAMILY	ar	QUELLE	FORMAL_COMPLETION	NO
RIGHT_FAMILY	air	LAUF	FORMAL_COMPLETION	NO
FRAME	O	FORTSETZUNG	FORMAL_CONTEXT	NO
FRAME	OT	GEGENBEZUG	FORMAL_CONTEXT	NO
FORMAL	INNER-D	VARIANTE	FORMAL_ONLY	NO
FORMAL	DY	SCHLUSS	FORMAL_ONLY	NO
FORMAL	B3	SONDERABSCHLUSS	FORMAL_ONLY	NO
