page	record	locus	field_ordinal	event_count	surface_sequence	executable_atomic_sequence	generic_argument_sequence_German	source_semantic_translation
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	UNKNOWN_HOST[CHEY] | UNKNOWN_HOST[CTHOOR] | UNKNOWN_HOST[AR] | UNKNOWN_HOST[TY] | UNKNOWN_HOST[OS] | UNKNOWN_HOST[AIR] | UNKNOWN_HOST[OTYTCHOL] | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[ETYD]	<unbekannter Kartenwert CHEY>; <unbekannter Kartenwert CTHOOR>; <unbekannter Kartenwert AR>; <unbekannter Kartenwert TY>; <unbekannter Kartenwert OS>; <unbekannter Kartenwert AIR>; <unbekannter Kartenwert OTYTCHOL>; <unbekannter Kartenwert OKY>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert ETYD>	UNASSIGNED
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	UNKNOWN_HOST[OKCHY] | FRAME_OT(UNKNOWN_HOST[CHOL]) | FRAME_O(LINK) | UNKNOWN_HOST[CTHY]	<unbekannter Kartenwert OKCHY>; <unbekannter Kartenwert CHOL>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert CTHY>	UNASSIGNED
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	UNKNOWN_HOST[YCHEOR] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[CTH] + <ARG_AIIN> | UNKNOWN_HOST[OCTHOLY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y]	<unbekannter Kartenwert YCHEOR>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert OR>; <unbekannter Kartenwert CTH>; <unbekannter Kartenwert OCTHOLY>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert Y>	UNASSIGNED
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	FRAME_OT(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[OR] | FRAME_OT(UNKNOWN_HOST[OL]) | FRAME_O(LINK) | UNKNOWN_HOST[OLOR] | FRAME_O(LINK) | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[AR]	<unbekannter Kartenwert CHOR>; <unbekannter Kartenwert OR>; <unbekannter Kartenwert OL>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert OLOR>; VERKNUEPFE <lokal gegebenen, inhaltlich unbekannten Anschluss>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert AR>	UNASSIGNED
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	UNKNOWN_HOST[OYKCHOR] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[KAIIIN] | UNKNOWN_HOST[Y] | FRAME_O(UNKNOWN_HOST[D] + <ARG_AIIN>)	<unbekannter Kartenwert OYKCHOR>; <unbekannter Kartenwert OR>; <unbekannter Kartenwert OR>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert KAIIIN>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert D>	UNASSIGNED
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	UNKNOWN_HOST[SHOL] | UNKNOWN_HOST[CHO] + <ARG_AL> | UNKNOWN_HOST[CFHY] | UNKNOWN_HOST[FYD] + <ARG_AIIN> | UNKNOWN_HOST[CPHY] | UNKNOWN_HOST[EY] | CLOSE(UNKNOWN_HOST[CHO])	<unbekannter Kartenwert SHOL>; <unbekannter Kartenwert CHO>; <unbekannter Kartenwert CFHY>; <unbekannter Kartenwert FYD>; <unbekannter Kartenwert CPHY>; <unbekannter Kartenwert EY>; <unbekannter Kartenwert CHO>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
f11r	1	f11r.1	2	1	shoyty	UNKNOWN_HOST[OYTY]	<unbekannter Kartenwert OYTY>	UNASSIGNED
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	UNKNOWN_HOST[CHOL] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[KCHY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN]	<unbekannter Kartenwert CHOL>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert KCHY>; <unbekannter Kartenwert Y>; <unbekannter Kartenwert AIIN>	UNASSIGNED
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	FRAME_OT(UNKNOWN_HOST[CHY]) | UNKNOWN_HOST[OKCHOL] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[Y]	<unbekannter Kartenwert CHY>; <unbekannter Kartenwert OKCHOL>; <unbekannter Kartenwert CTHY>; <unbekannter Kartenwert Y>	UNASSIGNED
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	SET(<ARG_AIIN>) | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[YK] + <ARG_AIN> | UNKNOWN_HOST[YKAN] | CLOSE(UNKNOWN_HOST[O])	SETZE <formal ausgewiesenes, inhaltlich unbekanntes Argument>; <unbekannter Kartenwert AIIN>; <unbekannter Kartenwert YK>; <unbekannter Kartenwert YKAN>; <unbekannter Kartenwert O>; SCHLIESSE DIE FORMALE EINHEIT	UNASSIGNED
