gloss_level	unit	rejected_gloss_German	replacement	reason
HOST	OK	spezifizierten Arbeitsposten einsetzen/aktivieren	SET	compound/content-rich gloss exceeds the structurally supported atomic operator
HOST	OR	bereitetes Ergebnis oder Arbeitsmedium	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
HOST	AL	Ziel- oder Parallelstation	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
HOST	E	bis zur Zustandsgrenze führen	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
HOST	OT	markierten Bezug oder Weg wählen	MARK	compound/content-rich gloss exceeds the structurally supported atomic operator
HOST	L	angeschlossene Station oder Fortsetzung	LINK	compound/content-rich gloss exceeds the structurally supported atomic operator
HOST	CHEY	ausgewählten Materialanteil aufnehmen	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
HOST	CHOR	Pflanzenmaterial zeitgebunden beschaffen	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	AIIN	Maß-/Standardkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	EY	Sollzustandskarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	OKY	Verwendungskarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	LCHE	Ablaufkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	OKE	Spülkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	CTHY	Bereitschaftskarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	OKEEY	Temperierkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	CKHY	Verbindungswegkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
WHOLE_CARD	OLOR	Voransatz-Produktkarte	UNKNOWN	meaning was abstracted from speculative local prose rather than independent common evidence
RIGHT	AIIN	Standard-/Parameterplatz	ARG_AIIN	coordinate is retained but its semantic expansion was not independently established
RIGHT	AIN	begrenzte Einheit oder Passage	ARG_AIN	coordinate is retained but its semantic expansion was not independently established
RIGHT	AL	Ziel-/Parallelplatz	ARG_AL	coordinate is retained but its semantic expansion was not independently established
RIGHT	AR	Quellen-/Lokalrelation	ARG_AR	coordinate is retained but its semantic expansion was not independently established
RIGHT	AIR	Fluss-/Laufweg	ARG_AIR	coordinate is retained but its semantic expansion was not independently established
FRAME	O	Kontext/Voransatz fortsetzen	FRAME_O	coordinate is retained but its semantic expansion was not independently established
FRAME	OT	markierten Sekundärbezug setzen	FRAME_OT	coordinate is retained but its semantic expansion was not independently established
INNER	D	gelernte Operations-/Zustandsvariante	VARIANT_D	coordinate is retained but its semantic expansion was not independently established
LOCAL_CARD_SENTENCE	00d8ebe3c68294eeac39	mit der vorigen Mischung	UNKNOWN_HOST[D] + <ARG_AL>	retired as component evidence; local sentence may remain only in the recovery archive
