page	record	locus	field_ordinal	event_count	surface_sequence	formal_sequence	atomic_working_sequence_German	complete_creative_translation_German
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	UNKNOWN_HOST[CHEY] | UNKNOWN_HOST[CTHOOR] | UNKNOWN_HOST[AR] | UNKNOWN_HOST[TY] | UNKNOWN_HOST[OS] | UNKNOWN_HOST[AIR] | UNKNOWN_HOST[OTYTCHOL] | UNKNOWN_HOST[OKY] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[ETYD]	ANTEIL | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | NUTZEN | MASS | UNBEKANNT	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	UNKNOWN_HOST[OKCHY] | FRAME_OT(UNKNOWN_HOST[CHOL]) | FRAME_O(LINK) | UNKNOWN_HOST[CTHY]	UNBEKANNT | UNBEKANNT | VERKNÜPFEN | BEREIT	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	UNKNOWN_HOST[YCHEOR] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[CTH] + <ARG_AIIN> | UNKNOWN_HOST[OCTHOLY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[Y]	UNBEKANNT | BEREIT | ANSATZ | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | MASS | UNBEKANNT	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	FRAME_OT(UNKNOWN_HOST[CHOR]) | UNKNOWN_HOST[OR] | FRAME_OT(UNKNOWN_HOST[OL]) | FRAME_O(LINK) | UNKNOWN_HOST[OLOR] | FRAME_O(LINK) | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[AR]	UNBEKANNT | ANSATZ | UNBEKANNT | VERKNÜPFEN | VORIGES | VERKNÜPFEN | MASS | UNBEKANNT	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	UNKNOWN_HOST[OYKCHOR] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[OR] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[KAIIIN] | UNKNOWN_HOST[Y] | FRAME_O(UNKNOWN_HOST[D] + <ARG_AIIN>)	UNBEKANNT | ANSATZ | ANSATZ | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	UNKNOWN_HOST[SHOL] | UNKNOWN_HOST[CHO] + <ARG_AL> | UNKNOWN_HOST[CFHY] | UNKNOWN_HOST[FYD] + <ARG_AIIN> | UNKNOWN_HOST[CPHY] | UNKNOWN_HOST[EY] | CLOSE(UNKNOWN_HOST[CHO])	UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | FERTIG | UNBEKANNT	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen
f11r	1	f11r.1	2	1	shoyty	UNKNOWN_HOST[OYTY]	UNBEKANNT	behalte die Blütenkrone zurück
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	UNKNOWN_HOST[CHOL] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[KCHY] | UNKNOWN_HOST[Y] | UNKNOWN_HOST[AIIN]	UNBEKANNT | UNBEKANNT | UNBEKANNT | UNBEKANNT | MASS	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	FRAME_OT(UNKNOWN_HOST[CHY]) | UNKNOWN_HOST[OKCHOL] | UNKNOWN_HOST[CTHY] | UNKNOWN_HOST[Y]	UNBEKANNT | UNBEKANNT | BEREIT | UNBEKANNT	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	SET(<ARG_AIIN>) | UNKNOWN_HOST[AIIN] | UNKNOWN_HOST[YK] + <ARG_AIN> | UNKNOWN_HOST[YKAN] | CLOSE(UNKNOWN_HOST[O])	SETZEN | MASS | UNBEKANNT | UNBEKANNT | UNBEKANNT	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist
f55v	1	f55v.5	2	3	daiin chedy talam	UNKNOWN_HOST[AIIN] | VARIANT_D(UNKNOWN_HOST[Y]) | CLOSE_B3(UNKNOWN_HOST[ALA])	MASS | UNBEKANNT | UNBEKANNT	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	UNKNOWN_HOST[YK] + <ARG_AIIN> | UNKNOWN_HOST[O] + <ARG_AR> | UNKNOWN_HOST[EKY] | CLOSE(FRAME_O(LINK))	UNBEKANNT | UNBEKANNT | UNBEKANNT | VERKNÜPFEN	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt
