page	locus	record	event_index	surface	joint_tuple_id	page_host	formal_formula	atomic_working_value_German	atomic_status	complete_default_German
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	chey	UNKNOWN_HOST[CHEY]	ANTEIL	WEAK_CONTENT_LEAD	Nimm die faserige untere Wurzel
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	cthoor	UNKNOWN_HOST[CTHOOR]	UNBEKANNT	OPAQUE_WHOLE_CARD	wasche sie in fließendem Wasser
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	ar	UNKNOWN_HOST[AR]	UNBEKANNT	OPAQUE_WHOLE_CARD	Daraus, aus demselben Ansatz
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	ty	UNKNOWN_HOST[TY]	UNBEKANNT	OPAQUE_WHOLE_CARD	Gleichmäßig bearbeiten
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	os	UNKNOWN_HOST[OS]	UNBEKANNT	OPAQUE_WHOLE_CARD	zerstoße sie zu grobem Pulver
f10r	f10r.2	1	6	chair	12efe866f335461823a6	air	UNKNOWN_HOST[AIR]	UNBEKANNT	OPAQUE_WHOLE_CARD	gib Rotwein hinzu
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	otytchol	UNKNOWN_HOST[OTYTCHOL]	UNBEKANNT	OPAQUE_WHOLE_CARD	trinke es bei Magenschmerz
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	oky	UNKNOWN_HOST[OKY]	NUTZEN	WEAK_WHOLE_CARD_MNEMONIC	Die aktive Portion verwenden
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	aiin	UNKNOWN_HOST[AIIN]	MASS	WEAK_WHOLE_CARD_MNEMONIC	Ein vorgeschriebenes Maß
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	etyd	UNKNOWN_HOST[ETYD]	UNBEKANNT	OPAQUE_WHOLE_CARD	bewahre die übrige Wurzel trocken auf
f10r	f10r.5	1	1	qokchy	9ad66e67803a12e745de	okchy	UNKNOWN_HOST[OKCHY]	UNBEKANNT	OPAQUE_WHOLE_CARD	gebrauche die frisch bereitete Arznei
f10r	f10r.5	1	2	qotchol	e8a6105b5c3a6220b440	chol	FRAME_OT(UNKNOWN_HOST[CHOL])	UNBEKANNT	OPAQUE_WHOLE_CARD	wende sie warm an
f10r	f10r.5	1	3	chol	dcda95c81a5460feb191	l	FRAME_O(LINK)	VERKNÜPFEN	FORMAL_OPERATOR	Mit der vorigen Zubereitung weiter
f10r	f10r.5	1	4	cthy	e0b630cb1b5df5e7105b	cthy	UNKNOWN_HOST[CTHY]	BEREIT	WEAK_WHOLE_CARD_MNEMONIC	Sobald die Zubereitung gebrauchsfertig ist
f10r	f10r.6	2	1	ycheor	7249edc4df3419c26999	ycheor	UNKNOWN_HOST[YCHEOR]	UNBEKANNT	OPAQUE_WHOLE_CARD	sie wächst auf feuchtem Wiesengrund
f10r	f10r.6	2	2	cthy	e0b630cb1b5df5e7105b	cthy	UNKNOWN_HOST[CTHY]	BEREIT	WEAK_WHOLE_CARD_MNEMONIC	Sobald die Zubereitung gebrauchsfertig ist
f10r	f10r.6	2	3	chor	7a4bb8136330ee4e6e56	or	UNKNOWN_HOST[OR]	ANSATZ	WEAK_CONTENT_LEAD	Die bereitete Arbeitsflüssigkeit
f10r	f10r.6	2	4	cthaiin	f3c23f42baf625639e1e	cth	UNKNOWN_HOST[CTH] + <ARG_AIIN>	UNBEKANNT	OPAQUE_WHOLE_CARD	gib den ausgepressten Saft hinzu
f10r	f10r.6	2	5	qoctholy	af816c04e65874a0f2fa	octholy	UNKNOWN_HOST[OCTHOLY]	UNBEKANNT	OPAQUE_WHOLE_CARD	koche es sanft
f10r	f10r.6	2	6	dy	b921a237be883a820352	y	UNKNOWN_HOST[Y]	UNBEKANNT	OPAQUE_WHOLE_CARD	Diese aktive Portion
f10r	f10r.6	2	7	chy	b921a237be883a820352	y	UNKNOWN_HOST[Y]	UNBEKANNT	OPAQUE_WHOLE_CARD	Diese aktive Portion
f10r	f10r.6	2	8	taiin	2f1c5e56e8f0ff459065	aiin	UNKNOWN_HOST[AIIN]	MASS	WEAK_WHOLE_CARD_MNEMONIC	Ein vorgeschriebenes Maß
f10r	f10r.6	2	9	shy	b921a237be883a820352	y	UNKNOWN_HOST[Y]	UNBEKANNT	OPAQUE_WHOLE_CARD	Diese aktive Portion
f10r	f10r.8	2	1	qotchor	10488b911aae52b3b334	chor	FRAME_OT(UNKNOWN_HOST[CHOR])	UNBEKANNT	WITHDRAWN	vor der Blüte gesammelt
f10r	f10r.8	2	2	chor	7a4bb8136330ee4e6e56	or	UNKNOWN_HOST[OR]	ANSATZ	WEAK_CONTENT_LEAD	Die bereitete Arbeitsflüssigkeit
f10r	f10r.8	2	3	otol	497cbd9c7401810ff56b	ol	FRAME_OT(UNKNOWN_HOST[OL])	UNBEKANNT	OPAQUE_WHOLE_CARD	eine Handvoll
f10r	f10r.8	2	4	chol	dcda95c81a5460feb191	l	FRAME_O(LINK)	VERKNÜPFEN	FORMAL_OPERATOR	Mit der vorigen Zubereitung weiter
f10r	f10r.8	2	5	cholor	dec401773c1f0347793d	olor	UNKNOWN_HOST[OLOR]	VORIGES	WEAK_WHOLE_CARD_MNEMONIC	Aus dem vorigen Ansatz entnehmen
f10r	f10r.8	2	6	chol	dcda95c81a5460feb191	l	FRAME_O(LINK)	VERKNÜPFEN	FORMAL_OPERATOR	Mit der vorigen Zubereitung weiter
f10r	f10r.8	2	7	daiin	2f1c5e56e8f0ff459065	aiin	UNKNOWN_HOST[AIIN]	MASS	WEAK_WHOLE_CARD_MNEMONIC	Ein vorgeschriebenes Maß
f10r	f10r.8	2	8	dar	4d4559019a961b834aa1	ar	UNKNOWN_HOST[AR]	UNBEKANNT	OPAQUE_WHOLE_CARD	Daraus, aus demselben Ansatz
f10r	f10r.9	2	1	oykchor	27d97af8c96eb056c2e6	oykchor	UNKNOWN_HOST[OYKCHOR]	UNBEKANNT	OPAQUE_WHOLE_CARD	wenn sich die Blüte geöffnet hat
f10r	f10r.9	2	2	shor	7a4bb8136330ee4e6e56	or	UNKNOWN_HOST[OR]	ANSATZ	WEAK_CONTENT_LEAD	Die bereitete Arbeitsflüssigkeit
f10r	f10r.9	2	3	chor	7a4bb8136330ee4e6e56	or	UNKNOWN_HOST[OR]	ANSATZ	WEAK_CONTENT_LEAD	Die bereitete Arbeitsflüssigkeit
f10r	f10r.9	2	4	chy	b921a237be883a820352	y	UNKNOWN_HOST[Y]	UNBEKANNT	OPAQUE_WHOLE_CARD	Diese aktive Portion
