page	record	locus	field_ordinal	event_count	surface_sequence	atomic_literal_sequence_German	separate_fluent_creative_translation_German
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	HOST-CHEY=NEHMEN | HOST-CTHOOR=UNBEKANNT | HOST-AR=UNBEKANNT | HOST-TY=UNBEKANNT | HOST-OS=UNBEKANNT | HOST-AIR=UNBEKANNT | HOST-OTYTCHOL=UNBEKANNT | GANZKARTE-OKY=VERWENDEN | GANZKARTE-AIIN=MASS | HOST-ETYD=UNBEKANNT	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	HOST-OKCHY=UNBEKANNT | HOST-CHOL=UNBEKANNT + FRAME-OT=GEGENBEZUG | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | GANZKARTE-CTHY=BEREIT	gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	HOST-YCHEOR=UNBEKANNT | GANZKARTE-CTHY=BEREIT | HOST-OR=BEREIT | HOST-CTH=UNBEKANNT + RIGHT-AIIN=STANDARD | HOST-OCTHOLY=UNBEKANNT | HOST-Y=UNBEKANNT | HOST-Y=UNBEKANNT | GANZKARTE-AIIN=MASS | HOST-Y=UNBEKANNT	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	HOST-CHOR=SAMMELN + FRAME-OT=GEGENBEZUG | HOST-OR=BEREIT | HOST-OL=UNBEKANNT + FRAME-OT=GEGENBEZUG | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | GANZKARTE-OLOR=VORANSATZ | HOST-L=ANSCHLUSS + FRAME-O=FORTSETZUNG | GANZKARTE-AIIN=MASS | HOST-AR=UNBEKANNT	vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	HOST-OYKCHOR=UNBEKANNT | HOST-OR=BEREIT | HOST-OR=BEREIT | HOST-Y=UNBEKANNT | HOST-KAIIIN=UNBEKANNT | HOST-Y=UNBEKANNT | HOST-D=UNBEKANNT + FRAME-O=FORTSETZUNG + RIGHT-AIIN=STANDARD	wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	HOST-SHOL=UNBEKANNT | HOST-CHO=UNBEKANNT + RIGHT-AL=ZIEL | HOST-CFHY=UNBEKANNT | HOST-FYD=UNBEKANNT + RIGHT-AIIN=STANDARD | HOST-CPHY=UNBEKANNT | GANZKARTE-EY=ENDZUSTAND | HOST-CHO=UNBEKANNT + DY=SCHLUSS	sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen
f11r	1	f11r.1	2	1	shoyty	HOST-OYTY=UNBEKANNT	behalte die Blütenkrone zurück
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	HOST-CHOL=UNBEKANNT | HOST-Y=UNBEKANNT | HOST-KCHY=UNBEKANNT | HOST-Y=UNBEKANNT | GANZKARTE-AIIN=MASS	von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	HOST-CHY=UNBEKANNT + FRAME-OT=GEGENBEZUG | HOST-OKCHOL=UNBEKANNT | GANZKARTE-CTHY=BEREIT | HOST-Y=UNBEKANNT	bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	HOST-OK=SETZEN + RIGHT-AIIN=STANDARD | GANZKARTE-AIIN=MASS | HOST-YK=UNBEKANNT + RIGHT-AIN=EINHEIT | HOST-YKAN=UNBEKANNT | HOST-O=UNBEKANNT + DY=SCHLUSS	beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist
