page	locus	record	event_index	surface	joint_tuple_id	page_host	r2_atomic_literal_German	local_creative_expansion_German	meaning_status
f10r	f10r.2	1	1	dchey	65f320e75510b2f38182	chey	KANDIDAT HOST CHEY=ANTEIL	Nimm die faserige untere Wurzel	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	2	cthoor	dedc383b600397a301ee	cthoor	OPAQUE HOST CTHOOR=UNBEKANNT	wasche sie in fließendem Wasser	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	3	char	4d4559019a961b834aa1	ar	OPAQUE HOST AR=UNBEKANNT	Daraus, aus demselben Ansatz	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	4	chty	80ebbbbf238eee9f0aef	ty	OPAQUE HOST TY=UNBEKANNT	Gleichmäßig bearbeiten	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	5	os	df1098831679a8ad1b39	os	OPAQUE HOST OS=UNBEKANNT	zerstoße sie zu grobem Pulver	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	6	chair	12efe866f335461823a6	air	OPAQUE HOST AIR=UNBEKANNT	gib Rotwein hinzu	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	7	otytchol	62ff059766b21c7de083	otytchol	OPAQUE HOST OTYTCHOL=UNBEKANNT	trinke es bei Magenschmerz	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	8	oky	276a7c2d74d1143446f4	oky	KANDIDAT GANZKARTE OKY=NUTZE	Die aktive Portion verwenden	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	9	daiin	2f1c5e56e8f0ff459065	aiin	KANDIDAT GANZKARTE AIIN=MASS	Ein vorgeschriebenes Maß	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.2	1	10	etyd	a6939862e33ece5a0483	etyd	OPAQUE HOST ETYD=UNBEKANNT	bewahre die übrige Wurzel trocken auf	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.5	1	1	qokchy	9ad66e67803a12e745de	okchy	OPAQUE HOST OKCHY=UNBEKANNT	gebrauche die frisch bereitete Arznei	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.5	1	2	qotchol	e8a6105b5c3a6220b440	chol	OPAQUE HOST CHOL=UNBEKANNT + FRAME OT=FORMAL-OT	wende sie warm an	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.5	1	3	chol	dcda95c81a5460feb191	l	OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O	Mit der vorigen Zubereitung weiter	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.5	1	4	cthy	e0b630cb1b5df5e7105b	cthy	KANDIDAT GANZKARTE CTHY=BEREIT	Sobald die Zubereitung gebrauchsfertig ist	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.6	2	1	ycheor	7249edc4df3419c26999	ycheor	OPAQUE HOST YCHEOR=UNBEKANNT	sie wächst auf feuchtem Wiesengrund	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.6	2	2	cthy	e0b630cb1b5df5e7105b	cthy	KANDIDAT GANZKARTE CTHY=BEREIT	Sobald die Zubereitung gebrauchsfertig ist	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
f10r	f10r.6	2	3	chor	7a4bb8136330ee4e6e56	or	KANDIDAT HOST OR=ANSATZ	Die bereitete Arbeitsflüssigkeit	HISTORICALLY_BOUNDED_CREATIVE_CANDIDATE_NOT_DECIPHERMENT
