page	record	locus	field_ordinal	event_count	surface_sequence	r2_atomic_literal_sequence_German	local_creative_translation_German
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	KANDIDAT HOST CHEY=ANTEIL | OPAQUE HOST CTHOOR=UNBEKANNT | OPAQUE HOST AR=UNBEKANNT | OPAQUE HOST TY=UNBEKANNT | OPAQUE HOST OS=UNBEKANNT | OPAQUE HOST AIR=UNBEKANNT | OPAQUE HOST OTYTCHOL=UNBEKANNT | KANDIDAT GANZKARTE OKY=NUTZE | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST ETYD=UNBEKANNT	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST CHOL=UNBEKANNT + FRAME OT=FORMAL-OT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT GANZKARTE CTHY=BEREIT	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPAQUE HOST YCHEOR=UNBEKANNT | KANDIDAT GANZKARTE CTHY=BEREIT | KANDIDAT HOST OR=ANSATZ | OPAQUE HOST CTH=UNBEKANNT + RIGHT AIIN=R-AIIN | OPAQUE HOST OCTHOLY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST Y=UNBEKANNT	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	OPAQUE HOST CHOR=UNBEKANNT + FRAME OT=FORMAL-OT | KANDIDAT HOST OR=ANSATZ | OPAQUE HOST OL=UNBEKANNT + FRAME OT=FORMAL-OT | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT GANZKARTE OLOR=REST | OPAQUE HOST L=UNBEKANNT + FRAME O=FORMAL-O | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST AR=UNBEKANNT	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	OPAQUE HOST OYKCHOR=UNBEKANNT | KANDIDAT HOST OR=ANSATZ | KANDIDAT HOST OR=ANSATZ | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KAIIIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST D=UNBEKANNT + FRAME O=FORMAL-O + RIGHT AIIN=R-AIIN	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	OPAQUE HOST SHOL=UNBEKANNT | OPAQUE HOST CHO=UNBEKANNT + RIGHT AL=R-AL | OPAQUE HOST CFHY=UNBEKANNT | OPAQUE HOST FYD=UNBEKANNT + RIGHT AIIN=R-AIIN | OPAQUE HOST CPHY=UNBEKANNT | KANDIDAT GANZKARTE EY=FERTIG | OPAQUE HOST CHO=UNBEKANNT + DY=SCHLUSS	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen
f11r	1	f11r.1	2	1	shoyty	OPAQUE HOST OYTY=UNBEKANNT	behalte die Blütenkrone zurück
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	OPAQUE HOST CHOL=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KCHY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | KANDIDAT GANZKARTE AIIN=MASS	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	OPAQUE HOST CHY=UNBEKANNT + FRAME OT=FORMAL-OT | OPAQUE HOST OKCHOL=UNBEKANNT | KANDIDAT GANZKARTE CTHY=BEREIT | OPAQUE HOST Y=UNBEKANNT	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	KANDIDAT HOST OK=ITEM + RIGHT AIIN=R-AIIN | KANDIDAT GANZKARTE AIIN=MASS | OPAQUE HOST YK=UNBEKANNT + RIGHT AIN=R-AIN | OPAQUE HOST YKAN=UNBEKANNT | OPAQUE HOST O=UNBEKANNT + DY=SCHLUSS	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist
