page	record	locus	field_ordinal	event_count	surface_sequence	strict_literal_sequence_German	fluent_local_creative_translation_German
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	HOST CHEY=AUSWAHL | OPAQUE HOST CTHOOR=UNBEKANNT | OPAQUE HOST AR=UNBEKANNT | OPAQUE HOST TY=UNBEKANNT | OPAQUE HOST OS=UNBEKANNT | OPAQUE HOST AIR=UNBEKANNT | OPAQUE HOST OTYTCHOL=UNBEKANNT | GANZKARTE OKY=VERWENDUNG | GANZKARTE AIIN=MASS | OPAQUE HOST ETYD=UNBEKANNT	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST CHOL=UNBEKANNT + FRAME OT=MARKIERUNG | HOST L=ANSCHLUSS + FRAME O=FORTSETZUNG | GANZKARTE CTHY=BEREIT	gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPAQUE HOST YCHEOR=UNBEKANNT | GANZKARTE CTHY=BEREIT | HOST OR=MEDIUM | OPAQUE HOST CTH=UNBEKANNT + RIGHT AIIN=PARAMETER | OPAQUE HOST OCTHOLY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | GANZKARTE AIIN=MASS | OPAQUE HOST Y=UNBEKANNT	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	HOST CHOR=ZEIT + FRAME OT=MARKIERUNG | HOST OR=MEDIUM | OPAQUE HOST OL=UNBEKANNT + FRAME OT=MARKIERUNG | HOST L=ANSCHLUSS + FRAME O=FORTSETZUNG | GANZKARTE OLOR=VORHERIGES | HOST L=ANSCHLUSS + FRAME O=FORTSETZUNG | GANZKARTE AIIN=MASS | OPAQUE HOST AR=UNBEKANNT	vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	OPAQUE HOST OYKCHOR=UNBEKANNT | HOST OR=MEDIUM | HOST OR=MEDIUM | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KAIIIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST D=UNBEKANNT + FRAME O=FORTSETZUNG + RIGHT AIIN=PARAMETER	wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	OPAQUE HOST SHOL=UNBEKANNT | OPAQUE HOST CHO=UNBEKANNT + RIGHT AL=ZIEL | OPAQUE HOST CFHY=UNBEKANNT | OPAQUE HOST FYD=UNBEKANNT + RIGHT AIIN=PARAMETER | OPAQUE HOST CPHY=UNBEKANNT | GANZKARTE EY=ENDZUSTAND | OPAQUE HOST CHO=UNBEKANNT + DY=ABSCHLUSS	sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen
f11r	1	f11r.1	2	1	shoyty	OPAQUE HOST OYTY=UNBEKANNT	behalte die Blütenkrone zurück
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	OPAQUE HOST CHOL=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KCHY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | GANZKARTE AIIN=MASS	von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	OPAQUE HOST CHY=UNBEKANNT + FRAME OT=MARKIERUNG | OPAQUE HOST OKCHOL=UNBEKANNT | GANZKARTE CTHY=BEREIT | OPAQUE HOST Y=UNBEKANNT	bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	HOST OK=EINSETZEN + RIGHT AIIN=PARAMETER | GANZKARTE AIIN=MASS | OPAQUE HOST YK=UNBEKANNT + RIGHT AIN=EINHEIT | OPAQUE HOST YKAN=UNBEKANNT | OPAQUE HOST O=UNBEKANNT + DY=ABSCHLUSS	beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist
