page	record	locus	field_ordinal	event_count	surface_sequence	strict_literal_sequence_German	fluent_local_creative_translation_German
f10r	1	f10r.2	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	OPAQUE HOST CHEY=UNBEKANNT | OPAQUE HOST CTHOOR=UNBEKANNT | OPAQUE HOST AR=UNBEKANNT | OPAQUE HOST TY=UNBEKANNT | OPAQUE HOST OS=UNBEKANNT | OPAQUE HOST AIR=UNBEKANNT | OPAQUE HOST OTYTCHOL=UNBEKANNT | GANZKARTE OKY=VERWENDUNGSKARTE | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST ETYD=UNBEKANNT	Nimm die faserige untere Wurzel; wasche sie in fließendem Wasser; Daraus, aus demselben Ansatz; Gleichmäßig bearbeiten; zerstoße sie zu grobem Pulver; gib Rotwein hinzu; trinke es bei Magenschmerz; Die aktive Portion verwenden; Ein vorgeschriebenes Maß; bewahre die übrige Wurzel trocken auf
f10r	1	f10r.5	1	4	qokchy qotchol chol cthy	OPAQUE HOST OKCHY=UNBEKANNT | HOST CHOL=GEZEIGTEN SIMPLEX ODER SEINE AKTIVE ZUBEREITUNG WIEDERAUFNEHMEN + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | GANZKARTE CTHY=BEREITSCHAFTSKARTE	gebrauche die frisch bereitete Arznei; wende sie warm an; Mit der vorigen Zubereitung weiter; Sobald die Zubereitung gebrauchsfertig ist
f10r	2	f10r.6	1	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPAQUE HOST YCHEOR=UNBEKANNT | GANZKARTE CTHY=BEREITSCHAFTSKARTE | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM | OPAQUE HOST CTH=UNBEKANNT + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | OPAQUE HOST OCTHOLY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST Y=UNBEKANNT	sie wächst auf feuchtem Wiesengrund; Sobald die Zubereitung gebrauchsfertig ist; Die bereitete Arbeitsflüssigkeit; gib den ausgepressten Saft hinzu; koche es sanft; Diese aktive Portion; Diese aktive Portion; Ein vorgeschriebenes Maß; Diese aktive Portion
f10r	2	f10r.8	1	8	qotchor chor otol chol cholor chol daiin dar	OPAQUE HOST CHOR=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM | OPAQUE HOST OL=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | GANZKARTE OLOR=VORANSATZ-PRODUKTKARTE | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST AR=UNBEKANNT	vor der Blüte gesammelt; Die bereitete Arbeitsflüssigkeit; eine Handvoll; Mit der vorigen Zubereitung weiter; Aus dem vorigen Ansatz entnehmen; Mit der vorigen Zubereitung weiter; Ein vorgeschriebenes Maß; Daraus, aus demselben Ansatz
f10r	2	f10r.9	1	7	oykchor shor chor chy kaiiin dy chodaiin	OPAQUE HOST OYKCHOR=UNBEKANNT | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KAIIIN=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST D=UNBEKANNT + FRAME O=KONTEXT/VORANSATZ FORTSETZEN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ	wenn sich die Blüte geöffnet hat; Die bereitete Arbeitsflüssigkeit; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; bis ein bitterer Geschmack bleibt; Diese aktive Portion; bewahre diesen Anteil unter Öl
f11r	1	f11r.1	1	7	tshol schoal cfhy shfydaiin cphy shey tchody	OPAQUE HOST SHOL=UNBEKANNT | OPAQUE HOST CHO=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ | OPAQUE HOST CFHY=UNBEKANNT | OPAQUE HOST FYD=UNBEKANNT + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | OPAQUE HOST CPHY=UNBEKANNT | GANZKARTE EY=SOLLZUSTANDSKARTE | OPAQUE HOST CHO=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	sammle die Wurzel im Frühjahr; vom schattigen Waldort; bevor sich die Blütenkrone öffnet; presse die gequetschte Wurzel durch ein Tuch; seihe die Flüssigkeit ein zweites Mal; Bis die Flüssigkeit klar abläuft; lasse die geseihte Flüssigkeit offen abkühlen
f11r	1	f11r.1	2	1	shoyty	OPAQUE HOST OYTY=UNBEKANNT	behalte die Blütenkrone zurück
f11r	1	f11r.4	1	5	dchol chy kchy dy daiin	HOST CHOL=GEZEIGTEN SIMPLEX ODER SEINE AKTIVE ZUBEREITUNG WIEDERAUFNEHMEN | OPAQUE HOST Y=UNBEKANNT | OPAQUE HOST KCHY=UNBEKANNT | OPAQUE HOST Y=UNBEKANNT | GANZKARTE AIIN=MASS-/STANDARDKARTE	von diesem abgebildeten Simplex; Diese aktive Portion; binde es auf die geschwollene Stelle; Diese aktive Portion; Ein vorgeschriebenes Maß
f11r	1	f11r.7	1	4	qotchy okchol cthy dy	OPAQUE HOST CHY=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | OPAQUE HOST OKCHOL=UNBEKANNT | GANZKARTE CTHY=BEREITSCHAFTSKARTE | OPAQUE HOST Y=UNBEKANNT	bereite aus den Blättern einen warmen Umschlag; lege ihn warm auf; Sobald die Zubereitung gebrauchsfertig ist; Diese aktive Portion
f55v	1	f55v.5	1	5	qokaiin chaiin ykain ykan ody	HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST YK=UNBEKANNT + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE | OPAQUE HOST YKAN=UNBEKANNT | HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	beginne den nächsten abgemessenen Posten; Ein vorgeschriebenes Maß; koche das breite Blatt sanft; in Weißwein; lasse es ziehen, bis die Flüssigkeit klar ist
f55v	1	f55v.5	2	3	daiin chedy talam	GANZKARTE AIIN=MASS-/STANDARDKARTE | OPAQUE HOST Y=UNBEKANNT + INNER-D=GELERNTE OPERATIONS-/ZUSTANDSVARIANTE | OPAQUE HOST ALA=UNBEKANNT + B3=BESONDEREN ZELLSCHLUSS SETZEN	Ein vorgeschriebenes Maß; rühre, bis alles gleichmäßig vermischt ist; wasche die wunde Stelle einmal
f55v	1	f55v.11	1	4	ykaiin cheoar cheeky oldy	OPAQUE HOST YK=UNBEKANNT + RIGHT AIIN=STANDARD-/PARAMETERPLATZ | HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN + RIGHT AR=QUELLEN-/LOKALRELATION | OPAQUE HOST EKY=UNBEKANNT | HOST L=ANGESCHLOSSENE STATION/FORTSETZUNG + FRAME O=KONTEXT/VORANSATZ FORTSETZEN + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	für den zweiten Arzneigebrauch; gib Weißwein hinzu; solange es noch warm ist; koche sanft und beende diesen Arbeitsschritt
f55v	1	f55v.11	2	6	aiin okal oltchy or y orain	GANZKARTE AIIN=MASS-/STANDARDKARTE | HOST OK=ARBEITSPOSTEN AKTIVIEREN + RIGHT AL=ZIEL-/PARALLELPLATZ | OPAQUE HOST OLTCHY=UNBEKANNT | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM | OPAQUE HOST Y=UNBEKANNT | HOST OR=BEREITETES ERGEBNIS/ARBEITSMEDIUM + RIGHT AIN=BEGRENZTE EINHEIT ODER PASSAGE	Ein vorgeschriebenes Maß; mische beide Anteile zusammen; bewahre es in einem bedeckten Gefäß; Die bereitete Arbeitsflüssigkeit; Diese aktive Portion; gebrauche die fertige Flüssigkeit frisch
f56r	1	f56r.5	1	4	chochor cho chodaly daiin	OPAQUE HOST CHOR=UNBEKANNT + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN | OPAQUE HOST ODALY=UNBEKANNT | GANZKARTE AIIN=MASS-/STANDARDKARTE	sammle die Pflanze im Frühjahr; nimm danach den folgenden Zusatz oder Pflanzenteil; die dünne untere Wurzel; Ein vorgeschriebenes Maß
f56r	1	f56r.7	1	5	sho kchol otchor choky dal	HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN | OPAQUE HOST KCHOL=UNBEKANNT | OPAQUE HOST CHOR=UNBEKANNT + FRAME OT=MARKIERTEN SEKUNDÄRBEZUG SETZEN | GANZKARTE OKY=VERWENDUNGSKARTE | HOST AL=ZIEL- ODER PARALLELSTATION	nimm danach den folgenden Zusatz oder Pflanzenteil; lasse es in Weißwein ziehen; vor der Blüte gesammelt; Die aktive Portion verwenden; An die bezeichnete Zielstelle führen
f56r	1	f56r.8	1	4	schol choy choky cheeckhody	HOST CHOL=GEZEIGTEN SIMPLEX ODER SEINE AKTIVE ZUBEREITUNG WIEDERAUFNEHMEN | OPAQUE HOST Y=UNBEKANNT + FRAME O=KONTEXT/VORANSATZ FORTSETZEN | GANZKARTE OKY=VERWENDUNGSKARTE | OPAQUE HOST ECKHO=UNBEKANNT + DY=LOKALEN ARBEITSSCHRITT SCHLIESSEN	von diesem abgebildeten Simplex; die auf feuchter schattiger Heide wächst; Die aktive Portion verwenden; lasse das Pflaster unbedeckt trocknen
f56r	1	f56r.12	1	4	sh cho kchey qokokchy	OPAQUE HOST H=UNBEKANNT | HOST O=NÄCHSTEN ZUBEREITUNGSPOSTEN ODER -SCHRITT EINSETZEN | OPAQUE HOST KCHEY=UNBEKANNT | OPAQUE HOST OKOKCHY=UNBEKANNT	ihren kleinen Samen- oder Knospenkopf; nimm danach den folgenden Zusatz oder Pflanzenteil; das getrocknete schmale Blatt; trockne es im Schatten
f56r	1	f56r.13	1	3	okchy chokcheo kchal	OPAQUE HOST OKCHY=UNBEKANNT | OPAQUE HOST OKCHEO=UNBEKANNT | OPAQUE HOST KCH=UNBEKANNT + RIGHT AL=ZIEL-/PARALLELPLATZ	gebrauche die frisch bereitete Arznei; trinke es bei Magenschmerz; bewahre den Rest trocken im Schatten
