page_host	decision	proposed_invariant_minimal_value_German	exact_card_count	event_count	folio_count	folios	surface_examples_by_card	local_expansions_by_card	rationale	evidence_basis
ch	ADMIT	FLÜSSIGEN BESTAND DURCH ABZUG TRENNEN	2	2	2	f81v|f83r	otchdy || dchdy	ziehe es ab und beende den Schritt || seihe es klar und beende den Schritt	Beide Karten trennen fluessigen Bestand durch Seihen/Abziehen und enden mit DY.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
chey	ADMIT	AUSGEWÄHLTEN MATERIALANTEIL AUFNEHMEN	2	3	3	f10r|f56r|f83r	dchey || otchey	Nimm die faserige untere Wurzel || Nimm den bezeichneten Anteil	Beide Karten waehlen einen konkreten Materialanteil; Wurzel/angezeigter Anteil sind stille Argumente.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
chor	ADMIT	PFLANZENMATERIAL ZEITGEBUNDEN BESCHAFFEN	2	3	2	f10r|f56r	otchor|qotchor || chochor	vor der Blüte gesammelt || sammle die Pflanze im Frühjahr	Beide Karten beschaffen Pflanzenmaterial in einem jahreszeitlichen oder Entwicklungs-Zeitfenster.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
chy	ADMIT	ERWÄRMTEN ANSATZ ZUFÜHREN ODER AUFLEGEN	2	2	2	f11r|f83r	chedchy || qotchy	gieße das erwärmte Wasser ein || bereite aus den Blättern einen warmen Umschlag	Beide Karten bringen einen erwaermten Ansatz zum Empfaenger; Wasser/Umschlag sind stille Realisierungen.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
olk	ADMIT	TRANSFER ÜBER EIN ZWISCHENGLIED ODER IN EINEN EMPFÄNGER	2	3	3	f81v|f82r|f83r	solkaiin || olkain|qolkain	durch ein Tuch || das untere Becken	Tuch und unteres Becken fungieren beide als Transfer-Zwischenglied oder Empfaenger.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
rshe	ADMIT	FLÜSSIGKEIT AN EINEN EMPFÄNGER ÜBERFÜHREN	2	2	1	f82r	rshedy || rsheal	trinke den angegebenen Anteil und beende den Schritt || gieße das erwärmte Wasser ein	Beide Karten ueberfuehren Fluessigkeit an einen Empfaenger; Gefaess/Person bleibt lokal.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
che	REJECT	UNBEKANNT	2	6	3	f81v|f82r|f83r	dchedy|schedy|tchedy || otchedy|qotchedy	spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt || mische zu gleichen Teilen und beende den Schritt	Spuelen und Gleichteil-Mischen lassen sich nur als generischer Nassprozess vereinigen.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
cho	REJECT	UNBEKANNT	2	2	1	f11r	tchody || schoal	lasse die geseihte Flüssigkeit offen abkühlen || vom schattigen Waldort	Waldort und offenes Abkuehlen sind keine gemeinsame Werkstattoperation.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
chol	REJECT	UNBEKANNT	2	3	3	f10r|f11r|f56r	dchol|schol || qotchol	von diesem abgebildeten Simplex || wende sie warm an	Simplexquelle und warme Anwendung widersprechen einander.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
d	REJECT	UNBEKANNT	3	3	2	f10r|f83r	chdal || chodaiin || chedain	mit der vorigen Mischung || bewahre diesen Anteil unter Öl || beginne die Spülung	Aufbewahren, Spuelbeginn und Voransatz ergeben keinen invarianten Kern.	SAME_OPAQUE_PAGE_HOST_PLUS_COMPATIBLE_LOCAL_CARD_FUNCTIONS_NOT_SUBSTRING_MINING
