page_host	exact_card_count	event_count	support_loci	support_pages	coordinate_profiles	decision	invariant_minimal_value_German	audit_status	reason
aiiin	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ain	1	2	2	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
air	1	1	1	f10r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
airy	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ala	1	1	1	f55v	F=NONE/D=0/R=NONE/DY=0/B3=1	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
alch	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
alror	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ar	1	5	5	f10r,f81v,f82r,f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ary	1	1	1	f83r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
cfhy	1	1	1	f11r	F=NONE/D=0/R=NONE/DY=0/B3=0	REJECT	UNBEKANNT	INSUFFICIENT_EXACT_CARD_REPLICATION	one exact card cannot establish an invariant axis
ch	2	2	2	f81v,f83r	F=NONE/D=0/R=NONE/DY=1/B3=0 | F=OT/D=0/R=NONE/DY=1/B3=0	REJECT	UNBEKANNT	MULTICARD_BUT_NO_NEW_INVARIANT	REDUNDANT_WITH_DY: both exact cards are already fully described as DY-closed operations
