left_primitive	right_primitive	herbal_count	biological_count	register_status	combined_count
ACTIVATE_CHARGE	ACTIVATE_CHARGE	12	12	SHARED	24
ACTIVATE_CHARGE	SOURCE_DRAW	2	0	HERBAL_ONLY	2
ACTIVATE_CHARGE	METER_CHECK	1	4	SHARED	5
ACTIVATE_CHARGE	TARGET_HANDOFF	3	3	SHARED	6
ACTIVATE_CHARGE	MOVE_PASS	1	4	SHARED	5
ACTIVATE_CHARGE	HOLD_STATE	4	11	SHARED	15
ACTIVATE_CHARGE	CONTINUE_USE	9	5	SHARED	14
ACTIVATE_CHARGE	CLOSE	0	6	BIOLOGICAL_ONLY	6
SOURCE_DRAW	ACTIVATE_CHARGE	3	1	SHARED	4
SOURCE_DRAW	SOURCE_DRAW	1	0	HERBAL_ONLY	1
SOURCE_DRAW	METER_CHECK	1	1	SHARED	2
SOURCE_DRAW	TARGET_HANDOFF	0	0	UNSEEN	0
SOURCE_DRAW	MOVE_PASS	0	0	UNSEEN	0
SOURCE_DRAW	HOLD_STATE	1	3	SHARED	4
SOURCE_DRAW	CONTINUE_USE	2	1	SHARED	3
SOURCE_DRAW	CLOSE	1	0	HERBAL_ONLY	1
METER_CHECK	ACTIVATE_CHARGE	4	2	SHARED	6
METER_CHECK	SOURCE_DRAW	2	1	SHARED	3
METER_CHECK	METER_CHECK	1	2	SHARED	3
METER_CHECK	TARGET_HANDOFF	2	2	SHARED	4
METER_CHECK	MOVE_PASS	1	7	SHARED	8
METER_CHECK	HOLD_STATE	0	10	BIOLOGICAL_ONLY	10
METER_CHECK	CONTINUE_USE	2	4	SHARED	6
METER_CHECK	CLOSE	0	0	UNSEEN	0
TARGET_HANDOFF	ACTIVATE_CHARGE	1	3	SHARED	4
TARGET_HANDOFF	SOURCE_DRAW	2	4	SHARED	6
TARGET_HANDOFF	METER_CHECK	1	2	SHARED	3
TARGET_HANDOFF	TARGET_HANDOFF	0	1	BIOLOGICAL_ONLY	1
TARGET_HANDOFF	MOVE_PASS	0	2	BIOLOGICAL_ONLY	2
TARGET_HANDOFF	HOLD_STATE	0	7	BIOLOGICAL_ONLY	7
TARGET_HANDOFF	CONTINUE_USE	0	4	BIOLOGICAL_ONLY	4
TARGET_HANDOFF	CLOSE	0	2	BIOLOGICAL_ONLY	2
MOVE_PASS	ACTIVATE_CHARGE	1	4	SHARED	5
MOVE_PASS	SOURCE_DRAW	0	1	BIOLOGICAL_ONLY	1
MOVE_PASS	METER_CHECK	0	1	BIOLOGICAL_ONLY	1
MOVE_PASS	TARGET_HANDOFF	0	4	BIOLOGICAL_ONLY	4
MOVE_PASS	MOVE_PASS	0	3	BIOLOGICAL_ONLY	3
MOVE_PASS	HOLD_STATE	1	6	SHARED	7
MOVE_PASS	CONTINUE_USE	1	1	SHARED	2
MOVE_PASS	CLOSE	0	25	BIOLOGICAL_ONLY	25
HOLD_STATE	ACTIVATE_CHARGE	3	9	SHARED	12
HOLD_STATE	SOURCE_DRAW	1	1	SHARED	2
HOLD_STATE	METER_CHECK	1	5	SHARED	6
HOLD_STATE	TARGET_HANDOFF	1	5	SHARED	6
HOLD_STATE	MOVE_PASS	0	6	BIOLOGICAL_ONLY	6
HOLD_STATE	HOLD_STATE	0	12	BIOLOGICAL_ONLY	12
HOLD_STATE	CONTINUE_USE	1	4	SHARED	5
HOLD_STATE	CLOSE	1	51	SHARED	52
CONTINUE_USE	ACTIVATE_CHARGE	4	2	SHARED	6
CONTINUE_USE	SOURCE_DRAW	1	1	SHARED	2
CONTINUE_USE	METER_CHECK	5	4	SHARED	9
CONTINUE_USE	TARGET_HANDOFF	1	1	SHARED	2
CONTINUE_USE	MOVE_PASS	1	2	SHARED	3
CONTINUE_USE	HOLD_STATE	1	15	SHARED	16
CONTINUE_USE	CONTINUE_USE	2	1	SHARED	3
CONTINUE_USE	CLOSE	2	1	SHARED	3
