statement_id	record	page	register	primitive_signature	token_count	closed	register_habit	shared_machine
H1-S001	H1	f10r	HERBAL	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	10	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H1-S002	H1	f10r	HERBAL	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	4	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H2-S001	H2	f10r	HERBAL	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	9	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H2-S002	H2	f10r	HERBAL	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	8	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H2-S003	H2	f10r	HERBAL	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	7	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H3-S001	H3	f11r	HERBAL	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	8	YES	HERBAL_COMMITTED_SUBSTEP	PASS505_FIVE_STATE_AUTOMATON
H3-S002	H3	f11r	HERBAL	HOLD_STATE	1	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H3-S003	H3	f11r	HERBAL	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	5	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H3-S004	H3	f11r	HERBAL	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	4	NO	HERBAL_OPEN_ARTICLE_CHAIN	PASS505_FIVE_STATE_AUTOMATON
H4-S001	H4	f55v	HERBAL	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	6	YES	HERBAL_COMMITTED_SUBSTEP	PASS505_FIVE_STATE_AUTOMATON
