register	primitive	count	share	start_count	end_count
HERBAL	ACTIVATE_CHARGE	36	0.346154	8	4
HERBAL	SOURCE_DRAW	11	0.105769	2	2
HERBAL	METER_CHECK	14	0.134615	4	2
HERBAL	TARGET_HANDOFF	7	0.067308	0	3
HERBAL	MOVE_PASS	3	0.028846	0	0
HERBAL	HOLD_STATE	10	0.096154	3	2
HERBAL	CONTINUE_USE	19	0.182692	2	2
HERBAL	CLOSE	4	0.038462	0	4
BIOLOGICAL	ACTIVATE_CHARGE	49	0.133880	16	4
BIOLOGICAL	SOURCE_DRAW	10	0.027322	2	4
BIOLOGICAL	METER_CHECK	28	0.076503	9	0
BIOLOGICAL	TARGET_HANDOFF	26	0.071038	10	1
BIOLOGICAL	MOVE_PASS	46	0.125683	22	1
BIOLOGICAL	HOLD_STATE	95	0.259563	31	2
BIOLOGICAL	CONTINUE_USE	27	0.073770	7	0
BIOLOGICAL	CLOSE	85	0.232240	0	85
