attachment_contact_id	window_id	dispatch_id	patch_id	page	locus	target_ordinal	target_surface	opaque_head_id	line_position	target_family	target_level	target_favored_axis	target_dimension	target_prior_state_mode	selected_roles	side	signed_offset	distance	neighbor_ordinal	neighbor_surface	formal_role_direction_match	guarded_reader_exact_pair_occurrences	guarded_reader_exact_full_frame_occurrences	intervening_surface	intervening_emits_own_unit	intervening_strict_initial_head	intervening_another_gdt738_target	target_wanted_carrier_set	host_quality_set	host_carrier_set	host_scalar_class_set	host_boundary_set	host_axis_signature	middle_quality_set	middle_carrier_set	middle_scalar_class_set	middle_boundary_set	middle_axis_signature	middle_reader_exact	middle_known	middle_positive_host_eligible	middle_ineligibility_reasons	middle_barrier	axis_continuity	carrier_continuity	predicted_axis_role_retained	predicted_carrier_role_retained	gdt742_axis_role_retained	gdt742_carrier_role_retained	gdt742_renderer_role_retained	common_frame_recomputed	full_carrier_continuity_recomputed	gdt742_rule_trace	axis_changed_from_gdt741	carrier_changed_from_gdt741	role_changed_from_gdt741	dispatcher_uses_dispatch_id_or_locus	literal_plaintext_claimed	component_export_credit	left_requested_carrier_coverage_raw	right_requested_carrier_coverage_raw	left_requested_carrier_coverage_screened	right_requested_carrier_coverage_screened	left_requested_carrier_exact_set_screened	right_requested_carrier_exact_set_screened	requested_carrier_ge3_unique_side	intersection_axis_set	generic_singleton_axis_intersection	favored_partial_axis_intersection	gdt743_axis_role_retained	gdt743_carrier_role_retained	gdt743_renderer_role_retained	relaxed_reverse_full_carrier_trigger	requested_carrier_coverage_gate	requested_carrier_coverage_override	coverage_excludes_relaxed_trigger	gdt743_rule_trace	axis_changed_from_gdt742	carrier_changed_from_gdt742	role_changed_from_gdt742
G740-C0002	G739-N00017	G739-D0003	G738-P0003	f116r	f116r.17	5	lain	H4	MIDDLE	SCALAR	II	OPEN	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	L	-2	2	3	qokeey	1	1	1	okeey	1	0	0	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	HOT	PREPARATION	QUALITY_DEGREE	NONE	QUALITY:HOT	1	1	0	BELOW_W2_OR_NA	OPEN	EXACT_SINGLE	NONE	1	0	1	0	1	1	0	STRICT_AXIS_RELAY	0	0	0	0	0	0	0	0	0	0	0	0	NONE	HOT	1	0	1	0	1	0	0	0	0	GDT742_STRICT_AXIS_RELAY	0	0	0
G740-C0007	G739-N00091	G739-D0015	G738-P0015	f78v	f78v.17	4	lcheol	H4	MIDDLE	STATE	NA	DRY	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE	AXIS+CARRIER	R	2	2	6	dchdy	0	1	0	lchdy	1	1	0	MATERIAL	DRY	MATERIAL	AMOUNT_DOSE	CLOSE|PROCESS	STATE:DRY	DRY	MATERIAL	NONE	NONE	STATE:DRY	0	1	0	READER_VARIANT|OPAQUE_INITIAL_HEAD|RETIRED_LITERAL_PATIENT	STRICT_HEAD	NONE	FULL_WANTED	0	0	0	0	0	0	1	R2_HOLD	0	0	0	0	0	0	1	2	1	0	1	0	NONE	DRY	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0010	G739-N00168	G739-D0026	G738-P0026	f105r	f105r.15	7	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	L	-2	2	5	okeedy	1	1	1	olkeeody	1	0	0	MATERIAL|PREPARATION	HOT	PREPARATION	QUALITY_DEGREE	CLOSE	QUALITY:HOT	NONE	MATERIAL	NONE	NONE	NONE	1	1	0	RETIRED_LITERAL_PATIENT	OPEN	NONE	NONE	0	0	0	0	0	1	0	R2_HOLD	0	0	0	0	0	0	0	1	0	1	0	1	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0016	G739-N00208	G739-D0031	G738-P0031	f107r	f107r.8	6	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	L	-2	2	4	qokeey	1	1	0	qokedy	1	0	0	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	HOT	NONE	QUALITY_DEGREE	CLOSE	QUALITY:HOT	0	1	0	READER_VARIANT|BELOW_W2_OR_NA	CLOSE	EXACT_SINGLE	NONE	0	0	0	0	0	0	0	R2_HOLD	0	0	0	0	0	0	0	0	0	0	0	0	NONE	HOT	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0020	G739-N00263	G739-D0038	G738-P0038	f107v	f107v.1	4	lkaiin	H4	MIDDLE	SCALAR	III	HOT	AMOUNT_DOSE	NOT_APPLICABLE	AXIS+CARRIER	R	2	2	6	qokair	0	1	0	otody	1	0	0	PART	HOT	PART	AMOUNT_DOSE	PROCESS	AMOUNT	COLD	PREPARATION	NONE	CLOSE	NONE	0	1	0	READER_VARIANT|BELOW_W2_OR_NA	CLOSE	CONFLICT	NONE	0	0	0	0	0	0	0	R2_HOLD	0	0	0	0	0	0	0	0	0	0	0	0	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0022	G739-N00279	G739-D0040	G738-P0040	f107v	f107v.15	4	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	AXIS+CARRIER	R	2	2	6	chkal	0	1	1	okain	1	0	0	MATERIAL	DRY|HOT	MATERIAL	QUALITY_DEGREE	NONE	QUALITY:DRY|HOT	HOT	PREPARATION	QUALITY_DEGREE	NONE	QUALITY:HOT	1	1	0	BELOW_W2_OR_NA	OPEN	PARTIAL	NONE	0	0	0	0	0	1	0	R2_HOLD	0	0	0	0	0	0	0	0	0	0	0	0	NONE	HOT	1	1	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0024	G739-N00306	G739-D0044	G738-P0044	f108r	f108r.50	3	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	AXIS	R	2	2	5	qokey	0	1	1	chdy	1	0	0	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	DRY	NONE	QUALITY_DEGREE	CLOSE	QUALITY:DRY	1	1	0	BELOW_W2_OR_NA	CLOSE	CONFLICT	NONE	0	0	0	0	0	1	0	R2_HOLD	0	0	0	0	0	0	0	0	0	0	0	0	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0026	G739-N00326	G739-D0048	G738-P0048	f113r	f113r.46	3	lkaiin	H4	MIDDLE	SCALAR	III	HOT	AMOUNT_DOSE	NOT_APPLICABLE	AXIS+CARRIER	L	-2	2	1	oaiin	1	1	0	cheokeeas	1	0	0	PREPARATION	NONE	PREPARATION	AMOUNT_DOSE	NONE	AMOUNT	NONE	NONE	NONE	NONE	NONE	0	0	0	READER_VARIANT|UNKNOWN|BELOW_W2_OR_NA|NO_SELECTING_AXIS	UNKNOWN	NONE	NONE	0	0	0	0	0	0	0	R2_HOLD	0	0	0	0	0	0	0	0	0	0	0	0	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0027	G739-N00375	G739-D0054	G738-P0054	f76r	f76r.44	6	lkaiin	H4	MIDDLE	SCALAR	III	HOT	AMOUNT_DOSE	NOT_APPLICABLE	AXIS	L	-2	2	4	ykar	1	1	1	alol	1	0	0	MATERIAL	HOT	MATERIAL|PART	AMOUNT_DOSE	NONE	AMOUNT	NONE	MATERIAL	NONE	NONE	NONE	1	1	1	NONE	OPEN	NONE	FULL_WANTED	0	0	0	0	0	1	1	R2_HOLD	0	0	0	0	0	0	2	1	2	0	1	0	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
G740-C0030	G739-N00417	G739-D0059	G738-P0059	f86v6	f86v6.36	8	lkaiin	H4	MIDDLE	SCALAR	III	HOT	QUALITY_DEGREE	NOT_APPLICABLE	CARRIER	L	-2	2	6	cthdy	1	1	1	qokeey	1	0	0	MATERIAL	NONE	MATERIAL	NONE	CLOSE	NONE	HOT	NONE	QUALITY_DEGREE	NONE	QUALITY:HOT	1	1	1	NONE	OPEN	NONE	NONE	0	0	0	0	0	1	0	R2_HOLD	0	0	0	0	0	0	0	1	0	1	0	1	NONE	NONE	0	0	0	0	0	0	0	0	0	R2_HOLD	0	0	0
