gdt743_patch_id	gdt742_patch_id	gdt741_patch_id	gdt739_dispatch_id	patch_id	occurrence_id	page	locus	token_index	token_ordinal	surface	body	opaque_head_id	line_position	family	level	gdt742_rule_trace	gdt741_dimension_dispatch	gdt742_dimension_dispatch	gdt741_carrier_dispatch	gdt742_carrier_dispatch	gdt741_state_mode	gdt742_state_mode	gdt741_working_render_de	gdt742_working_render_de	axis_specific_dispatch_retained	carrier_locally_bound_retained	specific_local_dispatch_retained	active_radius_two_carrier_contacts	changed_from_gdt741	dispatcher_uses_dispatch_id_or_locus	scope	literal_patient_or_species_claimed	literal_plaintext_claimed	unconditional_global_export	head_or_body_lexeme_credit	component_export_credit	unseen_form_export	gdt743_rule_trace	gdt743_dimension_dispatch	gdt743_carrier_dispatch	gdt743_state_mode	gdt743_working_render_de	carrier_locally_bound_gdt743	specific_local_dispatch_gdt743	changed_from_gdt742	active_run_override_contacts	dispatcher_uses_dispatch_id_or_locus_gdt743
G743-R0001	G742-R0001	G741-R0001	G739-D0001	G738-P0001	G737-O0258	f111v	f111v.31	5	5	lain	ain	H4	MIDDLE	SCALAR	II	GDT741_RENDER_INHERITED	QUALITY_DEGREE	QUALITY_DEGREE	MATERIAL	MATERIAL	NOT_APPLICABLE	NOT_APPLICABLE	interner Trockenheitsgrad II des Materials	interner Trockenheitsgrad II des Materials	1	1	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_DEGREE	MATERIAL	NOT_APPLICABLE	interner Trockenheitsgrad II des Materials	1	1	0	0	0
G743-R0002	G742-R0002	G741-R0002	G739-D0002	G738-P0002	G737-O0342	f113v	f113v.46	4	4	lain	ain	H4	MIDDLE	SCALAR	II	GDT741_RENDER_INHERITED	OPEN_SCALAR	OPEN_SCALAR	OPEN	OPEN	NOT_APPLICABLE	NOT_APPLICABLE	interne Skalarstufe II; Dimension offen	interne Skalarstufe II; Dimension offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	OPEN_SCALAR	OPEN	NOT_APPLICABLE	interne Skalarstufe II; Dimension offen	0	0	0	0	0
G743-R0003	G742-R0003	G741-R0003	G739-D0003	G738-P0003	G737-O0407	f116r	f116r.17	5	5	lain	ain	H4	MIDDLE	SCALAR	II	GDT741_RENDER_INHERITED	QUALITY_DEGREE	QUALITY_DEGREE	OPEN	OPEN	NOT_APPLICABLE	NOT_APPLICABLE	interner Heißgrad II	interner Heißgrad II	1	0	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_DEGREE	OPEN	NOT_APPLICABLE	interner Heißgrad II	0	1	0	0	0
G743-R0004	G742-R0004	G741-R0004	G739-D0004	G738-P0004	G737-O0502	f46r	f46r.13	8	8	lain	ain	H4	MIDDLE	SCALAR	II	GDT741_RENDER_INHERITED	OPEN_SCALAR	OPEN_SCALAR	MATERIAL	MATERIAL	NOT_APPLICABLE	NOT_APPLICABLE	interne Skalarstufe II des Materials; Dimension offen	interne Skalarstufe II des Materials; Dimension offen	0	1	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	OPEN_SCALAR	MATERIAL	NOT_APPLICABLE	interne Skalarstufe II des Materials; Dimension offen	1	1	0	0	0
G743-R0005	G742-R0005	G741-R0005	G739-D0005	G738-P0005	G737-O0026	f103r	f103r.47	6	6	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	PROCESS_RESULT_AXIS_OPEN	PROCESS_RESULT_AXIS_OPEN	MATERIAL	MATERIAL	PROCESS_RESULT	PROCESS_RESULT	Resultat-/Endstufe II des Materials; Zustandsachse offen	Resultat-/Endstufe II des Materials; Zustandsachse offen	0	1	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	PROCESS_RESULT_AXIS_OPEN	MATERIAL	PROCESS_RESULT	Resultat-/Endstufe II des Materials; Zustandsachse offen	1	1	0	0	0
G743-R0006	G742-R0006	G741-R0006	G739-D0006	G738-P0006	G737-O0072	f104v	f104v.20	3	3	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	PREPARATION	PREPARATION	QUALITY_STATE	QUALITY_STATE	Zustandsstufe II der Zubereitung; Zustandsachse offen	Zustandsstufe II der Zubereitung; Zustandsachse offen	0	1	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	PREPARATION	QUALITY_STATE	Zustandsstufe II der Zubereitung; Zustandsachse offen	1	1	0	0	0
G743-R0007	G742-R0007	G741-R0007	G739-D0007	G738-P0007	G737-O0100	f106r	f106r.12	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0008	G742-R0008	G741-R0008	G739-D0008	G738-P0008	G737-O0162	f107v	f107v.28	4	4	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0009	G742-R0009	G741-R0009	G739-D0009	G738-P0009	G737-O0593	f76v	f76v.21	8	8	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0010	G742-R0010	G741-R0010	G739-D0010	G738-P0010	G737-O0703	f82r	f82r.24	2	2	lcheedy	cheedy	H4	MIDDLE	STATE_RESULT	II	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Zustandsstufe II; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0011	G742-R0011	G741-R0011	G739-D0011	G738-P0011	G737-O0155	f107v	f107v.12	2	2	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0012	G742-R0012	G741-R0012	G739-D0012	G738-P0012	G737-O0213	f111r	f111r.2	11	11	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0013	G742-R0013	G741-R0013	G739-D0013	G738-P0013	G737-O0251	f111v	f111v.23	6	6	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	PREPARATION	PREPARATION	QUALITY_STATE	QUALITY_STATE	Statusfeld der Zubereitung; Zustandsachse offen	Statusfeld der Zubereitung; Zustandsachse offen	0	1	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	PREPARATION	QUALITY_STATE	Statusfeld der Zubereitung; Zustandsachse offen	1	1	0	0	0
G743-R0014	G742-R0014	G741-R0014	G739-D0014	G738-P0014	G737-O0321	f113v	f113v.6	2	2	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0015	G742-R0015	G741-R0015	G739-D0015	G738-P0015	G737-O0632	f78v	f78v.17	4	4	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0016	G742-R0016	G741-R0016	G739-D0016	G738-P0016	G737-O0649	f79r	f79r.34	1	1	lcheol	cheol	H4	FIRST	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_DRY_LOCAL	QUALITY_STATE_DRY_LOCAL	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Trockenstatus-Eintrag; Träger offen	Trockenstatus-Eintrag; Träger offen	1	0	1	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_DRY_LOCAL	OPEN	QUALITY_STATE	Trockenstatus-Eintrag; Träger offen	0	1	0	0	0
G743-R0017	G742-R0017	G741-R0017	G739-D0017	G738-P0017	G737-O0650	f79r	f79r.37	1	1	lcheol	cheol	H4	FIRST	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Status-Eintrag; Zustandsachse offen; Träger offen	Status-Eintrag; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Status-Eintrag; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0018	G742-R0018	G741-R0018	G739-D0018	G738-P0018	G737-O0760	f85r2	f85r2.23	2	2	lcheol	cheol	H4	MIDDLE	STATE	NA	GDT741_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	QUALITY_STATE_AXIS_OPEN	OPEN	OPEN	QUALITY_STATE	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	QUALITY_STATE_AXIS_OPEN	OPEN	QUALITY_STATE	Statusfeld; Zustandsachse offen; Träger offen	0	0	0	0	0
G743-R0019	G742-R0019	G741-R0019	G739-D0019	G738-P0019	G737-O0014	f103r	f103r.9	6	6	lkaiin	kaiin	H4	MIDDLE	SCALAR	III	GDT741_RENDER_INHERITED	OPEN_SCALAR	OPEN_SCALAR	OPEN	OPEN	NOT_APPLICABLE	NOT_APPLICABLE	Skalarstufe III; Dimension offen	Skalarstufe III; Dimension offen	0	0	0	0	0	0	EXACT_COMPLETE_SURFACE_AT_THIS_ENUMERATED_OCCURRENCE	0	0	0	0	0	0	GDT742_RENDER_INHERITED	OPEN_SCALAR	OPEN	NOT_APPLICABLE	Skalarstufe III; Dimension offen	0	0	0	0	0
