rule_order	rule_id	instruction_de
1	CHOOSE_REGISTER	Herbal oder Biological wählen; die Inhaltsnomenklaturen nie vermischen.
2	SET_OWNER	Am Recordbeginn und nach sichtbarer Szenenlücke den kleinsten Bildbesitzer setzen.
3	LOAD_SOURCE_PROGRAM	Nur die endliche Quellenwortliste des aktiven Records laden.
4	SELECT_OBJECT	Pflanzenteil, Figur, Becken oder Dienststation aus Besitzer plus Quellenprogramm wählen.
5	ADD_MATERIAL	Medium, Portion oder Zusatz vor der zugehörigen Prozesskarte einsetzen.
6	SET_MEASURE	AIIN/IIN nur als Maß-, Stufen- oder Wertslot des aktiven Programms lesen.
7	RUN_PROCESS	Ansetzen, zerteilen, wärmen, ruhen, waschen oder seihen in Kartenreihenfolge ausführen.
8	APPLY_GRADE	E/EE/EEE erst nach der Prozessbasis als kurz/länger/voll lesen.
9	MOVE_LOCALLY	Ziel, Umsetzen, Durchlass und Ablauf nur innerhalb des sichtbaren Besitzers führen.
10	USE_OR_STORE	Herbal kann Mittel gebrauchen/verwahren; Bio kann lokal anwenden/befestigen/entleeren.
11	CLOSE_BY_CARD	Nur eine lizenzierte Terminalkarte schließt; sichtbares dy allein genügt nicht.
12	WRAP_AND_RENDER	Zeilenumbruch nach Platz, dann exakte Karte im Renderer der Hand kopieren.
