grammar_order	primitive_id	source_meaning_de	card_or_source_basis
1	OWNER_SELECT	sichtbaren Seiten-/Szenenbesitzer setzen	Bild oder Layout
2	PART_SELECT	Pflanzenteil oder örtlichen Gegenstand wählen	Herbal-Quellenprogramm
3	MATERIAL_ADD	Medium, Portion oder Zusatz zugeben	AIN/TY/HO/DL + Quellenfüllung
4	MEASURE	Sollmaß oder Stufe eintragen	AIIN/IIN
5	SET	laufenden Arbeitsposten ansetzen	OK
6	CUT_CRUSH	Pflanzenstoff zerteilen oder zerstoßen	Herbal-Ganzkarte
7	GRADE	kurze, längere oder volle Stufe setzen	E/EE/EEE
8	HEAT	wärmen oder temperieren	CHK
9	SETTLE	ruhen oder absetzen	SH/SHED
10	PASS_STRAIN	durchlassen, auswringen oder seihen	CKH/CKHE/CFH/CPH
11	WASH	waschen oder spülen	gelernte WASH-Familie
12	DRAIN	örtlich abführen oder ausgießen	AR/CKH/SK
13	COLLECT_STORE	sammeln, auffangen oder verwahren	SOLK/TALAM
14	TARGET	örtliche Zielstelle setzen	AL
15	TRANSFER	Posten umsetzen	CHD/CHED
16	CONTINUE	Folge oder Fortsetzung markieren	OT/OL
17	READY	Bereitschaft prüfen	CTH
18	USE_APPLY	Mittel gebrauchen oder äußerlich anwenden	DAN + Quellenfüllung
19	FASTEN	örtlich befestigen	LDDY
20	CLOSE	lokalen Schritt schließen	lizenzierte Terminalkarte
