record_unit_id	register	page	statement_count	event_count	owner_select_count	distinct_primitive_count	distinct_primitives	forward_status	backward_status	content_limit
H1	HERBAL	f10r	2	14	1	14	CLOSE,COLLECT_STORE,CONTINUE,CUT_CRUSH,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PART_SELECT,PASS_STRAIN,READY,SET,USE_APPLY	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
H2	HERBAL	f10r	3	24	1	12	CONTINUE,CUT_CRUSH,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PART_SELECT,PASS_STRAIN,SET,TARGET,USE_APPLY	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
H3	HERBAL	f11r	4	17	1	14	CLOSE,COLLECT_STORE,CONTINUE,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PART_SELECT,PASS_STRAIN,READY,SET,SETTLE,USE_APPLY	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
H4	HERBAL	f55v	4	18	1	11	CLOSE,CUT_CRUSH,MATERIAL_ADD,MEASURE,OWNER_SELECT,PART_SELECT,PASS_STRAIN,READY,SET,TARGET,USE_APPLY	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
H5	HERBAL	f56r	6	27	1	15	CLOSE,COLLECT_STORE,CONTINUE,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PART_SELECT,PASS_STRAIN,READY,SET,SETTLE,TARGET,USE_APPLY	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B1	BIOLOGICAL	f81v	21	66	1	15	CLOSE,CONTINUE,DRAIN,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PASS_STRAIN,READY,SET,SETTLE,TARGET,TRANSFER,WASH	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B2	BIOLOGICAL	f82r	22	62	5	15	CLOSE,CONTINUE,DRAIN,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PASS_STRAIN,READY,SET,SETTLE,TARGET,TRANSFER,WASH	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B3	BIOLOGICAL	f83r	34	86	5	13	CLOSE,CONTINUE,DRAIN,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,READY,SET,SETTLE,TARGET,TRANSFER	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B4	BIOLOGICAL	f83r	16	47	3	15	CLOSE,CONTINUE,DRAIN,FASTEN,GRADE,HEAT,MATERIAL_ADD,MEASURE,OWNER_SELECT,PASS_STRAIN,SET,SETTLE,TARGET,TRANSFER,WASH	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B5	BIOLOGICAL	f83r	3	11	1	7	CLOSE,CONTINUE,MEASURE,OWNER_SELECT,SETTLE,TARGET,TRANSFER	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
B6	BIOLOGICAL	f83r	1	9	1	5	GRADE,MEASURE,OWNER_SELECT,TARGET,TRANSFER	SOURCE_PROGRAM_TO_PRIMITIVES_TO_VISIBLE_SEQUENCE_COMPLETE	VISIBLE_SEQUENCE_TO_PRIMITIVES_AND_RECORD_PROGRAM_COMPLETE	EXACT_CONTENT_WORD_REQUIRES_RECORD_SOURCE_PROGRAM
